event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
0,4261.723044898947,16365.90976602829,4257.652319906398,16358.509128284732,4050.7701952709904,16020.597637842688,4251.2697509378195,16308.112699541685,4244.91247992795,16296.647727507907,3961.775387456568,15847.595570188898
1,4525.559544315382,17654.7905439293,4521.319311314685,17646.709333097242,4305.962913595486,17275.488176645566,4514.441101147796,17590.80088005483,4507.819280440928,17578.26210887085,4213.179286323773,17086.255821060528
2,4940.372830002091,18782.746172611103,4936.270146795766,18774.71679124003,4727.776958672455,18408.469138461474,4928.574103657093,18715.84477030201,4922.166937919849,18703.387210541438,4636.835319363254,18218.81241534306
3,4832.628329714583,17887.406368376676,4828.345927050446,17879.78284227113,4610.494871986849,17531.39231189106,4820.975909883104,17823.748064079005,4814.287814877687,17811.94729929627,4515.984193708224,17349.22265474316
4,4473.932838852843,17175.188995126475,4469.853055173457,17167.572178794424,4262.630533214359,16820.129727862746,4463.027446827531,17111.29177299771,4456.656171619758,17099.47310337972,4173.138186221706,16640.005063331206
5,4510.419050820931,16884.03804775732,4506.787064294941,16877.283766281245,4322.16190373709,16565.67050115073,4499.790235128577,16824.660584636138,4494.118096889825,16814.17396866889,4241.411906927171,16400.758461934805
6,4280.972881179333,16303.806127700895,4277.341492289132,16296.5304909615,4092.9289830885705,15965.219051950513,4270.661779631574,16245.197884713494,4264.990788761087,16233.912511467686,4012.707572937237,15796.402787757299
7,4746.532324545857,18049.181953604104,4742.199090792553,18041.387161478975,4522.120866307577,17683.651719692276,4734.826395239345,17984.10226669284,4728.059336973807,17972.002235877946,4426.9636543947945,17498.19842679251
8,4587.119740115723,17490.094927643713,4582.738619001726,17482.218835458334,4360.143571603978,17115.402727716042,4575.749979819338,17425.9934517723,4568.908034929245,17413.751176957514,4264.3108504492075,16926.765145406003
9,5040.680037503695,18578.954259709953,5036.120911007192,18570.674910288453,4804.331709821351,18187.73830180968,5028.485660206827,18513.775692903946,5021.365553439212,18500.918918946165,4704.0752812737455,17992.240327801985
10,3831.467082303929,14570.333736938768,3827.797922886995,14563.61908636125,3641.5638081478037,14254.901884579096,3822.011569635076,14517.624190507773,3816.2817093419153,14507.20435395742,3561.5744202192323,14097.771230284656
