campaign,material,v_eff_two_end_mm_ns,v_eff_two_end_error_mm_ns,v_eff_one_end_L_mm_ns,v_eff_one_end_L_error_mm_ns,v_eff_one_end_R_mm_ns,v_eff_one_end_R_error_mm_ns,chi2_ndf_linear,chi2_flag,local_v_eff_two_end_min_mm_ns,local_v_eff_two_end_max_mm_ns,experimental_reference_mm_ns
old,EJ-200,182.215725631,0.0217925823238,180.851868112,0.0222825703133,180.869499827,0.022241138512,165.154073815,*,177.877096143,183.374556993,155
old,EJ-204,181.651683115,0.0223353666747,180.798741756,0.0223169841937,180.797672049,0.0223116764938,89.5845577089,*,178.292744767,182.640618959,155
old,EJ-230,181.610713542,0.0221075478274,181.159446876,0.0218421006527,181.208939128,0.0217810465488,83.8526965289,*,178.504616178,182.677835908,155
v2,EJ-200,181.129226053,0.0213000540829,179.266106457,0.0213157405418,179.263478448,0.0212660106317,278.533817523,*,175.463528494,182.522842931,155
v2,EJ-204,180.997402033,0.0216196888584,179.7850977,0.0213084376006,179.750016006,0.0213913534229,185.624242084,*,176.228583,182.2665235,155
v2,EJ-230,181.610713542,0.0221075478274,181.159446876,0.0218421006527,181.208939128,0.0217810465488,83.8526965289,*,178.504616178,182.677835908,155
