campaign,material,x_mm,mean_tdiff_ns,sem_tdiff_ns,linear_prediction_ns,linear_residual_ps,linear_chi2_ndf,linear_chi2_flag,x_low_mm,x_high_mm,secant_slope_ns_per_mm,v_eff_two_end_mm_ns,v_eff_one_end_mm_ns,cubic_a1_ns_per_mm,cubic_a1_error_ns_per_mm,cubic_a3_ns_per_mm3,cubic_a3_error_ns_per_mm3,cubic_chi2,cubic_ndf,cubic_chi2_ndf,cubic_chi2_flag
v2,EJ-200,,,,,,,,-500,-200,0.0110135231098,181.594933797,90.7974668983,,,,,,,,
v2,EJ-200,,,,,,,,-200,0,0.0109575325909,182.522842931,91.2614214653,,,,,,,,
v2,EJ-200,,,,,,,,0,200,0.0109610420859,182.464402958,91.2322014792,,,,,,,,
v2,EJ-200,,,,,,,,200,500,0.0110079591683,181.686720438,90.8433602192,,,,,,,,
v2,EJ-200,,,,,,,,500,650,0.0113983801487,175.463528494,87.7317642468,,,,,,,,
v2,EJ-200,,,,,,,,,,,,,0.0109034678233,4.09665120048e-06,4.11018575414e-10,1.15411351174e-11,124.377825959,5,24.8755651917,*
v2,EJ-204,-650,-7.20638382137,0.00163073820863,-7.18306845659,-23.3153647746,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,-500,-5.5040493028,0.00153774324355,-5.52558610253,21.5367997346,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,-200,-2.19869300905,0.00137721771044,-2.21062139441,11.9283853554,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,0,0.000121696000474,0.00135281735637,-0.000644922324522,0.766618324996,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,200,2.19471010598,0.00136689277197,2.20933154976,-14.621443775,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,500,5.50627844128,0.00151818101091,5.52429625788,-18.0178165986,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,650,7.20469267999,0.00163280298148,7.18177861194,22.9140680501,185.624242084,*,,,,,,,,,,,,,
v2,EJ-204,,,,,,,,-650,-500,0.0113488967905,176.228583,88.1142915001,,,,,,,,
v2,EJ-204,,,,,,,,-500,-200,0.0110178543125,181.523547442,90.761773721,,,,,,,,
v2,EJ-204,,,,,,,,-200,0,0.0109940735253,181.916192884,90.9580964419,,,,,,,,
v2,EJ-204,,,,,,,,0,200,0.0109729420499,182.2665235,91.1332617498,,,,,,,,
v2,EJ-204,,,,,,,,200,500,0.0110385611177,181.183034517,90.5915172585,,,,,,,,
v2,EJ-204,,,,,,,,500,650,0.0113227615914,176.635353827,88.3176769137,,,,,,,,
v2,EJ-204,,,,,,,,,,,,,0.0109405050693,3.9928352725e-06,3.31607393643e-10,1.1425640806e-11,87.1193880696,5,17.4238776139,*
v2,EJ-230,-650,-7.17276053657,0.00167234069388,-7.15738420311,-15.3763334658,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,-500,-5.49213173031,0.00154601201796,-5.50549927766,13.3675473533,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,-200,-2.19134126048,0.00131773968055,-2.20172942676,10.3881662787,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,0,-0.00169412560624,0.00126881993044,0.000783807174353,-2.47793278059,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,200,2.19257964634,0.00132104496205,2.20329704111,-10.7173947641,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,500,5.4973472331,0.00155188633337,5.50706689201,-9.71965890661,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,650,7.17472737938,0.00167260134256,7.15895181746,15.7755619188,83.8526965289,*,,,,,,,,,,,,,
v2,EJ-230,,,,,,,,-650,-500,0.0112041920418,178.504616178,89.2523080888,,,,,,,,
v2,EJ-230,,,,,,,,-500,-200,0.0110026348994,181.774640191,90.8873200957,,,,,,,,
v2,EJ-230,,,,,,,,-200,0,0.0109482356744,182.677835908,91.3389179538,,,,,,,,
v2,EJ-230,,,,,,,,0,200,0.0109713688597,182.292658789,91.1463293946,,,,,,,,
v2,EJ-230,,,,,,,,200,500,0.0110158919559,181.55588381,90.7779419049,,,,,,,,
v2,EJ-230,,,,,,,,500,650,0.0111825343085,178.850334354,89.425167177,,,,,,,,
v2,EJ-230,,,,,,,,,,,,,0.01093878454,3.93575190661e-06,2.26102587379e-10,1.13403284353e-11,23.7815718956,5,4.75631437912,
