panel,eligible_all_optical_encounters,started_optical,generated_scintillation,encounters_per_started_optical,encounters_per_generated_scintillation_mixed,R_input,fixed_mean_survival_all_optical,fixed_mean_survival_mixed_normalization
YMinus,58650877,42399341,40219965,1.3832969007702265,1.4582528105133856,0.98,0.9724405442081672,0.9709690799343857
YPlus,58644413,42399341,40219965,1.3831444455705102,1.4580920943118671,0.98,0.9724435393372203,0.9709722325813209
ZMinus,167442024,42399341,40219965,3.949165719344553,4.1631568799226955,0.98,0.9233159095445336,0.919332845475443
ZPlus,167441749,42399341,40219965,3.9491592333946888,4.163150042522414,0.98,0.9233160305300846,0.919332972466572
ALL,452179063,42399341,40219965,10.664766299079979,11.242651827270361,0.98,0.8061728122897744,0.7968155922318684
