x_mm,N,A_mean,A_sem,B_mean,B_sem,gain,gain_sem,A_TOP_total,B_TOP_total,TOP_gain,gain_ratio_END_TOP
0,2000,392.61875,2.1700957454663135,397.1525,2.40992722846526,1.0115474617552014,0.008302772685320573,7930138,9510815,1.19932528286393,0.843430448943489
500,1000,672.464,5.0484659761865,745.2045,6.434595943391062,1.1081701027861715,0.012679656047816703,3541330,4410423,1.2454142934998997,0.8898003729120206
-500,1000,681.329,5.271671867945053,733.4575,5.644879459107861,1.0765100267271759,0.011748211610891882,3576651,4339618,1.2133188281439815,0.887244145361131
200,1000,432.4315,3.351429043614736,440.977,3.393521247532931,1.0197615113607588,0.011137628781335871,3927817,4749281,1.2091400897750582,0.8433774712990202
-200,1000,430.2955,3.21276263883959,440.3965,3.1993672012193657,1.023474565734478,0.010662019622449812,3915409,4740688,1.2107772138236388,0.8453037883842739
650,1000,993.1925,7.801116594043693,1267.3105,9.446601961995562,1.2759968485464803,0.013817193937517899,3116704,3807703,1.2217082533342916,1.0444366280280288
-650,1000,1003.2155,8.245408453819637,1286.0155,10.449423163706417,1.2818935712217365,0.01481539461959981,3146727,3859947,1.2266545524921608,1.0450322534713201
