panel,eligible_all_optical_encounters,started_optical,generated_scintillation,encounters_per_started_optical,encounters_per_generated_scintillation_mixed,R_input,fixed_mean_survival_all_optical,fixed_mean_survival_mixed_normalization
YMinus,5003423,42171443,40003818,0.11864481374279746,0.12507363672137495,0.98,0.9976059239355048,0.9974763636619859
YPlus,5005743,42171443,40003818,0.11869982727411059,0.1251316311858033,0.98,0.9976048151746788,0.9974751949742859
ZMinus,5312266,42171443,40003818,0.12596832410975362,0.1327939748151039,0.98,0.9974583343324772,0.997320797679277
ZPlus,5299043,42171443,40003818,0.12565477069399783,0.13246343136547617,0.98,0.9974646528798707,0.9973274576827111
ALL,20620475,42171443,40003818,0.4889677358206595,0.5154626740877584,0.98,0.9901701597827509,0.9896402937362516
