x_mm,run_label,channel,threshold_pe,n_events,mode_ps,rms_full_ps,sigma_core_ps,sigma_core_err_ps,chi2ndf,fit_mu_ps,iqr_sigma_ps,mad_sigma_ps,q25_ps,q50_ps,q75_ps,core_fraction,tail_fraction,tail_boundary_ps,tail_k,sigma_exec12_style_ps,sigma_exec12_style_err_ps,sigma_stat_theory_ps,exec12_sigma_fit_ref_ps,reconciled_2ps_vs_exec12,reconciled_exec12style_vs_exec12
-690,Run 1,16,4,2000,344.0742,52.1925,1.2078,0.0188,4.6378,344.7343,2.4819,2.0554,343.9571,345.1464,347.3052,0.7595,0.2405,347.6975,3.0000,8.7739,nan,10.2579,8.7740,NO,yes
-690,Run 1,16,20,2000,602.5288,81.0161,61.1765,22.7229,2.2215,693.3610,81.9931,81.8766,664.7692,720.5755,775.3779,0.7905,0.2095,786.0582,3.0000,83.0566,3.5798,nan,nan,na,na
-400,Run 3,31,4,2000,349.7836,58.1193,2.0227,0.0360,2.0833,349.5138,3.7324,3.2484,348.4366,350.2304,353.4715,0.7610,0.2390,355.8516,3.0000,8.0213,nan,8.7532,8.0210,NO,yes
-400,Run 3,31,20,2000,605.8004,81.5799,41.1700,9.4867,2.0710,661.6521,82.8025,83.3734,678.6869,736.1045,790.3875,0.4690,0.5310,729.3103,3.0000,84.6743,3.9992,nan,nan,na,na
0,Run 4,51,4,2000,354.9138,62.4155,2.5524,0.0436,3.6338,355.5179,34.1510,4.9320,354.1212,356.9445,400.1910,0.7140,0.2860,362.5711,3.0000,8.2082,nan,8.8393,8.2080,NO,yes
0,Run 4,51,20,2000,758.9014,81.0479,54.8731,7.9906,1.8768,765.2328,79.8330,79.6557,701.7876,758.6075,809.4823,0.9850,0.0150,923.5206,3.0000,79.7630,4.2082,nan,nan,na,na
