x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm_per_ps,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-690,Run 1,4,16,565.0,3,0.150000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,575.0,2,0.100000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,585.0,3,0.150000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,595.0,1,0.050000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,605.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,615.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,625.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,635.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,645.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,655.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,665.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,675.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,685.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,695.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,705.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,715.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,725.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,735.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,745.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,755.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,765.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,775.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,785.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,795.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,805.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,815.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,825.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,835.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,845.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,855.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,865.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,875.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,885.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,895.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,905.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,915.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,925.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,935.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,945.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,955.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,965.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,975.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,985.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-690,Run 1,4,16,995.0,0,0.000000,363.809,43.998,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,5.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,15.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,25.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,35.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
