x_mm,run_label,global_id,mean_npe,rms_npe
-690,Run 1,16,350.9470,87.6450
-690,Run 1,17,384.2285,94.6019
-690,Run 1,18,261.7440,65.2001
-690,Run 1,19,210.2750,52.1992
-690,Run 1,20,155.6260,39.5891
-690,Run 1,21,122.8975,32.2189
-690,Run 1,22,129.5195,32.2071
-690,Run 1,23,87.5645,23.6685
-690,Run 1,24,88.5125,23.1714
-690,Run 1,25,61.5095,17.2821
-690,Run 1,26,65.0675,17.8271
-690,Run 1,27,58.3620,15.7474
-690,Run 1,28,62.2315,16.6750
-690,Run 1,29,52.7380,14.2742
-690,Run 1,30,33.2115,10.4742
-690,Run 1,31,39.4695,11.5278
-690,Run 1,32,32.5770,9.9863
-690,Run 1,33,32.7200,9.7937
-690,Run 1,34,28.4990,8.9279
-690,Run 1,35,24.3535,7.7455
-690,Run 1,36,25.0405,8.0020
-690,Run 1,37,25.0110,7.8123
-690,Run 1,38,24.6605,7.7668
-690,Run 1,39,19.5490,6.6241
-690,Run 1,40,19.8915,6.5444
-690,Run 1,41,12.4120,5.2582
-690,Run 1,42,13.6455,5.2809
-690,Run 1,43,15.7520,5.8199
-690,Run 1,44,14.9170,5.1852
-690,Run 1,45,11.0460,4.5102
-690,Run 1,46,9.9420,4.1063
-690,Run 1,47,12.2750,4.6610
-690,Run 1,48,10.9125,4.3295
-690,Run 1,49,10.4130,3.9920
-690,Run 1,50,8.1470,3.5787
-690,Run 1,51,7.2995,3.4211
-690,Run 1,52,7.8460,3.4556
-690,Run 1,53,8.4665,3.6685
-690,Run 1,54,7.6040,3.3538
-690,Run 1,55,4.6645,2.5032
-690,Run 1,56,6.1065,2.8969
-690,Run 1,57,6.0470,2.8411
-690,Run 1,58,6.4370,3.0478
-690,Run 1,59,5.0135,2.5924
-690,Run 1,60,3.3180,2.0513
-690,Run 1,61,4.4215,2.3080
-690,Run 1,62,3.9950,2.2512
-690,Run 1,63,4.4565,2.3365
-690,Run 1,64,4.1150,2.2960
-690,Run 1,65,3.1680,1.9354
-690,Run 1,66,2.5570,1.7764
-690,Run 1,67,2.6715,1.8129
-690,Run 1,68,3.0630,1.8987
-690,Run 1,69,2.6300,1.7760
-690,Run 1,70,2.2035,1.6184
-690,Run 1,71,2.4160,1.6751
-690,Run 1,72,3.0160,1.8867
-690,Run 1,73,2.7075,1.8053
-690,Run 1,74,2.2365,1.6123
-690,Run 1,75,2.0270,1.5641
-690,Run 1,76,1.8785,1.4439
-690,Run 1,77,1.9270,1.4872
-690,Run 1,78,1.6250,1.3727
-690,Run 1,79,1.4715,1.2846
-690,Run 1,80,1.6250,1.3481
-690,Run 1,81,1.2340,1.1521
-690,Run 1,82,1.6105,1.3106
-690,Run 1,83,1.6270,1.3289
-690,Run 1,84,1.2980,1.2191
-690,Run 1,85,1.2975,1.1824
-400,Run 3,16,42.9685,12.2727
-400,Run 3,17,37.2215,11.6506
-400,Run 3,18,46.1350,13.5523
-400,Run 3,19,59.6515,16.5598
-400,Run 3,20,65.6065,18.4777
-400,Run 3,21,70.7525,19.4244
-400,Run 3,22,61.6045,18.3185
-400,Run 3,23,87.6325,24.4423
-400,Run 3,24,105.5410,27.8788
-400,Run 3,25,117.3520,31.2144
-400,Run 3,26,147.5105,38.4075
-400,Run 3,27,151.9080,40.8227
-400,Run 3,28,197.6515,51.8743
-400,Run 3,29,284.6230,72.9537
-400,Run 3,30,409.3015,104.1696
-400,Run 3,31,411.2795,104.7298
-400,Run 3,32,287.1335,75.2009
-400,Run 3,33,204.3695,53.7538
-400,Run 3,34,167.1570,43.3052
-400,Run 3,35,148.9280,38.3562
-400,Run 3,36,116.4455,30.9274
-400,Run 3,37,94.6025,26.4448
-400,Run 3,38,91.9680,25.0705
-400,Run 3,39,83.9105,22.6340
-400,Run 3,40,74.0810,20.2964
-400,Run 3,41,69.1785,18.9244
-400,Run 3,42,44.5325,14.0231
