x_mm,run_label,channel,threshold_pe,n_events_valid,frac_excl,mean_npe_nearest,mode_ps,rms_full_ps,sigma_core_ps,sigma_core_err_ps,chi2ndf,fit_mu_ps,iqr_sigma_ps,mad_sigma_ps,q25_ps,q50_ps,q75_ps,core_fraction,tail_fraction,tail_boundary_ps,tail_k,sigma_exec12_style_ps,sigma_exec12_style_err_ps,sigma_stat_theory_ps
-690,Run 1,16,4,2000,0.0000,318.6865,344.0135,43.9979,29.6666,5.9827,33.3623,375.8891,2.1315,1.9458,343.9881,345.1677,346.8635,0.8950,0.1050,433.0133,3.0000,7.7679,nan,9.4136
-690,Run 1,16,20,2000,0.0000,318.6865,602.6867,69.1468,46.5255,6.4666,3.2501,645.4259,69.7478,69.6805,615.3966,662.1051,709.4864,0.8740,0.1260,742.2633,3.0000,67.2314,6.5191,nan
-400,Run 3,31,4,2000,0.0000,367.1865,349.7979,50.6307,2.0220,0.0374,2.3544,349.5491,4.3248,3.1390,348.5188,350.2216,354.3530,0.7565,0.2435,355.8640,3.0000,11.3736,nan,8.1702
-400,Run 3,31,20,2000,0.0000,367.1865,603.1783,69.4265,35.4598,3.5495,2.6408,637.4264,71.1833,71.4776,630.4506,679.1217,726.4770,0.6580,0.3420,709.5577,3.0000,72.0875,4.4780,nan
0,Run 4,50,4,2000,0.0000,365.9995,354.7547,53.6079,2.4939,0.0424,3.6073,355.5433,21.7162,4.6079,354.1043,356.7602,383.3995,0.7260,0.2740,362.2364,3.0000,9.5491,nan,8.1967
0,Run 4,50,20,2000,0.0000,365.9995,605.7141,73.2031,48.1496,9.1729,2.6509,671.7890,75.9919,76.4575,647.1893,699.4494,749.7023,0.7505,0.2495,750.1629,3.0000,77.2871,6.0352,nan
