face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,82428761.0,0.44768243734082847,7.419162766831284e-05,18671890.0,0.22652154143139433,5.423768647811763e-05,0.39411868952568535
-Z,82689373.0,0.449097858535383,7.654152452429167e-05,18671856.0,0.22580720257728887,5.622519066657643e-05,0.39411797186745984
-Y,9377156.0,0.050928680747793525,2.317434097575439e-05,5450955.0,0.5813015161526587,0.00016872725285437389,0.11505654977956072
-X_SENSOR,95517.0,0.0005187665427542204,1.6348377657549123e-06,0.0,0.0,0.0,0.0
+X_SENSOR,1574.0,8.548620018375188e-06,2.2191468411694555e-07,0.0,0.0,0.0,0.0
+Y_SENSOR,1852996.0,0.010063887356778368,7.65258577849008e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,7677908.0,0.041699820856444095,1.9833854558249872e-05,4581611.0,0.5967264780979402,0.0001868615195663775,0.09670678882729411
