bin_low,bin_high,photons,probability,probability_se,uniform_probability,old_p_2mu_probability
0.0,0.05,1609138,0.008723513024874284,1.3357943118678525e-05,0.05,0.0025000000000000005
0.05,0.1,4118018,0.022324737629505206,1.6286659083759716e-05,0.05,0.0075000000000000015
0.1,0.15000000000000002,5870554,0.031825644713025125,1.3674064919133418e-05,0.05,0.012500000000000004
0.15000000000000002,0.2,7289480,0.0395179740485655,1.6842266640545058e-05,0.05,0.0175
0.2,0.25,8357942,0.04531035616469428,1.7406788920773004e-05,0.05,0.022499999999999992
0.25,0.30000000000000004,9146731,0.049586565610607286,1.7007306094174877e-05,0.05,0.027500000000000024
0.30000000000000004,0.35000000000000003,9508731,0.051549052181059596,1.720831341439557e-05,0.05,0.0325
0.35000000000000003,0.4,9610659,0.052101627681482424,1.6166677224683535e-05,0.05,0.037500000000000006
0.4,0.45,9680808,0.05248192179869419,1.5488822238064922e-05,0.05,0.04249999999999998
0.45,0.5,9778369,0.05301082277189833,1.5876581959184864e-05,0.05,0.04749999999999999
0.5,0.55,9839317,0.05334123611857216,1.612208496953156e-05,0.05,0.05250000000000005
0.55,0.6000000000000001,9949976,0.0539411444097315,1.6078499239934563e-05,0.05,0.05750000000000005
0.6000000000000001,0.65,10076188,0.05462536914738324,1.732687309665027e-05,0.05,0.062499999999999944
0.65,0.7000000000000001,10184820,0.05521428859799477,1.702220216930369e-05,0.05,0.06750000000000006
0.7000000000000001,0.75,10298460,0.05583035758657543,1.644568623876788e-05,0.05,0.0724999999999999
0.75,0.8,10480855,0.05681916349270154,1.7192667628518906e-05,0.05,0.07750000000000012
0.8,0.8500000000000001,10757002,0.058316220893173065,1.685605599735265e-05,0.05,0.08250000000000002
0.8500000000000001,0.9,11128651,0.060331016946825085,1.8711145002145688e-05,0.05,0.08749999999999991
0.9,0.9500000000000001,11912493,0.06458040755001979,1.8944589221481418e-05,0.05,0.09250000000000003
0.9500000000000001,1.0,14861669,0.0805685796326172,2.0661748250919562e-05,0.05,0.09749999999999992
