face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,87678579.0,0.44323848448967745,7.111904826658572e-05,20005591.0,0.2281696536163069,5.404685079490649e-05,0.38439986011755506
-Z,87986956.0,0.44479741206001905,7.218017476893053e-05,20016378.0,0.22749256151104943,5.5639551078696734e-05,0.38460712824030574
-Y,9464275.0,0.04784442170069319,2.3311238232795115e-05,5868108.0,0.6200272075779708,0.00016573878927979142,0.11275347448394331
-X_SENSOR,1592.0,8.047982475942801e-06,2.0312416941926478e-07,0.0,0.0,0.0,0.0
+X_SENSOR,1568499.0,0.007929178684380532,8.182936965261072e-06,0.0,0.0,0.0,0.0
+Y_SENSOR,1861956.0,0.009412681695337032,7.5162562157200555e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,9251695.0,0.046769773387416856,1.945570563803813e-05,6153623.0,0.6651346591084121,0.00016796307800281575,0.1182395371581959
