face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,84634963.0,0.44284560029001835,7.417810908028501e-05,19257649.0,0.2275377493814229,5.6718907554672894e-05,0.38356223235375925
-Z,84900594.0,0.44423549301851917,7.795178738960953e-05,19260739.0,0.22686224079892775,5.4254152164426295e-05,0.38362377710919504
-Y,9209870.0,0.04818990006225951,2.1739358251618343e-05,5699809.0,0.6188805053708685,0.00016811489396011817,0.11352535628985906
-X_SENSOR,2217.0,1.1600273232741541e-05,2.421135268212508e-07,0.0,0.0,0.0,0.0
+X_SENSOR,1535413.0,0.008033924368562647,8.437674601413448e-06,0.0,0.0,0.0,0.0
+Y_SENSOR,1815865.0,0.00950136678113316,8.083904326967703e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,9017266.0,0.04718211520627442,2.0241218509505234e-05,5989168.0,0.6641889016027697,0.00018143631174614766,0.11928863424718664
