face,encounters,encounter_share,encounter_share_se,escaped,conditional_escape,conditional_escape_se,escape_share
+Z,82307318.0,0.44793227918352396,7.296391379576795e-05,18635603.0,0.22641489788307767,5.613457695821898e-05,0.39477307701261927
-Z,82563580.0,0.44932690635055333,7.522512467087371e-05,18637622.0,0.22573660202234447,5.666608443662316e-05,0.39481584712542367
-Y,9393884.0,0.05112332624549422,2.309391726495611e-05,5438977.0,0.5789912883744359,0.0001752499369755106,0.11521825647878767
-X_SENSOR,3411.0,1.856331905135094e-05,3.251220555939315e-07,0.0,0.0,0.0,0.0
+X_SENSOR,13656.0,7.431858251693007e-05,6.35169798280192e-07,0.0,0.0,0.0,0.0
+Y_SENSOR,1857988.0,0.010111528595010681,8.183534050373595e-06,0.0,0.0,0.0,0.0
OPEN_+Y_OR_+/-X_UNRESOLVED,7609631.0,0.04141307772384952,1.868123020933561e-05,4493659.0,0.5905225890716645,0.0001753521296677487,0.0951928193831694
