analysis_status,cell_id,material,opsc_code,x_mm,root_path,root_size_bytes,root_mtime_utc,root_sha256,hash_matches_done,events,photons,mean_npe_end,sem_npe_end,mean_npe_left,mean_npe_right,mean_npe_top,fraction_events_left_ge1,fraction_events_right_ge1,fraction_events_both_ends_ge1,npe_reference,npe_reference_difference,npe_reference_tolerance,npe_reference_pass,time_delta_max_abs_ns,time_delta_rms_ns,time_delta_nonzero_fraction,time_order_violations,minimum_propagation_time_ns,path_violations,minimum_path_minus_chord_mm,boundary_violations,minimum_boundary_encounters,apparent_speed_violations,maximum_chord_minus_vgroup_time_mm,duplicate_event_track,source_type_violations,sensor_map_violations,tau_config_ns,tau_tail_cut_ns,tau_tail_count,tau_fit_ns,tau_fit_error_ns,tau_relative_difference,tau_pass,all_gates_pass
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xm650,EJ-200,OPSC-100,-650,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xm650/attempts/49749dc0e186483c86cf6e0b900894b1/photon_hits_run000.root,13670058656,2026-09-15T11:02:53.564445+00:00,5535290397016fcec9047ee4e09374dfbccedee15e7707708640b321edb10c2f,True,10000,67720057,2589.0144,,2345.3235,243.6909,4182.9913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xm500,EJ-200,OPSC-100,-500,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xm500/attempts/eda9b96121cb40cd89b0818d157b1214/photon_hits_run000.root,13168147625,2026-09-15T11:09:32.550057+00:00,3c9fb0dd2bcedef701f61459bcf78aa223802307f9ddadb68461dc559debfa1b,True,10000,63997268,1657.5541,,1379.9831,277.571,4742.1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xm200,EJ-200,OPSC-100,-200,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xm200/attempts/84c2ac28226b4278b513220ec4fb5b06/photon_hits_run000.root,13111103948,2026-09-15T11:12:37.231881+00:00,863c68acce144a8e30a31222d3856dc44283b9dad77d1541da2fc1f47e6628e6,True,10000,63348852,1140.1472,,743.1841,396.9631,5194.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULLY_ANALYZED,EJ200_xp0,EJ-200,OPSC-100,0,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xp0/attempts/c73247d595ca49f4aa18793200edab77/photon_hits_run000.root,13095711668,2026-09-15T11:13:16.989843+00:00,8e20d372d616e7d58d92c040d542b1691186367b7f667226de43fbac4b71f88e,True,10000,62596038,1056.8094,2.6171652188087506,528.5215,528.2879,5202.7944,1.0,1.0,1.0,1056.81,-0.0005999999998493877,13.090826094043754,True,0.0,0.0,0.0,0,2.022430578563217e-08,0,-3.410605131648481e-13,0,0,0,1.2789769243681803e-12,0,0,0,2.1,10.5,961890,2.601323246287664,0.0029386504472264595,0.23872535537507797,False,False
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xp200,EJ-200,OPSC-100,200,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xp200/attempts/791043ce3257443f9fe26c06f6359aed/photon_hits_run000.root,13093001652,2026-09-15T11:12:28.472889+00:00,5a33bc0aa14ca246621ccaa74e6ed6ed889b291b73ed3c26dfd1d87e88115bbb,True,10000,63261381,1138.3405,,396.4248,741.9157,5187.7976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xp500,EJ-200,OPSC-100,500,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xp500/attempts/d572ac23e46341958fd74436b4b1fb63/photon_hits_run000.root,13156746528,2026-09-15T11:09:27.869062+00:00,528239c0da87a5820d87cfcfa6ee20ce18e60cb80d0aa4542333bca8fb4fb6ae,True,10000,63932058,1656.2349,,277.5965,1378.6384,4736.9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ200_xp650,EJ-200,OPSC-100,650,/home/rrios/exec46_20260915/full_grid/cells/EJ200_xp650/attempts/8ad503335084431e968c7d819f0d7bfa/photon_hits_run000.root,13744307215,2026-09-15T12:01:55.816713+00:00,955bcc4808dcc613bad246debbb4c5e1eea6efd509b8459c522516f7ef680872,True,10000,68056391,2602.5408,,244.9545,2357.5863,4203.0983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ204_xm650,EJ-204,OPSC-101,-650,/home/rrios/exec46_20260915/full_grid/cells/EJ204_xm650/attempts/96b1c186bf6b4be684c02984888dde15/photon_hits_run000.root,13147644019,2026-09-15T12:08:54.761304+00:00,2473580fdc1b6baa33eb282f892cab03060ddd94c4ed0e277b189293a310770d,True,10000,63710913,2546.4486,,2405.7183,140.7303,3824.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ204_xm500,EJ-204,OPSC-101,-500,/home/rrios/exec46_20260915/full_grid/cells/EJ204_xm500/attempts/7734e245e56c43a19ecca8178a1a00e2/photon_hits_run000.root,12395148541,2026-09-15T12:09:38.946260+00:00,7914092a0a9675fe14f77b89a8943744fefbf80820d6cdd69f30c6ee3caabf9a,True,10000,58285995,1472.8763,,1303.6846,169.1917,4355.7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT_ANALYZED_AFTER_HARD_ABORT,EJ204_xm200,EJ-204,OPSC-101,-200,/home/rrios/exec46_20260915/full_grid/cells/EJ204_xm200/attempts/bb18302b934a49eea769df15714a8535/photon_hits_run000.root,12137308619,2026-09-15T12:12:32.773088+00:00,487e6cbe41cd39dedd0fc0239f658793f043c1237e7da1dcac15d7f827d1439e,True,10000,56379503,882.5701,,609.1654,273.4047,4755.3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
