cell_id,material,opsc_code,x_mm,scope,coordinate_definition,local_half_width_mm,tau_config_ns,tau_rise_config_ns,cut_multiplier,cut_ns,tail_photons,contributing_events,tau_fit_ns,se_event_ns,se_iid_photon_ns,relative_difference,is_gate_cut,gate_tolerance_relative,minimum_contributing_events,cut_pass
EJ200_xm200,EJ-200,OPSC-100,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,966035,10000,2.593916695385195,0.0029101995943004873,0.0028883358227796982,0.23519842637390226,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,85315,9995,3.1155347803073874,0.01331401658800728,0.01313007649654225,0.48358799062256536,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6049,4407,4.87943387199381,0.08596434193317505,0.0852575574324095,1.3235399390446714,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,290,281,10.075844134710712,0.7206201037966805,0.7168823720168697,3.7980210165289106,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4255909,10000,2.1002150137551205,0.0010245730648082943,0.0010181205071073344,0.00010238750243831061,True,0.03,200,True
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1565833,10000,2.100277418856329,0.0016723136507341967,0.0016786231613666938,0.00013210421729943566,True,0.03,200,True
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,575927,10000,2.1007813433082245,0.002798867999135517,0.002768669311204569,0.00037206824201163613,True,0.03,200,True
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,28649,9420,2.0932562856911074,0.012669618244157086,0.012508242680790335,-0.003211292528044117,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,12.0,25.200000000000003,553,532,2.185469293067293,0.09274844670975967,0.09280167576723715,0.040699663365377566,False,,,
EJ200_xm200,EJ-200,OPSC-100,-200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,20.0,42.0,0,0,,,,,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,3.0,6.300000000000001,5503662,10000,2.4274073988271163,0.0011029777215943823,0.0010905777474983203,0.15590828515576963,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,4.0,8.4,2275956,10000,2.5042946694236536,0.0017652958941752242,0.0017845531924549406,0.19252127115412074,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,961890,10000,2.601323246287664,0.002957333210081264,0.0029386504472264595,0.23872535537507797,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,85247,9993,3.2075982370413825,0.013979065793534902,0.01372604823965033,0.5274277319244678,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6389,4653,5.2689891497738275,0.08606278608142402,0.08504238850753498,1.509042452273251,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,319,310,10.288152065612085,0.7175876924334424,0.6923008251184843,3.89912003124385,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4218664,10000,2.1024035769383387,0.0010284890713668855,0.001024573742289889,0.0011445604468279008,True,0.03,200,True
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1553310,10000,2.1038000380406294,0.0016757557559022504,0.0016903230383180485,0.0018095419241092089,True,0.03,200,True
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,572488,10000,2.1058808881194833,0.0027779347353088213,0.0027862953680748096,0.0028004229140396065,True,0.03,200,True
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,28815,9428,2.1103314243912448,0.01235777281941801,0.012414683358064919,0.004919725900592705,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,12.0,25.200000000000003,547,534,2.01845113515267,0.08683745924099077,0.08674627452540085,-0.03883279278444282,False,,,
EJ200_xp0,EJ-200,OPSC-100,0,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,20.0,42.0,1,1,,,,,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,3.0,6.300000000000001,5551669,10000,2.4190957763053684,0.0011099981067579801,0.001079902061840614,0.151950369669223,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,4.0,8.4,2287744,10000,2.498155702768421,0.0017990493772336413,0.0017655347190824804,0.189597953699248,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,966007,10000,2.5897115222507114,0.0029541447554241114,0.002894112617581624,0.2331959629765292,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,85089,9990,3.1342562942414625,0.013229756740591413,0.013269664846128355,0.4925029972578392,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6057,4465,5.000101013484347,0.08798154129660406,0.08607265686135937,1.3810004826115936,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,333,317,9.01963997197306,0.6290331268224241,0.6283881473253699,3.2950666533205046,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4257092,10000,2.0995816542325407,0.001019264754724936,0.0010174968652553287,-0.00019921227021874307,True,0.03,200,True
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1565409,10000,2.1006141439313617,0.0016609513683773019,0.0016770782446727808,0.00029244949112457636,True,0.03,200,True
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,576544,10000,2.097814144473648,0.0027599659614993997,0.002759959317795469,-0.0010408835839772902,True,0.03,200,True
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,28448,9397,2.0981439266977664,0.012440104657325276,0.012442031349223752,-0.0008838444296350934,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,12.0,25.200000000000003,531,517,2.0684459278698806,0.09342794046330337,0.09234295900928752,-0.015025748633390245,False,,,
EJ200_xp200,EJ-200,OPSC-100,200,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,20.0,42.0,1,1,,,,,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,3.0,6.300000000000001,5544057,10000,2.41410007515726,0.0010892329609552736,0.001083622115635568,0.1495714643605999,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,4.0,8.4,2271391,10000,2.5106347696377305,0.001795257910842214,0.0017814331582106616,0.19554036649415732,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,961931,10000,2.609650137169881,0.00293705644961656,0.002911005477964044,0.24269054150946712,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,86049,9998,3.1360381925362715,0.013081055752140795,0.013111039822697037,0.4933515202553673,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6132,4494,4.932065532077601,0.08494576663063708,0.08396375082506362,1.3486026343226671,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,315,302,9.687894902655556,0.6058538273890649,0.6019924429459242,3.613283286978836,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4312807,10000,2.101833126519165,0.0009938078356086667,0.001011921486458638,0.0008729173900785219,True,0.03,200,True
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1587756,10000,2.102313572159895,0.0016359626421002895,0.0016669826755594567,0.0011017010285214416,True,0.03,200,True
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,585152,10000,2.1004586993424805,0.002715873551694826,0.002742450011026607,0.00021842825832401892,True,0.03,200,True
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,29251,9443,2.0882014053260525,0.012236342556836675,0.012175445365840623,-0.005618378416165531,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,12.0,25.200000000000003,534,517,2.0648488683183186,0.09120707970115928,0.09103454164404534,-0.016738634134134043,False,,,
EJ200_xp500,EJ-200,OPSC-100,500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,20.0,42.0,0,0,,,,,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,3.0,6.300000000000001,5834444,10000,2.3906242700150235,0.001062405581158766,0.0010477815924625172,0.13839250953096355,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,4.0,8.4,2367167,10000,2.491613544056339,0.001750626212656356,0.0017343027211901263,0.18648264002682813,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,5.0,10.5,994500,10000,2.59864724747816,0.0028827461832884394,0.0028468107738273043,0.23745107022769513,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,8.0,16.8,87899,9997,3.122088445941442,0.012992542125704897,0.012869406238509438,0.48670878378163906,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,12.0,25.200000000000003,6369,4633,4.9134597781831255,0.07873905481555094,0.07736976693219821,1.339742751515774,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,2.1,0.9,20.0,42.0,301,289,8.536018474921358,0.5831711669969046,0.5712823174754441,3.0647707023435036,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,3.0,6.300000000000001,4587760,10000,2.1005751706159073,0.0009756713755789535,0.0009799659270132467,0.00027389076947960584,True,0.03,200,True
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,4.0,8.4,1689186,10000,2.0983878152294486,0.0016031796595088786,0.0016139808756265184,-0.0007677070335959392,True,0.03,200,True
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,5.0,10.5,621732,10000,2.095480952891342,0.0026481621873289157,0.002658796554876452,-0.0021519271945990596,True,0.03,200,True
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,8.0,16.8,30703,9543,2.1015472553651655,0.012054012361419487,0.012087382594701079,0.0007367882691263919,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,12.0,25.200000000000003,602,582,2.1517147530855625,0.08292509653648904,0.08275473659113279,0.024626072897886854,False,,,
EJ200_xp650,EJ-200,OPSC-100,650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,2.1,0.9,20.0,42.0,0,0,,,,,False,,,
