threshold,sample,efficiency_mean,sigma_dt_core_mean,sigma_tplus_core_mean
4,native,1.0,78.47006841455072,47.992248217148436
4,matched20,1.0,78.47006841455072,47.992248217148436
20,native,1.0,99.83712557367672,65.67712730494983
20,matched20,1.0,99.83712557367672,65.67712730494983
