x_true_mm,threshold,n,mean,median,sigma_core,rms,rms68,mad_sigma,skewness,excess_kurtosis,tail2,tail3,valid_fraction
-462.0,20,3000,2.2428394801891938,2.425770612381285,10.574150996943454,10.895291647220047,10.574150996943454,10.761692190297175,-0.09053711253097448,0.1517712782646754,0.05333333333333334,0.005666666666666667,1.0
-461.0,20,3000,1.640323180787074,1.777174880360036,11.188321835407347,11.044789014002685,11.188321835407347,11.37986639366087,-0.09076862168009277,-0.21944695130660907,0.042,0.0006666666666666666,1.0
-460.0,20,3000,0.1621427211206047,0.42925689573090153,10.968848773227403,11.037426829591961,10.968848773227403,10.988382686206629,-0.1661328325678205,0.03189823478980358,0.04766666666666667,0.003,1.0
-459.0,20,3000,-0.10664489213067949,0.12932646225175404,10.66961393069004,10.987101343281505,10.66961393069004,10.838609663974191,-0.09198463010769634,0.1317945990502003,0.05366666666666667,0.005666666666666667,1.0
-458.0,20,3000,-0.6076528403731384,-0.5849202264002145,10.718879432526965,11.005178089221925,10.718879432526965,10.891529880610937,-0.008067649785764243,0.1493800150261313,0.052,0.005333333333333333,1.0
-457.0,20,3000,-0.3413903616370883,-0.40688116414412434,10.554155294733938,10.632543618354351,10.554155294733938,10.605592405807649,-0.029961743964169944,0.02433861373206181,0.04633333333333333,0.0036666666666666666,1.0
-456.0,20,3000,-0.38486498887593484,0.027317421621177118,10.833708488412519,10.898520590236176,10.833708488412519,10.978822932948802,-0.06620173466626707,0.12744021811290596,0.04733333333333333,0.005,1.0
-455.0,20,3000,-0.5362264422066713,-0.2826164441142396,10.826266924631241,10.842223997404247,10.826266924631241,10.734981755710487,-0.10180682753440243,-0.024675118373996163,0.04566666666666667,0.0033333333333333335,1.0
-454.0,20,3000,-0.7754492584213625,-0.4169544507159628,10.549824406804383,10.64772078825353,10.549824406804383,10.383590865862416,-0.09876810939843896,0.07512079681161499,0.05266666666666667,0.0036666666666666666,1.0
-453.0,20,3000,-0.5182646633876992,-0.4213316821053752,10.307019511020071,10.358352436061669,10.307019511020071,10.385873070899434,-0.08600850903106314,0.021518846789780888,0.04766666666666667,0.0023333333333333335,1.0
-452.0,20,3000,-0.324758950605396,-0.4549147394707518,9.980031484425469,10.014107843889585,9.980031484425469,9.706859503532716,0.02234650143842739,0.02485414937360586,0.04133333333333333,0.0033333333333333335,1.0
-451.0,20,3000,-0.8151879294994636,-0.8321786374080489,10.401464160787246,10.427572134152465,10.401464160787246,10.152916415050552,-0.017013161808955183,-0.09440739257267605,0.04933333333333333,0.001,1.0
-450.0,20,3000,-0.40243088942769223,-0.435262177878883,9.919596574276934,10.040538636140534,9.919596574276934,10.093028587642083,0.05428398801399082,-0.06748738931131903,0.049,0.002,1.0
-449.0,20,3000,-0.37150470254059453,-0.46162363302929066,10.00844721893903,10.201646095817066,10.00844721893903,10.242608063493464,0.01759194425415213,-0.040897735706439065,0.052333333333333336,0.002,1.0
-448.0,20,3000,-0.2014909180265246,-0.05160592030867406,10.021094745182124,10.119834271275595,10.021094745182124,9.942917822666,-0.023791939633962745,0.0021092274241567566,0.04933333333333333,0.0036666666666666666,1.0
-447.0,20,3000,-0.5226215061898287,-0.5350571899591046,9.882309002549619,9.917505984624919,9.882309002549619,9.766073575835811,-0.006655323139503149,0.0195054280595528,0.04933333333333333,0.0033333333333333335,1.0
-446.0,20,3000,-0.4417712234059615,-0.417448745531658,10.01654038144757,10.07076686423836,10.01654038144757,9.979942435191017,0.046626542957514325,-0.051545074056124296,0.04833333333333333,0.0026666666666666666,1.0
-445.0,20,3000,-0.47328274855761127,-0.4421158175687765,9.867167997800955,9.862069816634254,9.867167997800955,9.8119340872724,0.013416463700865472,0.04820663263705871,0.043,0.003,1.0
-444.0,20,3000,-0.1966294250673509,-0.03522329269478064,9.958924066074047,10.00360961927494,9.958924066074047,9.767815869827174,-0.005859329210734193,0.0634321504066242,0.047,0.004,1.0
-443.0,20,3000,-0.154610660444846,0.019595559136234897,9.864689086426324,9.970067403463016,9.864689086426324,9.736283383939249,-0.016668867976501966,0.06678572467611943,0.051,0.0036666666666666666,1.0
-442.0,20,3000,0.16259894005618378,0.07766961045047083,9.573486796377962,9.704024656872736,9.573486796377962,9.616750760430993,-0.02724357350085521,-0.023188639592324645,0.050333333333333334,0.0033333333333333335,1.0
-441.0,20,3000,0.06021754900796776,0.024800718961898838,9.960451934530498,9.998243626151428,9.960451934530498,9.709179136780003,-0.015221835751193121,-0.022003978546658587,0.04766666666666667,0.0026666666666666666,1.0
-440.0,20,3000,0.16288756934783458,0.27273908491736165,10.040631773603659,10.08864280858543,10.040631773603659,10.141100446149007,-0.018587883743839843,-0.03338349405204921,0.048,0.0016666666666666668,1.0
-439.0,20,3000,-0.23064825319156412,-0.24614004710736026,9.762874453300661,9.949222921078583,9.762874453300661,9.660153895360823,0.020015083118553587,0.03469927261506056,0.05333333333333334,0.0033333333333333335,1.0
-438.0,20,3000,0.4786969303965184,0.6320827300270366,9.952033026176464,9.962600526857434,9.952033026176464,9.808180410697936,-0.0465718470270846,0.13500006322192837,0.04533333333333334,0.003,1.0
-437.0,20,3000,0.3034351057393715,0.40890983707137707,9.967115930434424,10.005758251573543,9.967115930434424,10.110287537091663,-0.04619624478295629,-0.03506813282311416,0.04833333333333333,0.0013333333333333333,1.0
-436.0,20,3000,0.0183866241041394,0.1203573572605876,10.180239040201808,10.16938247861797,10.180239040201808,10.076726326668,-0.03322508682641906,0.06533548320622984,0.04466666666666667,0.003,1.0
-435.0,20,3000,0.4012787730439252,0.7137541343065834,10.12249669611452,10.201063460551625,10.12249669611452,10.17509145218376,-0.07265210377257102,0.1673784592436145,0.044,0.005666666666666667,1.0
-434.0,20,3000,0.6490414609114263,0.7573360441319608,10.180074027323055,10.241171536931688,10.180074027323055,10.076688810040018,-0.12992338580984797,0.10037872927665514,0.047,0.0036666666666666666,1.0
-433.0,20,3000,0.26316854465032113,0.1891281847088635,9.904316079958859,10.013119617019669,9.904316079958859,9.954149436952349,0.018593968367811003,0.045987582034609176,0.050333333333333334,0.002,1.0
-432.0,20,3000,0.3379106715566013,0.348086068947822,9.882106985131234,10.367811342533278,9.882106985131234,10.037295963269305,-0.05730286752843878,0.22137035207645628,0.062,0.006666666666666667,1.0
-431.0,20,3000,0.2433808182365188,0.4959434919590535,10.151740844915917,10.342713990732292,10.151740844915917,10.294010603240812,-0.048470066776398,0.36581963597582057,0.04566666666666667,0.005666666666666667,1.0
-430.0,20,3000,0.7403287777024786,0.954970587940096,10.517260272648048,10.776357628402415,10.517260272648048,10.347811196246079,0.05353055076311935,0.17853286022049364,0.05433333333333333,0.004,1.0
-429.0,20,3000,0.7343912492116421,0.7152988453252078,10.784492874715562,10.764407900785137,10.784492874715562,10.851668671954416,0.06661923801677806,-0.05334445726810255,0.043333333333333335,0.0036666666666666666,1.0
-428.0,20,3000,0.7623170748884328,0.4663495771858095,10.79248198936507,10.946618993939747,10.79248198936507,10.639558648579115,0.11059205675630751,0.124455301141146,0.051333333333333335,0.003,1.0
-427.0,20,3000,0.6421231864221751,0.7084482340514455,11.013384687204963,10.989165154322873,11.013384687204963,11.019869780766388,-0.018812066232828106,-0.1169310707325768,0.04133333333333333,0.0026666666666666666,1.0
-426.0,20,3000,0.47312106985928903,0.39051272622785405,10.448722239144253,10.885664565672434,10.448722239144253,10.59413750150688,0.10716292565377938,0.16946263480267243,0.05566666666666667,0.006,1.0
-425.0,20,3000,0.2983767302181172,0.09943359850976208,10.66704503221855,11.009917397787104,10.66704503221855,10.534034472144006,0.14496839323537497,0.2158875695050928,0.058,0.004333333333333333,1.0
-424.0,20,3000,0.03816402529932369,-0.16489485949750815,10.796735061175244,10.939912615346806,10.796735061175244,10.962901528619106,0.019604191541728568,0.03934314465437927,0.050333333333333334,0.0026666666666666666,1.0
-423.0,20,3000,-1.2177261012011071,-1.6644153777304496,10.760514928528146,11.028989517667368,10.760514928528146,10.94987522517445,0.10388363410369036,0.06618570740066687,0.050666666666666665,0.004666666666666667,1.0
-422.0,20,3000,-2.129368186074534,-2.0346989407437093,10.57245065649239,10.825467243705797,10.57245065649239,10.902904936885495,0.10656002500842973,0.13441597017466345,0.048,0.004,1.0
