x_true_mm,threshold,n,mean,median,sigma_core,rms,rms68,mad_sigma,skewness,excess_kurtosis,tail2,tail3,valid_fraction
-462.0,4,3000,0.8983456623983983,5.948926898169816,17.502607550527973,19.19305553011438,17.502607550527973,16.279587069590455,0.0010152361006673617,-0.10508906971083665,0.06366666666666666,0.006333333333333333,1.0
-461.0,4,3000,0.36172302315971827,6.470542192677129,17.439398612968475,18.613890607619464,17.439398612968475,16.50127334243784,-0.06624482560627724,-0.44848566266740164,0.05433333333333333,0.0023333333333333335,1.0
-460.0,4,3000,0.3655721742906817,7.788847001425665,16.513184218922362,18.386835881369194,16.513184218922362,16.183644131298358,-0.06765773553253762,-0.12764569168117168,0.134,0.008,1.0
-459.0,4,3000,-0.05422287007363373,7.92591004063658,16.10988915729898,18.21344929852165,16.10988915729898,16.00747834310639,-0.08583292476146556,-0.10247918922945143,0.153,0.007,1.0
-458.0,4,3000,-0.07726923571517037,7.714021031441405,15.343072409848599,17.88921815849053,15.343072409848599,14.971312289578888,-0.11220944255792166,-0.04402357887586561,0.15633333333333332,0.011333333333333334,1.0
-457.0,4,3000,-0.33323359004375863,7.2968883411902254,15.489811183798924,17.86366346603351,15.489811183798924,14.108949022981834,-0.15630004616117818,-0.07745447657075788,0.15633333333333332,0.008,1.0
-456.0,4,3000,-0.7326160791237938,6.706511567449326,14.909523849936466,17.432344083402242,14.909523849936466,11.999935414603181,-0.285223631302705,0.20537511713710144,0.15633333333333332,0.01633333333333333,1.0
-455.0,4,3000,0.8067106982332537,6.5727748953021035,13.5242419736672,16.830499202377037,13.5242419736672,8.783965040092403,-0.25662548276788233,0.28277794788529054,0.17333333333333334,0.019333333333333334,1.0
-454.0,4,3000,0.0026426137069107654,5.898888829168271,13.505988917303444,16.761184035031754,13.505988917303444,8.79745446748832,-0.24353480601857921,0.30597483148479077,0.16633333333333333,0.021,1.0
-453.0,4,3000,-0.1523308336790179,5.346777709581829,13.006787574493142,16.316667607860406,13.006787574493142,5.79522915393226,-0.3248303193179368,0.44596824476440844,0.17133333333333334,0.043666666666666666,1.0
-452.0,4,3000,0.27953105139774453,4.831350852931195,11.86655514661448,15.798514843382991,11.86655514661448,3.236064932681982,-0.34865344459882264,0.6714963303530541,0.184,0.056,1.0
-451.0,4,3000,-0.5170964095033065,4.241858920692607,12.147629243706774,16.070488899762516,12.147629243706774,3.7622559505367947,-0.28172194902451136,0.6938801088715376,0.18633333333333332,0.052333333333333336,1.0
-450.0,4,3000,-0.2017807343463143,3.8013032218076717,11.152341266448836,15.483523621248278,11.152341266448836,1.9494475799814934,-0.32199928831824215,0.8615641224046837,0.19333333333333333,0.06733333333333333,1.0
-449.0,4,3000,0.08023236768849157,3.3124361535003004,10.62826852081312,15.268941321951191,10.62826852081312,1.570737588231712,-0.27234621481549404,1.1742349385898319,0.19666666666666666,0.07566666666666666,1.0
-448.0,4,3000,0.24204187670053276,2.79409914329068,11.055209651888571,14.974838918055625,11.055209651888571,1.7759054347168004,-0.17387401402211325,1.1659077970079377,0.17566666666666667,0.05466666666666667,1.0
-447.0,4,3000,-0.35921606948501156,2.2446723307248533,11.140035474162124,15.176902065275724,11.140035474162124,1.6295630406994643,-0.23211170253991975,1.1920870444585692,0.17666666666666667,0.06066666666666667,1.0
-446.0,4,3000,-0.4844598441137191,1.780732963561661,11.751350327140301,15.22841189879031,11.751350327140301,1.595765242179346,-0.10988054340259436,1.1654171728469453,0.16,0.04666666666666667,1.0
-445.0,4,3000,-0.44884412256499223,1.3244847540424871,11.294713402754606,14.756403869084762,11.294713402754606,1.4465859600357247,-0.09574402147527455,1.2545754350466174,0.16833333333333333,0.050666666666666665,1.0
-444.0,4,3000,0.16911855941596834,0.9032117315878452,10.649972777737652,13.91762341140553,10.649972777737652,1.3292066506111222,-0.0613887526330651,1.6142068013987965,0.15566666666666668,0.049666666666666665,1.0
