x_true_mm,threshold,efficiency,mean_dt,sigma_dt_core,rms68_dt,tail3_dt,mean_tplus,sigma_tplus_core,rho_ab,dt_rms,dt_skewness,dt_excess_kurtosis
-462.0,4,1.0,-112.39427233986052,103.2444130792222,103.2444130792222,0.006333333333333333,438.3926472743618,57.309519801502404,0.02818499491548424,113.21603067902879,0.0010152361006678017,-0.1050890697108362
-461.0,4,1.0,-109.37084310030906,102.67248931353073,102.67248931353073,0.0023333333333333335,434.1353486239441,56.8036491791662,0.04033186309014329,109.58717825698766,-0.06624482560627681,-0.448485662667403
-460.0,4,1.0,-103.45604919262021,97.2145479276444,97.2145479276444,0.008,428.9873745792654,56.8516934277763,0.04272791978753284,108.24489779377902,-0.06765773553253693,-0.12764569168117124
-459.0,4,1.0,-99.84886543591223,94.71638004860182,94.71638004860182,0.007,423.7830301449767,56.799520705002124,0.014162220072897365,107.08403818986625,-0.08583292476146549,-0.10247918922945232
-458.0,4,1.0,-94.0964879126278,90.2030207182227,90.2030207182227,0.011333333333333334,419.59941426913474,56.763977897879215,0.028649301621627536,105.17199378837127,-0.11220944255792165,-0.044023578875865166
-457.0,4,1.0,-89.62654427394651,91.0060727638973,91.0060727638973,0.008,416.49506250122374,55.969359302491654,0.014952636801964183,104.9529808936579,-0.15630004616117874,-0.07745447657075655
-456.0,4,1.0,-85.96149919481063,87.51665631089807,87.51665631089807,0.01633333333333333,412.5708629177602,54.72703538480553,0.04255362204552957,102.32523058386812,-0.2852236313027048,0.205375117137101
-455.0,4,1.0,-71.53596427793192,79.67267722635769,79.67267722635769,0.019333333333333334,405.26706985932424,49.92064169231344,-0.00043038906727534793,99.15017293541153,-0.2566254827678824,0.2827779478852892
-454.0,4,1.0,-70.1374345254037,79.42021627835092,79.42021627835092,0.021,403.4568517889273,49.626905980170164,0.009013112930029479,98.56196901198415,-0.24353480601857905,0.3059748314847921
-453.0,4,1.0,-65.12664422154474,76.46198394509015,76.46198394509015,0.043666666666666666,399.51559825186104,48.81764089022445,0.020610880587345747,95.9195166004093,-0.3248303193179362,0.44596824476440977
-452.0,4,1.0,-56.815752845220445,69.81335135278958,69.81335135278958,0.056,396.17279779731604,45.19702395574953,0.03651684534348061,92.9458679445002,-0.3486534445988229,0.6714963303530541
-451.0,4,1.0,-55.432452511790245,71.3742950083183,71.3742950083183,0.052333333333333336,395.45511983990303,46.60908133064035,0.018319540105827783,94.42334735839772,-0.2817219490245119,0.6938801088715363
-450.0,4,1.0,-47.77490138449333,65.56109661664358,65.56109661664358,0.06733333333333333,391.2266519746754,45.0231937864516,0.03373147788270186,91.02275153224193,-0.3219992883182423,0.8615641224046837
-449.0,4,1.0,-40.29421267403408,62.50392506634622,62.50392506634622,0.07566666666666666,388.8108378315468,42.58598141355654,0.035301469268590104,89.79531918682264,-0.2723462148154942,1.1742349385898327
-448.0,4,1.0,-33.490181996343296,65.024819126382,65.024819126382,0.05466666666666667,387.5247189770741,41.189914020440455,0.0183447925323282,88.07939629864279,-0.1738740140221133,1.1659077970079377
-447.0,4,1.0,-31.04079075435726,65.48668081009133,65.48668081009133,0.06066666666666667,386.6206516238182,41.531759553954885,-0.01179415512965269,89.21739464294495,-0.23211170253991975,1.1920870444585683
-446.0,4,1.0,-25.879931355197876,69.07858872148626,69.07858872148626,0.04666666666666667,386.0434030372389,40.88423675858087,-0.009780241503748396,89.51798501048661,-0.10988054340259498,1.1654171728469453
-445.0,4,1.0,-19.79940403117941,66.40115357680406,66.40115357680406,0.050666666666666665,384.05061203234254,39.827782063132446,0.0033038043061311105,86.75228884634431,-0.09574402147527443,1.2545754350466165
-444.0,4,1.0,-10.37924404176303,62.62912827788492,62.62912827788492,0.049666666666666665,381.66686455177995,38.01710533748562,0.026464766136508666,81.84515023158315,-0.061388752633064946,1.6142068013987947
-443.0,4,1.0,-5.2690698271687495,63.977486013278146,63.977486013278146,0.041666666666666664,382.041852017756,37.2540629914229,0.0724001299176374,81.13092860773,-0.02303795595966034,1.8263014132752193
-442.0,4,1.0,-1.457943057336589,65.9618355927692,65.9618355927692,0.04066666666666666,381.5857016403155,38.55040038410431,0.01992977510181211,83.51392405655818,0.011228783778476447,1.650506429137967
-441.0,4,1.0,5.653882900971523,65.34031754194646,65.34031754194646,0.050666666666666665,382.00320628220743,39.77018574861498,0.01601444961283033,85.43857475599384,0.054801961039553475,1.64227420551829
-440.0,4,1.0,10.939699375860732,69.30884935042135,69.30884935042135,0.04,383.24856044519834,39.30180254095757,0.011196465145201688,86.44889334251768,0.09285663502648289,1.452100254642331
-439.0,4,1.0,16.19102863953601,64.87695483018715,64.87695483018715,0.053,383.20949433734245,39.00789647071804,0.031219540023540444,84.62529781742019,0.13035625628070444,1.4577139279309437
-438.0,4,1.0,23.911239408563596,68.49513842169523,68.49513842169523,0.041,384.934365736193,39.58718027237103,0.02001299497254885,86.49957134606713,0.2402948738480365,1.3232861301330354
-437.0,4,1.0,28.826857395855253,66.89954206585831,66.89954206585831,0.045,385.54458644295556,41.218747593554156,-0.0013443389073681462,88.00367798024827,0.18014350954632563,1.160114710954928
-436.0,4,1.0,35.41982077541411,65.56933171933616,65.56933171933616,0.06166666666666667,387.34936149343196,41.503562365780255,-0.007518814317451785,89.8841015050932,0.2581070743753693,1.0089789058289895
-435.0,4,1.0,43.978091358015554,63.132288568272244,63.132288568272244,0.074,389.5880263794091,42.846705755966525,0.006944916036082241,89.95993904218129,0.23948149269944352,1.0817353982645788
-434.0,4,1.0,49.387044927249796,66.69994640530898,66.69994640530898,0.05566666666666667,392.4833603573657,43.31065960558337,0.04333207141158839,90.28466751615098,0.3717563312152954,0.8278380514613386
-433.0,4,1.0,51.550645747892915,69.50302007124175,69.50302007124175,0.05466666666666667,395.2080542826709,45.55183053467917,0.037474573272192196,93.1505401962056,0.24707922587737907,0.8869796919240711
-432.0,4,1.0,60.173137525070885,74.05320540487516,74.05320540487516,0.051666666666666666,398.0597407866195,46.72806710274617,-0.0038499503406197143,95.81037287434573,0.27175949445417896,0.4403997035214391
-431.0,4,1.0,63.225363631216936,75.52698492977264,75.52698492977264,0.04766666666666667,400.63587844909216,48.58332755526928,0.028530152395417546,96.34541842097174,0.3212761850581961,0.43803283639942237
-430.0,4,1.0,71.24311101540737,81.0011634247819,81.0011634247819,0.015333333333333332,404.8938928053149,51.75915100274656,0.028059150317414423,99.47721763808633,0.27476342054923525,0.3758747046548043
-429.0,4,1.0,76.96751385333138,82.95972185840724,82.95972185840724,0.013666666666666667,407.5620268043135,51.860139867926904,0.049413787233045306,99.51993208665237,0.24145428500786406,0.12804244133041687
-428.0,4,1.0,83.45406655116956,84.36033074723002,84.36033074723002,0.018,411.8780531991081,54.38449190312201,0.059762202360107625,101.87497868750398,0.1772163016672414,0.21042190544675243
-427.0,4,1.0,91.28484121144174,91.20899975232206,91.20899975232206,0.012333333333333333,416.39432338450615,56.169191270298484,0.036493369317721146,104.33001351694392,0.21253655360611945,-0.13219620179413694
-426.0,4,1.0,95.80354523027042,93.43502449373194,93.43502449373194,0.008333333333333333,419.9638226357992,56.86502186344984,0.015127879856206472,106.33913702561225,0.1311739232258825,-0.13276452235796077
-425.0,4,1.0,101.36835872521753,95.81833100837508,95.81833100837508,0.008,423.9778141815144,56.774167849396065,0.006425533952215409,107.25568738705425,0.0747305606738867,-0.2156525086200216
-424.0,4,1.0,106.45843370539622,99.78863403864388,99.78863403864388,0.004333333333333333,428.93259870427084,56.606356923093614,0.0072010421243366065,108.58145347376413,0.11325672656368692,-0.2831511021487181
-423.0,4,1.0,113.00456416911166,104.13855718142199,104.13855718142199,0.006,436.2677230829082,57.60067502532843,0.02199575557083463,112.73272333690481,0.08432530076953695,-0.2806991741043148
-422.0,4,1.0,117.23303942220736,105.21564540814073,105.21564540814073,0.004,441.2324834489419,57.992529794632674,0.04442773031683766,112.82589740585327,-0.014315510621242443,-0.21927929772128207
-462.0,20,1.0,-173.16147258510526,103.09200505658995,103.09200505658995,0.005666666666666667,830.1381263842111,68.43570931074379,0.3237623156498391,106.22294517194872,-0.09053711253097471,0.1517712782646763
-461.0,20,1.0,-168.7361422857416,108.81823418812466,108.81823418812466,0.0006666666666666666,822.2995051204667,67.82243950787011,0.3152273252024901,107.42222606438006,-0.09076862168009253,-0.21944695130660907
-460.0,20,1.0,-172.18188759210904,106.15835071904027,106.15835071904027,0.003,818.6881748999131,70.63496299739313,0.32259844789291425,106.82206060416031,-0.16613283256782038,0.031898234789804025
-459.0,20,1.0,-164.90523436856068,103.17721278280933,103.17721278280933,0.005666666666666667,810.7981017640394,70.54568854021619,0.33527940137349366,106.24737694597479,-0.09198463010769618,0.1317945990501994
-458.0,20,1.0,-159.74099096653455,103.51103075582157,103.51103075582157,0.005333333333333333,802.8663542170543,69.53168677323498,0.31989396631370065,106.27578515436174,-0.008067649785764158,0.1493800150261313
-457.0,20,1.0,-147.69414571719426,102.00194171275766,102.00194171275766,0.0036666666666666666,796.2790286135936,66.74427712125413,0.32614637528132945,102.75953538023771,-0.02996174396417018,0.024338613732062697
-456.0,20,1.0,-138.43297708869602,104.69884776157286,104.69884776157286,0.005,793.8141833257828,67.12416558360917,0.3115105949579401,105.32520321402028,-0.06620173466626755,0.1274402181129064
-455.0,20,1.0,-130.15991383443048,104.59811478467108,104.59811478467108,0.0033333333333333335,782.8701560593245,66.74301626622349,0.2841355171009013,104.75228424503614,-0.10180682753440203,-0.024675118373995275
