file,x_true_mm,n_entries,n_event_ids_present,event_id_min,event_id_max,gun_x_values,hits_A,hits_B,nonfinite_time_fraction,schema,size_bytes,mtime_ns
pairscan_x-462.0mm.root,-462.0,14499253,3000,0,2999,-462.0,1275935,941991,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",910141575,1781279319907672800
pairscan_x-461.0mm.root,-461.0,14613404,3000,0,2999,-461.0,1289028,948638,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",917383760,1781279208211507700
pairscan_x-460.0mm.root,-460.0,14463586,3000,0,2999,-460.0,1273880,921024,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",907994513,1781279099568528700
pairscan_x-459.0mm.root,-459.0,14546070,3000,0,2999,-459.0,1277033,942107,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913212562,1781278992202004300
pairscan_x-458.0mm.root,-458.0,14654914,3000,0,2999,-458.0,1258812,947081,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",920057505,1781278939371907800
pairscan_x-457.0mm.root,-457.0,14681664,3000,0,2999,-457.0,1227972,937580,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",921676557,1781279639443497700
pairscan_x-456.0mm.root,-456.0,14508701,3000,0,2999,-456.0,1167399,929679,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",910920052,1781279521660384800
pairscan_x-455.0mm.root,-455.0,14603589,3000,0,2999,-455.0,1093093,959716,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",916919477,1781279461860282600
pairscan_x-454.0mm.root,-454.0,14396486,3000,0,2999,-454.0,1080894,964679,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",903931902,1781279362449349000
pairscan_x-453.0mm.root,-453.0,14531688,3000,0,2999,-453.0,1090566,1034241,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",912450649,1781279252903491300
pairscan_x-452.0mm.root,-452.0,14710528,3000,0,2999,-452.0,1102404,1094847,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",923598895,1781279147283274900
