parameter,n_ok,median,p16,p84,mean,std
M1_lam_cm,200,29.259,27.3013,31.4637,29.2877,2.14499
M2_lam_s_cm,200,8.9252,8.18064,10.1369,9.12201,1.07226
M2_lam_l_cm,200,39.0541,37.6181,40.6366,39.0663,1.48557
M2_As,200,2131.25,1833.08,2301.44,2077.83,237.04
M2_Al,200,367.267,329.302,403.216,368.611,36.4716
M3_lam_cm,200,20.046,18.3392,21.914,20.03,1.65962
M3_C_PE,200,13.2207,11.4764,14.8326,13.3714,1.82568
M4_lam_cm,200,38.0081,37.0721,38.9774,38.0589,0.957909
