model,side,lam_cm,lam_err,chi2ndf,aic,aicc,bic,n_points
M1,left,29.24629517260832,1.610185570393326,2367.0716410010195,68649.07758902956,,,31
M3,left,19.976171681758885,1.0467381831445712,1070.0768901491344,29968.152924175763,,,31
M2_ls,left,8.954702462016302,0.415891989689405,100.97764335353092,2734.396370545335,,,31
M2_ll,left,38.858391061075736,0.7842610962007266,100.97764335353092,2734.396370545335,,,31
M4_tail,left,38.128578706979155,0.765940998808533,87.77390129040421,,,,31
M1,right,29.42456144259965,1.5928032910184255,2270.823009262559,65857.86726861421,,,31
M3,right,20.223527506362416,1.047864701034251,1030.184833316153,28851.175332852283,,,31
M2_ls,right,8.893464647947145,0.40978678149862163,96.94091854468434,2625.404800706477,,,31
M2_ll,right,38.79669835384533,0.7609165596329364,96.94091854468434,2625.404800706477,,,31
M4_tail,right,38.1277515779507,0.7676484134202713,88.62043256223728,,,,31
