metric,n,median,p16,p84,mean,std
M3_lam_cm,200,20.328870234996,18.76289025785174,22.05663039964134,20.402088098229566,1.685193969586462
M3_C_PE,200,12.829956808649502,11.339777196227807,14.453807968173493,12.961483254678798,1.740677142635645
M4_lam_cm,200,38.28205464679277,37.20641531530962,39.27411497623804,38.26826363513168,1.0224562848159182
M2_lam_s_cm,200,9.162638809448971,8.316818311394753,10.096116506004485,9.600711230743682,2.659661640502283
M2_lam_l_cm,200,39.423160623354875,38.04808159934559,40.64206351482963,39.29755705094086,2.007916276359421
M2_n_fail,0,,,,,
M2_failure_frac,0.0,,,,,
