dmin_cm,side,lam_cm,lam_err,chi2ndf,n_points
30.0,left,36.411700216274426,0.8493263639068647,170.49680859992264,23
30.0,right,36.48829397437268,0.849562507733501,167.85249646638417,23
40.0,left,38.128578706979155,0.765940998808533,87.77390129040421,21
40.0,right,38.1277515779507,0.7676484134202713,88.62043256223728,21
50.0,left,39.737766153820395,0.6981033256470043,44.621565847418985,19
50.0,right,39.66268904542212,0.6635805764873755,42.49572569122033,19
