replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
166,26.0009,2314.88,1,8.13222,38.6628,2231.96,371.994,87.1669,1,20.046,13.2207,914.932,1,38.8171,52.2451,1
167,28.3593,2164.94,1,9.48871,39.8927,1904.66,351.156,52.7646,1,20.6429,11.6726,689.072,1,38.2812,101.189,1
168,31.7264,1453.15,1,10.0023,40.6477,2028.2,327.547,38.6205,1,22.1151,11.9553,800.864,1,38.6155,73.7174,1
169,30.3692,2099.44,1,8.76288,39.2945,2140.42,370.059,88.2431,1,20.83,11.367,765.176,1,37.9849,111.841,1
170,31.0907,1182.9,1,10.1636,40.0397,1806.96,340.251,49.7375,1,22.8671,11.4764,581.955,1,37.895,82.8115,1
171,30.5054,2265.31,1,9.32591,39.0541,2144.92,364.95,89.143,1,19.3069,14.0641,1145.59,1,36.4402,128.678,1
172,22.9145,3306.62,1,7.36219,35.3768,2358.01,464.353,121.761,1,16.9272,17.8471,1545.79,1,36.5726,84.1425,1
173,30.8488,2329,1,9.29122,39.5844,2098.66,357.552,100.153,1,19.9595,12.2121,1026.42,1,37.5817,127.776,1
174,29.2755,1168.22,1,10.3294,40.242,1793.61,330.802,28.341,1,22.4643,12.733,601.392,1,37.9376,73.6564,1
175,29.0936,1564.39,1,8.06691,36.5904,2170.32,430.038,104.798,1,21.3591,13.1614,755.637,1,36.9533,91.4569,1
176,29.0252,2589.9,1,8.46128,37.6894,2230.85,401.967,113.974,1,19.2299,13.9719,1332.35,1,37.651,89.3551,1
177,30.1912,1881.34,1,9.61962,40.0501,2010.49,342.683,36.5346,1,20.9189,12.8437,870.739,1,39.229,35.3638,1
178,31.7044,1128.4,1,11.9004,42.1003,1440.89,297.839,14.1004,1,22.1673,11.4116,283.847,1,37.9089,75.2027,1
179,30.149,1754.18,1,10.2012,40.3784,1827.1,334.042,34.1542,1,21.1381,12.3437,723.449,1,38.2176,68.9993,1
180,28.4814,2645.33,1,8.6063,38.213,2270.83,388.046,95.0179,1,19.1293,14.3827,1310.53,1,37.8811,79.6398,1
181,28.2073,3514.54,1,8.65347,39.0982,2336.68,367.267,94.7944,1,17.4644,14.8243,1404.47,1,38.7263,71.2682,1
182,27.948,2713.78,1,8.85404,39.1718,2106.68,364.596,109.428,1,19.6027,13.149,1126.12,1,39.7818,56.465,1
183,28.3681,1906.81,1,8.4515,36.9274,2131.25,416.035,100.775,1,19.5949,14.8326,883.213,1,36.5122,91.9911,1
184,31.6,1965.98,1,9.75234,40.2998,2101.27,336.497,79.6131,1,20.4875,12.3732,914.746,1,38.1046,86.9725,1
185,31.0887,1694.45,1,8.83241,39.2956,2331.15,359.073,52.1369,1,21.8012,12.2196,896.092,1,37.6622,86.728,1
186,23.672,2676.63,1,8.72843,39.0935,2213.65,362.233,99.5682,1,19.2131,14.0585,1344.01,1,38.8374,48.5808,1
187,31.577,1122.05,1,10.0469,40.742,1891.68,326.129,41.5346,1,23.2926,10.7867,532.382,1,39.108,69.7876,1
188,31.4663,2300.11,1,8.62981,39.5768,2191.12,362.738,91.0464,1,20.1866,11.4991,787.725,1,38.926,80.995,1
189,27.3013,2065.81,1,8.96284,39.1297,2107.64,361.495,102.467,1,21.2128,12.1009,1049.09,1,38.8637,76.0818,1
190,32.6888,1389.47,1,9.09577,39.2914,2204.42,363.142,83.2804,1,22.3769,11.2552,706.757,1,38.899,52.5288,1
191,26.4498,2823.26,1,7.8829,37.5009,2249.77,410.598,126.385,1,18.6776,13.7853,1067.58,1,37.0356,115.09,1
192,31.3366,2018.44,1,10.8432,41.8774,1856.14,303.362,18.117,1,19.6116,13.0316,850.996,1,37.8457,93.4334,1
193,28.8948,2837.41,1,8.86267,38.7171,2133.57,376.553,101.262,1,18.5601,14.1422,1103.49,1,38.4934,72.1299,1
194,28.7029,2219.05,1,7.7041,37.4962,2467.28,413.861,101.811,1,20.8451,11.8037,1069.38,1,37.5199,130.243,1
195,30.2333,2612.66,1,8.27602,38.0006,2307.17,404.492,96.4728,1,18.7911,13.4071,1207.86,1,38.3366,67.6557,1
196,28.9933,2478,1,8.87872,38.8352,2301.75,367.224,71.6013,1,18.7917,16.0321,1227.42,1,37.5503,61.7248,1
197,30.0602,1234.48,1,11.1663,41.2112,1603.51,313.247,34.1807,1,22.3476,11.6486,469.019,1,38.851,55.7307,1
198,31.0092,1518.36,1,10.1369,40.5696,1775.54,334.678,52.3478,1,21.914,11.2835,539.02,1,39.0539,75.2616,1
199,32.3727,1105.45,1,12.7314,43.4012,1366.63,273.331,9.32068,1,22.4901,10.8894,252.752,1,39.1268,55.5185,1
200,29.0402,2186.18,1,8.97576,37.8087,1975.19,399.62,111.054,1,19.1094,14.3563,1011,1,36.8381,124.346,1
