replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
94,298.939,2874.03,1,77.5954,373.72,2483.27,416.649,97.1334,1,183.969,14.2793,1336.71,1,325.854,886.331,1
95,308.996,1822.21,1,89.8281,390.772,2157.49,369.407,81.8315,1,211.887,12.3457,866.867,1,316.405,1174.79,1
96,279.558,2263.17,1,84.5374,378.37,2394.86,390.074,70.6033,1,198.271,15.0262,1249.24,1,312.578,548.346,1
97,301.367,1628.89,1,92.4913,390.301,2170.37,362.719,72.014,1,213.189,13.2166,853.339,1,311.267,973.7,1
98,273.433,2671.47,1,80.4239,404.481,2457.38,334.971,91.0882,1,201.565,12.1302,1422.13,1,299.643,1061.73,1
99,272.587,1728.96,1,90.2944,380.05,2057.91,381.244,37.3055,1,200.669,16.1778,881.218,1,292.995,651.295,1
100,307.981,1657.54,1,87.4563,387.875,2137.47,371.509,109.552,1,217.489,11.9918,770.691,1,316.279,1015.99,1
101,332.674,1189.58,1,92.3272,401.762,2484.33,341.13,50.2521,1,239.752,10.1305,670.54,1,340.105,443.012,1
102,331.255,1065.18,1,97.6773,399.312,1954.11,344.452,44.3383,1,228.372,11.1675,491.863,1,343.136,511.57,1
103,319.509,761.328,1,120.783,429.415,1443.76,281.608,11.8067,1,244.604,9.76596,229.644,1,319.509,761.328,1
104,316.618,1534.6,1,102.832,411.13,1797.5,321.862,51.8783,1,217.47,11.2156,542.182,1,324.315,1087.01,1
105,305.824,1539.68,1,95.9061,403.794,1978.39,336.53,28.3485,1,218.806,11.6857,601.642,1,311.585,1133.84,1
106,270.916,2836.04,1,81.3194,384.819,2237.15,383.037,130.09,1,195.164,13.351,1160.84,1,286.208,1892.42,1
107,323.399,2256.77,1,100.382,408.714,2024.33,328.492,50.5925,1,192.543,12.4958,827.365,1,354.299,642.825,1
108,264.199,1925.97,1,88.8364,382.352,2052.56,381.859,46.5534,1,201.349,14.588,855.898,1,285.915,921.837,1
109,314.929,1629.64,1,101.397,403.321,1871.23,335.786,37.9219,1,205.745,13.0573,682.374,1,321.562,1181.59,1
110,270.384,2429.04,1,87.7021,393.537,2107.11,358.117,108.756,1,205.054,12.4785,1100.68,1,282.061,1707.85,1
111,297.457,2004.36,1,94.7139,394.222,2061.24,355.104,86.1497,1,202.556,13.8626,1041.44,1,303.357,1413.25,1
112,343.252,1050.63,1,104.104,413.885,1920.61,318.171,40.2436,1,236.364,9.91302,507.08,1,350.635,484.979,1
113,283.079,2802.18,1,83.3383,381.448,2046.77,401.543,111.162,1,188.894,13.0515,886.647,1,289.395,2315.27,1
114,298.886,1956.11,1,100.022,404.598,1848.29,335.938,45.6737,1,207.09,12.1172,617.917,1,308.241,1561.72,1
115,295.879,2204.89,1,95.3128,396.741,1900.67,356.372,46.1973,1,200.623,12.6429,732.444,1,303.989,1827.56,1
116,302.469,2201.71,1,94.0652,399.068,2098.72,346.707,100.576,1,203.198,12.8232,1144.9,1,316.618,1179.95,1
117,298.561,2546.5,1,93.7793,393.48,2027.34,364.34,114.749,1,191.896,13.0937,1114.84,1,314.685,1509.78,1
118,298.013,2653.76,1,91.8492,389.961,2073.87,371.616,88.4303,1,184.368,14.325,1013.04,1,313.87,1640.32,1
119,281.406,3011.37,1,85.8271,379.042,2120.81,406.553,130.449,1,168.248,14.7192,1338.28,1,292.526,1991.87,1
120,292.025,3002.05,1,81.212,385.297,2298,385.056,115.821,1,188.866,13.3456,1197.06,1,319.32,1418.88,1
121,284.638,1993.18,1,103.055,398.713,1757.94,342.227,32.1555,1,193.451,15.3533,744.161,1,284.638,1993.18,1
122,299.085,2385.74,1,103.504,413.2,1954.72,315.245,41.928,1,196.858,13.0861,987.828,1,315.294,1573.25,1
123,309.283,2541.78,1,87.853,383.64,2309.8,382.927,98.8989,1,181.545,15.1675,1173.35,1,339.517,589.088,1
124,304.763,2008.73,1,87.5623,387.287,2090.18,380.241,89.4186,1,199.609,13.1768,815.935,1,310.708,1419.48,1
125,280.846,2179.91,1,104.2,413.603,1786.86,316.259,43.265,1,206.444,11.5902,580.472,1,280.846,2179.91,1
126,323.091,2018.51,1,100.416,409.923,1927.93,325.752,57.6045,1,201.945,11.8309,647.661,1,345.717,996.619,1
127,311.39,2727.3,1,89.3434,389.666,2096.4,378.713,89.2414,1,180.783,13.3027,930.874,1,325.439,1675.48,1
128,287.963,2232.03,1,100.627,399.827,1882.66,340.577,42.0889,1,195.276,14.2376,887.084,1,295.613,1895.23,1
129,272.854,2141.07,1,83.1608,372.432,2111.25,407.868,113.993,1,200.272,14.5587,968.443,1,287.412,1280.8,1
130,288.574,2020.85,1,107.268,418.016,1784.89,303.836,28.7473,1,206.169,12.7363,760.456,1,288.574,2020.85,1
131,260.066,2790.43,1,95.7142,391.659,1930.15,362.711,70.0442,1,183.841,14.8628,1051.72,1,284.389,1935.09,1
132,314.829,1146.54,1,110.256,415.701,1702.24,307.329,22.4777,1,227.586,11.3373,471.949,1,314.829,1146.54,1
133,304.826,1422.4,1,91.6811,390.496,1946.91,366.93,49.0559,1,216.692,12.1303,454.2,1,312.051,990.347,1
134,308.792,1788.73,1,100.956,404.756,1854.6,335.204,48.3624,1,211.539,12.0391,725.58,1,316.772,1351.85,1
135,292.501,2038.26,1,81.0164,397.22,2267.19,351.352,77.0015,1,207.344,11.9737,661.583,1,305.523,1469.83,1
136,285.713,2484.27,1,91.4804,392.021,2080.56,364.529,98.2534,1,194.004,13.6047,1167.75,1,297.177,1599.56,1
137,287.394,2169.59,1,87.7712,384.636,2106.06,380.587,117.505,1,206.219,12.7732,990.77,1,303.547,1177.33,1
138,292.348,3342.08,1,94.1006,400.485,2230.48,348.088,103.978,1,176.147,13.7546,1448.04,1,327.921,1149.71,1
139,320.067,687.886,1,123.862,431.168,1396.03,278.933,14.8754,1,248.31,9.58987,236.285,1,320.067,687.886,1
140,267.402,3950.03,1,88.4142,390.861,2338.92,367.369,74.361,1,166.442,15.7078,1260.06,1,344.548,382.176,1
141,278.8,2466.76,1,83.5037,380.8,2248.45,401.545,110.856,1,192.25,13.3809,1217.08,1,291.073,1384.65,1
142,307.964,1767.36,1,96.5023,407.618,2019.48,330.135,57.5048,1,221.216,10.8398,736.341,1,325.805,833.901,1
143,287.745,2851.66,1,94.7327,399.707,2106.15,344.17,82.595,1,186.531,14.2887,1300.38,1,308.335,1551.81,1
144,293.944,738.18,1,114.663,403.825,1434.93,325.116,7.77897,1,217.438,14.8985,227.2,1,293.944,738.18,1
145,287.004,1748.16,1,75.8531,359.307,2263.87,455.739,74.369,1,193.131,15.7489,656.412,1,295.33,1148.59,1
146,268.568,2875.2,1,84.6818,371.712,2090.78,411.95,98.5887,1,179.684,16.461,1134.35,1,293.281,1720.39,1
147,304.68,2751.65,1,94.1682,402.758,2028.65,346.699,59.946,1,193.145,11.9252,914.423,1,335.386,1382.08,1
148,292.344,1816.11,1,101.092,397.249,1818.05,345.772,24.4462,1,201.26,14.5056,729.251,1,292.344,1816.11,1
149,328.137,771.176,1,108.176,408.387,1761.31,319.581,24.3366,1,235.648,11.666,422.409,1,328.137,771.176,1
150,275.346,1649.19,1,97.6893,386.542,1824.53,365.95,23.2857,1,199.075,16.1705,673.749,1,275.346,1649.19,1
