metric,n,median,p16,p84,mean,std
M3_lam_cm,200,19.775086373895352,18.161208860859738,21.555734620806827,19.90975640751104,1.6789797636318067
M3_C_PE,200,13.375241737787675,11.82610566477474,15.089833461967412,13.47028645342326,1.7381943561782216
M4_lam_cm,200,38.092313418266684,37.26956236466966,39.15921031556289,38.192679702239836,0.9927299882107566
M2_lam_s_cm,200,9.058863223739138,8.214157226459527,10.062129090446659,9.204908799295321,1.1720245085885188
M2_lam_l_cm,200,39.1995176136594,37.73781890907737,40.5223302813742,39.25130196560966,1.553132056269415
M2_n_fail,0,,,,,
M2_failure_frac,0.0,,,,,
