parameter,n_ok,median,p16,p84,mean,std
M1_lam_cm,200,29.321,27.3433,31.139,29.2715,2.03167
M2_lam_s_cm,200,9.1199,8.2176,10.2009,9.28938,1.1055
M2_lam_l_cm,200,39.2075,37.8977,40.8387,39.3235,1.56428
M2_As,200,2079.54,1829.14,2274.94,2046.38,244.073
M2_Al,200,363.565,328.169,399.43,362.978,37.7733
M3_lam_cm,199,19.9909,18.4546,21.9486,20.1045,1.75875
M3_C_PE,199,13.1421,11.649,14.8628,13.3038,1.82694
M4_lam_cm,200,38.1616,37.2229,39.2105,38.2428,1.08706
