x_true_mm,method,mean_x_rec,bias,sigma_core,rms,rms68,median,mad_sigma,fraction_outside_2sigma,fraction_outside_3sigma,valid_fraction
-690.0,dt_end_pool,-700.3104787016395,-10.310478701639337,29.924704182679346,31.965365806964535,29.924704182679346,-696.9474721443928,29.23108894216861,0.0505,0.0095,1.0
-690.0,dt_end_weighted,-707.237018333228,-17.237018333228022,67.62695543193698,75.81784106532645,67.62695543193698,-697.0830811223798,64.45110010622886,0.06006006006006006,0.017517517517517518,0.999
-690.0,R_end,-745.62600699243,-55.62600699242994,27.048303617336806,62.30978407072625,27.048303617336806,-744.0380436115097,26.721812662698216,0.053,0.0085,1.0
-690.0,A_end,-554.3939762800147,135.60602371998525,2.1775841332387245,135.6241713979425,2.1775841332387245,-554.446376438759,2.18503333179389,0.049,0.005,1.0
-690.0,x_top_centroid_raw,-632.1143297636892,57.885670236310865,5.562854112728022,58.218099384591284,5.562854112728022,-632.1369570451743,5.633070083634815,0.053,0.002,1.0
-690.0,local_R,-685.45756014121,4.542439858790085,2.990732370001776,5.529674776123747,2.990732370001776,-685.5005638035859,3.0734473087869945,0.0505,0.005,1.0
-670.0,dt_end_pool,-678.2268121378181,-8.226812137818039,27.817446393633343,29.812979618424965,27.817446393633343,-675.6510684423779,27.296683809224962,0.0565,0.0085,1.0
-670.0,dt_end_weighted,-687.9403252539881,-17.940325253988192,68.97158792767821,77.01266964386899,68.97158792767821,-677.2890794445192,66.72401973587503,0.0595,0.0195,1.0
-670.0,R_end,-704.2574589202934,-34.25745892029336,26.794738107862,44.41821269671899,26.794738107862,-703.0147165810301,26.959462626873776,0.063,0.0115,1.0
-670.0,A_end,-552.5026333475635,117.49736665243655,2.71248296336465,117.53080158350909,2.71248296336465,-552.6056762209441,2.7024116339430875,0.054,0.0045,1.0
-670.0,x_top_centroid_raw,-635.8713410432637,34.12865895673632,5.375086130455712,34.55476791010568,5.375086130455712,-635.9974889238144,5.305535095722747,0.0475,0.0045,1.0
-670.0,local_R,-665.6460477570251,4.353952242974891,3.121986797185729,5.453482526203197,3.121986797185729,-665.4964934958784,3.035676072280758,0.0435,0.0075,1.0
-650.0,dt_end_pool,-656.646888754249,-6.646888754249079,27.395005216151596,28.74465538554978,27.395005216151596,-654.3572949576965,27.724026083109738,0.0505,0.007,1.0
-650.0,dt_end_weighted,-661.8275996298311,-11.82759962983101,62.74760845443217,70.5372587509251,62.74760845443217,-654.4256051529024,62.78121100203548,0.0605,0.0175,1.0
-650.0,R_end,-669.6592441840513,-19.65924418405127,25.935533244603302,33.40290796400406,25.935533244603302,-667.9656971780827,25.670029513428073,0.0525,0.009,1.0
-650.0,A_end,-550.4255797210908,99.57442027890909,3.169419874714727,99.62793129979482,3.169419874714727,-550.4706658456051,3.171307267633427,0.0565,0.004,1.0
-650.0,x_top_centroid_raw,-631.7247329911391,18.27526700886093,4.932896408015336,18.96762998849294,4.932896408015336,-631.8128210437687,4.790918068272898,0.0525,0.0065,1.0
-650.0,local_R,-645.7697022214076,4.230297778592542,2.9517446795526663,5.300888052356472,2.9517446795526663,-645.587966913399,2.943073205900853,0.052,0.009,1.0
-600.0,dt_end_pool,-602.8573114558726,-2.8573114558725576,24.86501221188752,26.2025356295331,24.86501221188752,-600.4864228392148,24.895692028867707,0.0635,0.009,1.0
