x_true_mm,method,mean_x_rec,bias,sigma_core,rms,rms68,median,mad_sigma,fraction_outside_2sigma,fraction_outside_3sigma,valid_fraction
-690.0,BLUE,-675.5642335635234,14.435766436476618,10.968159412614625,18.414525276478074,10.968159412614625,-674.9322440371586,11.053752071698987,0.055055055055055056,0.006006006006006006,1.0
-670.0,BLUE,-662.9731378540406,7.026862145959318,10.993399998220806,13.639613412368238,10.993399998220806,-662.5671623781673,11.272237321349891,0.0605,0.0075,1.0
-650.0,BLUE,-646.9020257850343,3.097974214965652,10.624706066437769,11.660746775301375,10.624706066437769,-646.1411229009032,10.727326788828336,0.0595,0.0095,1.0
-600.0,BLUE,-600.7738712420412,-0.7738712420411421,10.329113445138182,10.791350949845162,10.329113445138182,-600.1549592169642,10.595510000155189,0.057,0.0055,1.0
-550.0,BLUE,-550.973171130164,-0.9731711301641355,9.8515776254761,9.928669456455882,9.8515776254761,-550.586842235206,9.567543144023242,0.0465,0.004,1.0
-500.0,BLUE,-503.06187920485684,-3.06187920485678,9.108137373808297,9.932407537782627,9.108137373808297,-502.5935850849447,9.366063223446321,0.0525,0.0075,1.0
-450.0,BLUE,-453.3069450502408,-3.3069450502407722,8.757176456186787,9.765765177915714,8.757176456186787,-453.1030235527581,8.849885610593056,0.0595,0.0065,1.0
-400.0,BLUE,-402.8605157607146,-2.860515760714612,8.420180321914263,9.240402762285804,8.420180321914263,-402.681714942466,8.603976570541102,0.058,0.006,1.0
-350.0,BLUE,-352.29412695401214,-2.2941269540121514,8.270679852946651,8.773017805667912,8.270679852946651,-352.0039630075952,8.463118648514376,0.0545,0.0055,1.0
-300.0,BLUE,-301.8784936803702,-1.8784936803701506,8.147941701992357,8.466151792045077,8.147941701992357,-301.6291524464891,8.122391246141754,0.05,0.005,1.0
-250.0,BLUE,-252.5354430844556,-2.535443084455611,8.179401782140609,8.56350972434641,8.179401782140609,-252.4754214432423,8.076360441829884,0.0445,0.002,1.0
-200.0,BLUE,-201.91518062871407,-1.9151806287140558,7.829903142360051,8.176958308902682,7.829903142360051,-201.79993468278366,7.8133208571620205,0.048,0.0055,1.0
-150.0,BLUE,-150.93294569510914,-0.9329456951091408,7.874050471378077,7.970383738648272,7.874050471378077,-150.9636608647247,7.798654269613695,0.044,0.0035,1.0
-100.0,BLUE,-99.76356307738577,0.2364369226142359,7.563986816498495,7.772873280732422,7.563986816498495,-100.11719453500646,7.341401553843959,0.0535,0.0045,1.0
-50.0,BLUE,-50.35450724356074,-0.35450724356073265,7.63944429312515,7.662179876083404,7.63944429312515,-50.49638372499581,7.518842128757626,0.051,0.0035,1.0
0.0,BLUE,0.29851744771092265,0.29851744771092265,7.6561511518431935,7.696659948255697,7.6561511518431935,0.25020121387706384,7.6500049138146045,0.04,0.003,1.0
50.0,BLUE,50.791589593998964,0.7915895939989652,7.424630227765261,7.668093774022213,7.424630227765261,50.77097022390592,7.442411914173765,0.0555,0.007,1.0
100.0,BLUE,99.91212560779171,-0.08787439220829141,7.644625659418097,7.667137963849977,7.644625659418097,99.91993015147212,7.515655732285445,0.049,0.003,1.0
150.0,BLUE,150.68480029714235,0.6848002971423499,7.731838463584818,7.849091357573699,7.731838463584818,150.9255175052648,8.03225969045171,0.0475,0.0025,1.0
200.0,BLUE,201.89208520332696,1.89208520332694,7.883235764803514,8.341357285845769,7.883235764803514,201.69048623723245,7.9352684219351,0.055,0.006,1.0
250.0,BLUE,253.1534989612485,3.1534989612485003,7.857628134296576,8.660095898039128,7.857628134296576,252.87467415496883,7.713548635252244,0.0585,0.004,1.0
300.0,BLUE,302.18668153433555,2.1866815343355706,8.111606266120528,8.58141480816001,8.111606266120528,302.0338247549025,7.983579862937217,0.0495,0.004,1.0
350.0,BLUE,352.172157497645,2.1721574976450095,8.136292977725226,8.7011625553858,8.136292977725226,352.03478084257927,8.253460314319854,0.055,0.0055,1.0
400.0,BLUE,402.37241808566256,2.372418085662558,8.845748179944366,10.151730398579994,8.845748179944366,402.40560627773664,8.804615720475782,0.05,0.0065,1.0
450.0,BLUE,452.89768032571885,2.8976803257188175,9.298244528724581,9.835697319188395,9.298244528724581,452.47459262351526,8.969761672591922,0.0465,0.005,1.0
500.0,BLUE,502.8357407534705,2.8357407534704024,9.503163639776865,9.967716089100994,9.503163639776865,502.6833195010022,9.677256056329295,0.041,0.0045,1.0
550.0,BLUE,551.0179203142868,1.0179203142868314,9.715744118526867,9.99545173911077,9.715744118526867,550.8993939681127,10.012190993787478,0.0475,0.0045,1.0
600.0,BLUE,600.2846567338366,0.2846567338365933,10.544007271117042,10.825223922711613,10.544007271117042,599.6708302296289,10.480591555052523,0.0525,0.006,1.0
650.0,BLUE,646.2943836993228,-3.7056163006772636,11.088441450268219,11.87357600046027,11.088441450268219,645.6211056547195,10.93033738328132,0.0495,0.0055,1.0
670.0,BLUE,663.6585041236723,-6.341495876327714,10.983207471093237,13.094030194192818,10.983207471093237,663.1674630460972,11.049905515340614,0.054,0.0065,1.0
690.0,BLUE,675.5890750064959,-14.410924993504072,10.64786865269458,18.097601618730412,10.64786865269458,675.1370467929348,10.52199734718421,0.056,0.0055,1.0
