x_true_mm,estimator,mean,width,median
-690.0,y_L_centroid,0.208959084151821,0.28341783058097564,0.20298284511902412
-690.0,y_R_centroid,-0.3900457280194758,2.802809786674873,-0.4166666666666667
-690.0,y_end_centroid,0.20156033913070973,0.2816641983839905,0.1954890741935
-670.0,y_L_centroid,-0.4885553605798068,0.32683092053035834,-0.47880692194622204
-670.0,y_R_centroid,-0.4080645273193239,2.840626082729403,-0.39893617021276595
-670.0,y_end_centroid,-0.48729322208319115,0.3244876352707674,-0.4826882024485634
-650.0,y_L_centroid,-0.5000717667541897,0.3643822644051574,-0.498331142537276
-650.0,y_R_centroid,-0.17813869023616138,2.71024464687789,-0.234375
-650.0,y_end_centroid,-0.49441469251767306,0.3598400586607055,-0.4912125505257362
-600.0,y_L_centroid,0.3638438608847074,0.4236484158401831,0.3660245899303266
-600.0,y_R_centroid,-0.0028599143628464958,2.4783923808650017,0.0
-600.0,y_end_centroid,0.3531564087363389,0.41834026323023793,0.3506767378635338
-550.0,y_L_centroid,-0.001555773370063326,0.5020414314177359,-0.002805546462535358
-550.0,y_R_centroid,-0.48309529484992925,2.4012028620590637,-0.5677168576104745
-550.0,y_end_centroid,-0.02092803026780898,0.49007968863248147,-0.02342360092387403
-500.0,y_L_centroid,-0.057044617525426264,0.5480658309073698,-0.05993181924803094
-500.0,y_R_centroid,-0.12637510207577723,2.2390007145361386,-0.12931034482758622
-500.0,y_end_centroid,-0.06132956037449902,0.5358591877250737,-0.0551765135685993
-450.0,y_L_centroid,0.2330493301469099,0.6168732337094349,0.21214510391620828
-450.0,y_R_centroid,-0.09297376344632033,2.2497419911572956,-0.06698564593301434
-450.0,y_end_centroid,0.2100792573583214,0.5971523856001052,0.19247793911718494
-400.0,y_L_centroid,-0.8955361068273774,0.6801789096286598,-0.9027216837192604
-400.0,y_R_centroid,-0.7827807836503815,2.0576992401209084,-0.7305194805194806
-400.0,y_end_centroid,-0.8844853839808677,0.6443528646962298,-0.8755736989275222
-350.0,y_L_centroid,-0.5097994308517383,0.7523649625217359,-0.49757146667852226
-350.0,y_R_centroid,-0.7528380184648995,1.9444248258200774,-0.7705479452054794
-350.0,y_end_centroid,-0.5412122190237024,0.6997299661165619,-0.5222323972323972
-300.0,y_L_centroid,-0.30041425563269136,0.7884276949744199,-0.30095103237727966
-300.0,y_R_centroid,0.06738214852790093,1.888643359582193,0.0872093023255814
-300.0,y_end_centroid,-0.2403234772241663,0.7257475141536334,-0.21652289823572363
-250.0,y_L_centroid,0.3745955339027661,0.8399953933570883,0.3445001624307941
-250.0,y_R_centroid,-0.0245904744948741,1.8062862162099516,0.0
-250.0,y_end_centroid,0.29358114743429065,0.7592667524783219,0.2746432547313025
-200.0,y_L_centroid,0.16854843790170168,0.9601307154171932,0.1579341109972015
-200.0,y_R_centroid,-0.3874786402095172,1.6034835277683623,-0.41448516579406636
-200.0,y_end_centroid,0.02805547718221482,0.8231037716260048,0.017735353309481214
-150.0,y_L_centroid,-0.871911084399173,0.9700278147660415,-0.8810779608837378
-150.0,y_R_centroid,-0.0358865646482608,1.5453758949135104,-0.029763779527559056
-150.0,y_end_centroid,-0.6132787537218588,0.8444478761523916,-0.6241197183098591
-100.0,y_L_centroid,-0.12428681703385894,1.1266874994953195,-0.11653053834392854
-100.0,y_R_centroid,-0.5802268259089203,1.412417150712065,-0.5787152444870566
-100.0,y_end_centroid,-0.29178067228925664,0.8915230866787652,-0.28103153719267926
-50.0,y_L_centroid,-0.06687540555881932,1.1714684835368756,-0.08242753623188406
-50.0,y_R_centroid,-0.5734745271251541,1.3495037189497254,-0.5804414113547263
-50.0,y_end_centroid,-0.2858151801750072,0.8857542125324885,-0.3082579185520362
0.0,y_L_centroid,-0.4230341378843193,1.2843780097010036,-0.3953497875122589
0.0,y_R_centroid,-0.4229913137199329,1.2607757289589872,-0.4240667786101783
0.0,y_end_centroid,-0.42308699516339426,0.8983481663930206,-0.4299438843964173
50.0,y_L_centroid,-0.5095948390209648,1.4079250526743052,-0.5047024283439491
50.0,y_R_centroid,-0.09576944202920569,1.2040967087309906,-0.061504794909329905
50.0,y_end_centroid,-0.2744796510514205,0.9191605623678006,-0.25851202549985514
100.0,y_L_centroid,-0.5722033904986418,1.4165155805533152,-0.5437291434927698
100.0,y_R_centroid,-0.12073329825850108,1.1449677260300333,-0.1246734406792434
100.0,y_end_centroid,-0.2883883552769169,0.9081968702275367,-0.29394962677093384
150.0,y_L_centroid,-0.021672146964501208,1.5565057089770462,-0.02624431067390985
150.0,y_R_centroid,-0.8580708497352607,0.9818004660785238,-0.8871670203667923
150.0,y_end_centroid,-0.5991607507884873,0.8399482936369783,-0.6137890875990576
200.0,y_L_centroid,-0.41204288806761574,1.6493985415919306,-0.37817367185833156
200.0,y_R_centroid,0.19719055979881908,0.9318826307333558,0.22629571937206666
200.0,y_end_centroid,0.04557037660834511,0.8172740737750667,0.05333670374115268
250.0,y_L_centroid,-0.041494837844749444,1.7988040071999825,-0.03714327743453957
250.0,y_R_centroid,0.38517845310959536,0.8681803083578489,0.370253164556962
250.0,y_end_centroid,0.30077294212931904,0.7966514798439365,0.29173496406506116
300.0,y_L_centroid,0.08295900177381302,1.8794540040431116,0.12229705778092875
300.0,y_R_centroid,-0.29068097290135075,0.7918551815114508,-0.26843817787418656
300.0,y_end_centroid,-0.23109755394248577,0.7261730170088211,-0.21355927088363108
350.0,y_L_centroid,-0.739268782141043,1.9766227564973542,-0.7094594594594594
350.0,y_R_centroid,-0.48238049025262314,0.7388919013816843,-0.5037699300414871
350.0,y_end_centroid,-0.515314989789096,0.6991638264843518,-0.5302468949651693
400.0,y_L_centroid,-0.7938937290769139,2.0773675500285824,-0.7806344598797429
400.0,y_R_centroid,-0.8874622752911614,0.6861892288693526,-0.8706143287092286
400.0,y_end_centroid,-0.8793517113011348,0.6490532876914817,-0.8740135462623502
450.0,y_L_centroid,-0.1423026195459383,2.2598718407246743,-0.1875520978049458
450.0,y_R_centroid,0.24220584381893304,0.6099419469702769,0.2356631129441748
450.0,y_end_centroid,0.21362016175522996,0.5935666181804092,0.20126182449019672
500.0,y_L_centroid,-0.2643697727216349,2.295343376953625,-0.25862068965517243
500.0,y_R_centroid,-0.06513790103736507,0.5758807973463288,-0.06903670983318701
500.0,y_end_centroid,-0.07601298047002607,0.5532104144595696,-0.09104587525900328
550.0,y_L_centroid,-0.4831584965381436,2.476673150888476,-0.45
550.0,y_R_centroid,-0.014302528052534342,0.4959404562398493,-0.033565402070082455
550.0,y_end_centroid,-0.033111232948352325,0.48583380323902875,-0.04278936260302435
600.0,y_L_centroid,-0.057840858920570414,2.5355884934704314,-0.08333333333333333
600.0,y_R_centroid,0.35494266626751314,0.4191603362344452,0.3467889261814383
600.0,y_end_centroid,0.34360046342082423,0.4116185213196589,0.3429314079422383
650.0,y_L_centroid,-0.27166409169560524,2.76912152915365,-0.20362407862407864
650.0,y_R_centroid,-0.5021605280225055,0.3707508503525916,-0.509289342057107
650.0,y_end_centroid,-0.49786499136992113,0.367805294794275,-0.5027652043019903
670.0,y_L_centroid,-0.4372336520793621,2.7204812463226884,-0.45
670.0,y_R_centroid,-0.48283266720068724,0.33960363209993255,-0.48219308078911227
670.0,y_end_centroid,-0.4822269057784896,0.33785245676095366,-0.47772003163038534
690.0,y_L_centroid,-0.37409262491796713,2.7778711859466276,-0.46875
690.0,y_R_centroid,0.21325093913567797,0.28350602351560333,0.214480969191401
690.0,y_end_centroid,0.2062075559653444,0.28149658933943217,0.2086587568128519
