cut_multiplier,cut_ns,n_tail,events_with_tail,tau_fit_ns,se_event_ns,se_iid_photon_ns
3,6.300000000000001,5503662,10000,2.4274073988271163,0.0011029777215943823,0.00109057774749832
4,8.4,2275956,10000,2.5042946694236536,0.0017652958941752242,0.0017845531924549406
5,10.5,961890,10000,2.601323246287664,0.002957333210081264,0.0029386504472264595
8,16.8,85247,9993,3.2075982370413825,0.013979065793534902,0.01372604823965033
12,25.200000000000003,6389,4653,5.2689891497738275,0.08606278608142402,0.08504238850753498
20,42.0,319,310,10.288152065612085,0.7175876924334424,0.6923008251184843
