scope,count,pearson_absx_t,mean_absx_mm,mean_creation_ns
all_hits,62596038,0.3188501346302064,6.321163004194532,2.9515735496971094
scintillation,60368164,0.32198816825485077,6.552674728760679,3.053070112315154
Cherenkov,2227874,0.5267336156059944,0.04794568735703209,0.20134569230374724
