pool,scintillation_photons,pooled_mean_global_creation_ns,pooled_se_event_ns,equal_event_mean_global_creation_ns,equal_event_se_ns
left,5124694,3.098867027079789,0.0011325591289799773,3.0983774219956794,0.0011501330009204764
right,5122329,3.0976596722566447,0.0011262773089254449,3.09766151005853,0.0011459599283911125
top,50121141,3.0438305467135174,0.0003507930371800604,3.04360585341069,0.0003522008143751855
END_equal_event_equal_face,10247023,3.0982634889962024,0.0008017023617129023,3.098019466027105,0.0008143746133384317
