model,coefficients_high_to_low,covariance,chi2_ndf,aic,loocv_rmse
linear,"[-0.012837852332828203, -5.67229828020713]","[[4.564051037875351e-10, 2.0177138453541588e-07], [2.0177138453541588e-07, 8.926440496100012e-05]]",3969.5654105385142,146877.92018992503,0.10174210170555532
cubic_comparison,"[-5.574965806937331e-05, -0.07396360318031242, -32.70811674208548, -4821.1879369960625]","[[3.672788438432166e-14, 4.870406987129412e-11, 2.1519173807983902e-08, 3.167938454932308e-06], [4.870406986056597e-11, 6.458944183673751e-08, 2.8539662736354625e-05, 0.0042017184798808825], [2.1519173798496812e-08, 2.853966273005972e-05, 0.012611395582112316, 1.8568135133357533], [3.167938452836408e-06, 0.004201718478026903, 1.8568135129260495, 273.4012427724765]]",1769.745247546203,61949.083664117104,0.07476064116184004
