reference,x_true_mm,method,mean_x_rec_mm,mean_x_rec_error_mm,bias_mm,bias_error_mm,sigma_x_mm,sigma_x_error_mm,n_valid,corr_x_t_x_R,weight_t,weight_R,covariance_condition_number,cubic_ambiguous_fraction,cubic_no_root_fraction,guardrail_sigma_dt_over_slope_mm,guardrail_error_mm,guardrail_pull
POS_REF_1,-441.0,temporal,-441.2581993132457,0.22810136991429858,-0.25819931324571144,0.22810136991429858,12.493626569989157,0.16131891419095412,3000,,,,,,,16.692272606536818,0.3158373565843373,-11.838824954878639
POS_REF_1,-441.0,ratio_linear,-442.6976335980007,0.10147477023272343,-1.6976335980007207,0.10147477023272343,5.558002067411638,0.07176546005782386,3000,,,,,,,,,
POS_REF_1,-441.0,ratio_cubic_comparison,-442.8934120776834,0.19056717322195094,-1.893412077683422,0.19056717322195094,10.437793949365698,0.13477380462973504,3000,,,,,0.034666666666666665,0.0,,,
POS_REF_1,-441.0,BLUE,-442.5020160424197,0.09611816938710155,-1.5020160424197115,0.09611816938710155,5.264608955941803,0.06797713983644714,3000,0.10838738118924351,0.13589891365851905,0.8641010863414811,5.142531067541959,,,,,
POS_REF_1,-441.0,covariance_ignored_cross_check,-442.45982407793247,0.09637396409799115,-1.459824077932467,0.09637396409799115,5.278619409266278,0.06815804416434312,3000,0.10838738118924351,0.16521040424477776,0.8347895957552223,,,,,,
POS_REF_2,-443.0,temporal,-442.85545550363474,0.21660094413670097,0.14454449636525624,0.21660094413670097,11.863722308058748,0.15318552945997796,3000,,,,,,,15.114175911834758,0.28093941414872875,-10.158026577692857
POS_REF_2,-443.0,ratio_linear,-442.6581441412059,0.09877898960734595,0.34185585879407654,0.09877898960734595,5.410348081551175,0.06985893751678739,3000,,,,,,,,,
POS_REF_2,-443.0,ratio_cubic_comparison,-442.792604393907,0.1891650529072696,0.20739560609297314,0.1891650529072696,10.360996656896976,0.13378219056439883,3000,,,,,0.03266666666666666,0.0,,,
POS_REF_2,-443.0,BLUE,-442.6845511333826,0.09406620856861009,0.31544886661737337,0.09406620856861009,5.152218433201349,0.06652594254058787,3000,0.13865056828666364,0.13383411807456252,0.8661658819254374,4.951853326203959,,,,,
POS_REF_2,-443.0,covariance_ignored_cross_check,-442.6921147301478,0.09446169293438857,0.3078852698521928,0.09446169293438857,5.173880004029098,0.06680563883741787,3000,0.13865056828666364,0.17216742372949653,0.8278325762705036,,,,,,
