event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
0,18884.0,1.9168228746589684,0.02334253833423005,1.8934803363247383,18699,4775,10319.0,6166.0,6194.445601099546,6254.0,88.0,250,1373
1,15345.0,1.536263347678948,0.018664369062756175,1.5175989786161919,15220,3992,8438.0,4998.0,5052.103781056975,5071.0,73.0,225,1134
2,19998.0,1.996775167660153,0.024456657286707928,1.972318510373445,19813,5169,10847.0,6527.0,6512.80628693188,6618.0,91.0,291,1446
3,22840.0,2.2762858966155934,0.02803743323916339,2.24824846337643,22637,5831,12406.0,7455.0,7453.073509351071,7561.0,106.0,332,1645
4,18305.0,1.8251210824495114,0.022654824564350477,1.802466257885161,18140,4685,9999.0,5985.0,5986.715985078271,6074.0,89.0,259,1353
5,15725.0,1.584916665467497,0.019328150469237703,1.5655885149982594,15603,4131,8614.0,5145.0,5165.056281771736,5199.0,54.0,243,1070
6,18945.0,1.9044246730912882,0.02329650900324977,1.8811281640880384,18793,4802,10391.0,6195.0,6234.964478160654,6272.0,77.0,287,1327
7,16735.0,1.6409922448554022,0.020270270902174706,1.6207219739532275,16582,4298,9003.0,5337.0,5390.161470888736,5425.0,88.0,240,1186
8,18670.0,1.8718745254478821,0.02319063339404246,1.8486838920538398,18503,4755,10359.0,6240.0,6220.098296476116,6331.0,91.0,278,1354
9,17712.0,1.7639515286166232,0.022049825934848107,1.7419017026817751,17548,4542,9713.0,5838.0,5829.382730661228,5920.0,82.0,242,1217
10,18229.0,1.8391813311130392,0.022344852586235572,1.8168364785268036,18053,4717,9928.0,5940.0,5946.574528056614,6031.0,91.0,285,1303
11,16491.0,1.642852324518364,0.020585228184482753,1.6222670963338812,16353,4126,9171.0,5520.0,5484.502863972613,5589.0,69.0,248,1206
12,26544.0,2.6705250790841504,0.0325084392203182,2.638016639863832,26309,6727,14477.0,8685.0,8689.738262060337,8802.0,117.0,393,1899
13,16148.0,1.6132606450759985,0.02006416341263514,1.5931964816633635,16016,4121,8930.0,5360.0,5345.147364972415,5435.0,75.0,267,1174
14,15938.0,1.5888956474742733,0.019686851669800685,1.5692087958044725,15803,4030,8694.0,5238.0,5207.993148720364,5309.0,71.0,240,1123
