x_mm,label,N,sigma_ps,boot_ps,flag
-690,TOP_SUM4,2,95.54837909767883,1.7397038909686569,ok
-690,TOP_SUM8,2,95.4902951471076,1.7422427207537496,ok
-690,TOP_SUM4,3,101.67814592545514,1.89810035886292,ok
-690,TOP_SUM8,3,102.2487382579393,1.9019881870028292,ok
-690,TOP_SUM4,4,104.5241235414575,1.8394407800384105,ok
-690,TOP_SUM8,4,103.32027206241912,1.7591622017756923,ok
-690,TOP_SUM4,6,118.32823994773644,2.1161921922972065,ok
-690,TOP_SUM8,6,115.8957402126925,2.076889349891741,ok
-690,TOP_SUM4,8,133.38936391184822,2.60165453236402,ok
-690,TOP_SUM8,8,126.7769377123626,2.6507892618282978,ok
0,TOP_SUM4,2,90.86807314541707,1.630998913398047,ok
0,TOP_SUM8,2,84.83519434494924,1.3997970110260234,ok
0,TOP_SUM4,3,89.18043325169671,1.3971709305108786,ok
0,TOP_SUM8,3,85.2461985421452,1.3244881070912098,ok
0,TOP_SUM4,4,92.77425902002311,1.5757791747430012,ok
0,TOP_SUM8,4,89.13927909853973,1.5647192211330168,ok
0,TOP_SUM4,6,103.45524920762776,2.2096746847401048,ok
0,TOP_SUM8,6,99.41900102814606,1.7852108690658903,ok
0,TOP_SUM4,8,117.18377478351776,2.2104140244114285,ok
0,TOP_SUM8,8,108.7328533867811,1.9229188173814755,ok
690,TOP_SUM4,2,84.79924140969527,1.7259886803976263,ok
690,TOP_SUM8,2,84.93344916834599,1.734959972697133,ok
690,TOP_SUM4,3,95.32570709727165,1.935558052261082,ok
690,TOP_SUM8,3,95.6372375681442,1.9607601787510198,ok
690,TOP_SUM4,4,106.80910076570959,2.002068197781223,ok
690,TOP_SUM8,4,106.45489656032757,1.9785233860101634,ok
690,TOP_SUM4,6,116.08945612990985,2.0594716199140364,ok
690,TOP_SUM8,6,119.05392548592386,2.050716051720077,ok
690,TOP_SUM4,8,137.14466253545834,2.564958189768578,ok
690,TOP_SUM8,8,133.57208818495434,2.4453275221903015,ok
