event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
0,4755.367102784076,18580.24669407693,4726.069278922846,18513.971425609365,4588.45545555561,18245.155417543694,4744.1369652732155,18513.105967483938,4699.151973685338,18413.78570968373,4512.434513385613,18069.365240007668
1,3975.3446334848827,15119.355413454366,3950.1650667456083,15061.351307405293,3831.868053917457,14819.330773479785,3965.818420519695,15062.59351040302,3927.1557235910677,14975.017521735022,3766.6244606383466,14664.271983145974
2,5147.92397635704,19687.07654148503,5115.880496943242,19618.10345211187,4965.44202276575,19331.249682780504,5135.868013347582,19615.806471055614,5086.670039826741,19511.755251321825,4882.6122403281415,19143.345735918032
3,5807.037607356407,22491.245378905725,5772.744155998912,22408.553061102695,5611.682995230647,22076.68419386121,5793.331146371791,22408.892224065305,5740.676407099106,22285.361221397965,5522.15770232833,21862.215072383187
4,4665.951449327935,18021.51704137968,4637.802976270181,17956.51565292442,4505.529043512499,17691.81329500837,4655.05500975381,17954.651448259578,4611.832574884186,17856.991047215208,4432.307354547693,17518.83139065502
5,4113.976407101667,15502.603566074224,4086.624475825748,15445.081855904229,3958.1977883782993,15206.461347060871,4104.239160035257,15445.88482304711,4062.2438140359386,15359.291340178426,3888.030874168759,15052.35800042848
6,4782.858207438337,18670.260355254304,4755.140989054546,18606.49400555241,4624.98219727587,18341.793383123557,4771.907539975185,18601.327664284734,4729.350709796696,18505.246049938476,4552.77267597047,18165.1436633756
7,4279.7368208233565,16473.270836183216,4251.233045007699,16416.245202996684,4117.397904378503,16176.148321456201,4269.291831825754,16412.027218072017,4225.52797562878,16325.807157488412,4043.9780819869934,16016.164449902406
8,4735.653527067239,18382.05637460705,4709.106197773404,18319.11506794668,4584.487868714327,18064.49888894071,4724.587101954954,18313.833753390954,4683.828284324203,18219.307783442564,4514.807984214989,17895.512288806465
9,4523.663136024217,17437.066219793207,4497.197131864286,17383.12729559044,4373.021850634994,17156.357154174468,4513.173628483563,17374.3562966187,4472.542079655915,17292.83015930663,4304.173435117339,17000.464534843897
10,4697.325371905976,17937.1563341923,4668.079406333754,17871.92795732994,4530.730623051173,17600.917418530826,4686.072290606038,17871.702795140296,4641.167795761653,17773.311901649115,4454.826507633704,17425.412774427044
11,4108.8630195410715,16243.707868191075,4082.3526356712973,16184.2411329302,3957.8710066081235,15939.505136903892,4099.061153256383,16182.233384655705,4058.35766975096,16092.805967502904,3889.4900749588087,15778.850498525007
12,6699.408620694594,26133.71127673012,6656.9677674212335,26037.1619037269,6457.599509586583,25644.43023204004,6683.62606686551,26035.247423967074,6618.460069577791,25890.68642989669,6347.9307323554885,25386.327997883644
13,4104.437048743908,15911.725076197608,4079.04934334303,15854.576815643077,3959.866084719648,15615.210265878883,4094.9619437404285,15852.968712638401,4055.9831902984433,15766.618378451822,3894.3277700953163,15458.90772243216
14,4013.42137706359,15698.869255194644,3987.9591660343026,15642.709460146418,3868.3030973211057,15409.654398184171,4003.938351879207,15640.23852342907,3964.840514081391,15555.686194121186,3802.435899639979,15255.7585672925
15,4489.290068051892,17373.785747772912,4460.419555595314,17307.528359865966,4324.847154077703,17037.077258118516,4478.588399364956,17309.310819231086,4434.260900585201,17209.744429481205,4250.340205878364,16863.78014754293
16,4301.166383459392,16646.378767384263,4274.505850399616,16585.57622531042,4149.552244124274,16336.901975940522,4290.966004903632,16585.040515067947,4250.040930694652,16493.5706889359,4080.735022187834,16176.015480358816
17,4861.8846821384295,19149.439742523926,4830.5001162741955,19081.266835513987,4682.918288523617,18802.049128663635,4850.378621641049,19077.54543519714,4802.183176541054,18975.109402617083,4601.796837022738,18616.85520150432
18,6282.885468718603,24465.76700980423,6241.619093443722,24374.903052453923,6047.799078964656,23994.41284016891,6267.948391226828,24374.820541027348,6204.586873032995,24237.53781664645,5941.61604284082,23748.399213546436
19,4130.3890993146815,15679.803578001787,4105.516326045945,15621.917682223866,3988.6864883960698,15385.13929761732,4120.886583683389,15621.846790903017,4082.6960162901296,15535.323851530855,3924.175372455341,15230.476308619847
20,4288.575277413683,16909.027953274337,4262.4415784633575,16846.924251744895,4139.808081123656,16591.8808063216,4278.607640339546,16844.679386964777,4238.485566145542,16751.17745851836,4072.193502680605,16425.444512641927
21,4949.968939247947,19313.781579278115,4918.3948833987015,19245.771785555633,4770.134097478461,18964.48880521337,4938.5101254043,19243.537441220884,4890.031857648368,19141.09122360364,4688.90606337771,18780.084590087616
22,4950.222076026019,18954.804773350024,4917.836226777684,18889.263575272205,4765.964967007637,18615.56918943459,4938.338140446485,18883.83873535032,4888.621271398495,18785.045482748563,4682.768688589947,18431.78842406326
23,4490.668634714519,17557.86583267084,4463.870178683654,17500.654389382275,4337.9961169641865,17258.65402141937,4480.182591315346,17493.538946285214,4439.035252818524,17406.96766851445,4268.2454844539025,17094.70413675586
24,4606.69878269657,18140.157017222635,4577.287428923707,18075.350627460408,4439.21176514758,17809.31957957377,4595.659449476145,18073.124977610005,4550.502978303271,17975.96356656979,4363.216607114231,17633.737999997426
25,4699.440264905036,18674.73353287945,4668.64241828832,18605.474815761987,4524.014774474487,18316.056981704038,4688.252596728957,18604.168903992777,4640.965643272871,18499.577581160327,4444.759050445522,18127.743547308335
26,4772.224414335956,18570.385857476584,4742.087370078641,18504.64242724908,4600.399333145234,18233.304304185185,4760.912849420331,18501.73914654717,4714.634204677313,18402.682431885012,4522.274268080839,18054.97989986234
27,4526.388192504654,17543.06341792782,4498.904302590347,17484.294114043183,4369.645099964721,17238.04235683071,4515.741865789876,17478.30270944193,4473.535694837864,17389.546895296662,4298.010911789622,17072.326230256574
28,5516.028557367363,21607.094832274302,5480.3195780850365,21527.584168099525,5312.33233663024,21197.69692731105,5502.888925243619,21528.542108168225,5448.050053275841,21408.63843131021,5219.895281807178,20985.1448132626
29,4397.069411426796,17209.710011472984,4369.104401881353,17149.019476344067,4237.7021495581575,16897.257115344906,4386.812553494271,17145.99576985331,4343.8721958890155,17054.46935882688,4165.538315575563,16731.41941206644
30,4367.311731108797,16809.204507432838,4340.317950468707,16747.732666384818,4213.466664273759,16496.47375605801,4357.192985645498,16747.67040417619,4315.7434799886405,16655.455132234383,4143.574498542668,16333.030669992802
31,5201.601102092695,20050.014442091237,5170.4603692344335,19978.179317641756,5024.04961256213,19689.704342560995,5189.360760188838,19974.22147231852,5141.540760204335,19866.836490300528,4942.762863211551,19498.11890794533
32,4401.877748024433,16877.028764090337,4374.197460573842,16815.774021298388,4243.9474456095495,16562.93088342914,4391.511422805125,16813.494069567885,4349.001056562235,16721.244801452995,4172.073467712095,16397.133731066326
33,4021.395996821924,15444.18551431923,3996.263436270923,15386.181662348015,3878.0708828161282,15145.71479096268,4011.8982497509555,15386.690285263734,3973.3032875398844,15299.204002920875,3812.8119302277605,14991.173481757753
34,4070.1735796854136,16239.954450326732,4045.0596029143726,16180.301537563382,3927.2171383266914,15938.616936243247,4060.548845912404,16180.076252961797,4021.9925271478314,16090.496753153846,3862.202864281757,15782.724924283575
35,4661.953741327276,17984.942437053447,4632.751749750234,17921.685430769452,4495.564430534172,17659.23428120187,4651.05883234264,17916.91962832332,4606.220139771504,17821.849891210048,4420.058291696187,17483.31997343904
36,4226.543440147238,16544.248779180933,4201.005229423363,16483.51411254561,4081.1415490854647,16235.789386304508,4216.558280709043,16482.83714014007,4177.349463457119,16391.659873484943,4014.7933614266194,16074.51216296922
37,5422.101316925505,20643.262409752588,5389.281780273156,20570.935715196483,5235.483442095208,20270.21471982054,5409.574362457664,20566.19018848106,5359.195737138563,20457.07492710364,5150.827017701295,20070.80143447039
38,4107.261474018906,16006.39633095521,4080.10805899485,15947.954641970648,3952.6094888927228,15705.243451642156,4097.686559799023,15945.487886767261,4055.9958715095704,15857.335284113697,3883.037850228924,15545.890899499715
39,3946.65343505525,15328.793424181615,3922.4225258711726,15273.338121732402,3808.7507876496675,15044.682372269977,3937.3036030583553,15271.789300726292,3900.104110590058,15188.28963993864,3745.991013435184,14895.280511605784
