material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-230,200,L,N1,5.19864254993312,10000,0,10.0,911.2774121687723,0.0307,1.9897752565249605,9.152934089148978,17.984849640054986,,,,,
EJ-230,200,L,N2,5.299365444941564,10000,0,13.0,917.2996809350706,0.0182,2.7248753992973502,11.297407643456609,20.22619015301811,,,,,
EJ-230,200,L,N5,5.482246366334152,10000,0,17.0,928.8691434784489,0.0067,3.522444499695731,14.425902319660432,24.01951718999466,,,,,
EJ-230,200,L,N20,5.980144047520011,10000,0,25.0,960.8933059384708,0.0072,5.529383454808797,20.6088004789883,32.49989863609671,,,,,
EJ-230,200,L,N100,7.769812404674315,10000,0,48.0,1097.686823467036,0.0136,9.775215271293703,35.493035680774334,50.22081062985384,,,,,
EJ-230,200,L,CFD_fastic_measured_14,6.57619854993312,10000,0,35.0,1013.6653211002529,0.0874,8.111781207868688,27.612157588753426,41.648194465649716,fastic_measured,2.0,3.0,0.14,0.0009626812465748715
EJ-230,200,L,CFD_fastic_measured_24,6.95488054993312,10000,0,38.0,1038.309333740484,0.03,8.518462690191054,30.197572297273766,44.08470504227316,fastic_measured,2.0,3.0,0.24,0.0010524882602718894
EJ-230,200,L,CFD_penarodriguez_shortened_14,6.57619854993312,10000,0,35.0,1013.6653211002529,0.0874,8.111781207868688,27.612157588753426,41.648194465649716,penarodriguez_shortened,2.0,3.0,0.14,0.0009626812465748715
EJ-230,200,L,CFD_penarodriguez_shortened_24,6.95488054993312,10000,0,38.0,1038.309333740484,0.03,8.518462690191054,30.197572297273766,44.08470504227316,penarodriguez_shortened,2.0,3.0,0.24,0.0010524882602718894
EJ-230,200,L,CFD_fast_contrast_14,6.08726254993312,10000,0,26.0,965.9186997381894,0.0079,5.714639097586707,21.412186643947923,33.634027094593876,fast_contrast,0.5,2.0,0.14,0.0010371376869791262
EJ-230,200,L,CFD_fast_contrast_24,6.35146454993312,10000,0,33.0,998.2758282870052,0.1251,6.7531491436354845,25.76362132005602,39.92682766635053,fast_contrast,0.5,2.0,0.24,0.0010680270879226403
EJ-230,200,R,N1,3.0060629035896467,10000,0,6.5,508.03778323162504,0.0475,1.6630627201024948,10.254387426613945,19.487287035844865,,,,,
EJ-230,200,R,N2,3.0706934055500947,10000,0,8.0,511.742897290217,0.0313,2.59186527597111,12.418959946541362,21.862705237633538,,,,,
EJ-230,200,R,N5,3.1846918293361846,10000,0,10.0,517.9153981616121,0.0123,3.3326484336964426,15.24072898943016,25.82353445377727,,,,,
EJ-230,200,R,N20,3.466756644819367,10000,0,14.0,535.7684716062981,0.0301,5.601998548046156,21.134021695285917,34.478992352945696,,,,,
EJ-230,200,R,N100,4.157180964316783,10000,0,22.0,580.6913548478556,0.0439,8.645144317840517,30.763823241687952,46.956578893054264,,,,,
EJ-230,200,R,CFD_fastic_measured_14,4.332554903589647,10000,0,24.0,595.2819759827927,0.0297,9.303408579719695,33.054473711374946,48.70705384811071,fastic_measured,2.0,3.0,0.14,0.0005531780136994646
EJ-230,200,R,CFD_fastic_measured_24,4.694950903589647,10000,0,26.0,618.1876773693909,0.0196,10.552822219232988,36.335913614231224,51.58626083063309,fastic_measured,2.0,3.0,0.24,0.0006041631844284833
EJ-230,200,R,CFD_penarodriguez_shortened_14,4.332554903589647,10000,0,24.0,595.2819759827927,0.0297,9.303408579719695,33.054473711374946,48.70705384811071,penarodriguez_shortened,2.0,3.0,0.14,0.0005531780136994646
EJ-230,200,R,CFD_penarodriguez_shortened_24,4.694950903589647,10000,0,26.0,618.1876773693909,0.0196,10.552822219232988,36.335913614231224,51.58626083063309,penarodriguez_shortened,2.0,3.0,0.24,0.0006041631844284833
EJ-230,200,R,CFD_fast_contrast_14,3.874288903589647,10000,0,19.0,565.8081903183283,0.0768,7.882403808362901,28.033984273174575,43.77986816499913,fast_contrast,0.5,2.0,0.14,0.0005212263318783744
EJ-230,200,R,CFD_fast_contrast_24,4.109348903589647,10000,0,22.0,580.0365018435263,0.0433,8.838592945481818,30.617954855158487,46.448382961227466,fast_contrast,0.5,2.0,0.24,0.0005940196021219396
