material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-204,0,L,N1,4.147944405643032,10000,0,10.0,712.3870693629584,0.0463,3.1661757146750165,10.826249735516107,19.56446803912193,,,,,
EJ-204,0,L,N2,4.2345977143819455,10000,0,12.0,717.0302931689777,0.0296,3.6480344529163866,12.611965148644376,21.86243723507919,,,,,
EJ-204,0,L,N5,4.385108525618858,10000,0,14.0,725.1575616134623,0.0129,4.443506093622451,15.246083812334392,25.44033209816267,,,,,
EJ-204,0,L,N20,4.7644740293361885,10000,0,20.0,750.0641809217514,0.0601,5.842496945274143,21.18766406700938,37.96227996671277,,,,,
EJ-204,0,L,N100,5.760213144107089,10000,0,31.0,811.8121842911381,0.0307,8.275656611449689,30.73039702696333,46.602367091058774,,,,,
EJ-204,0,L,CFD_fastic_measured_14,5.6282884056430325,10000,0,30.0,804.607048326623,0.0298,8.115746554080634,29.748320191315514,45.148620551460745,fastic_measured,2.0,3.0,0.14,0.000753973161328
EJ-204,0,L,CFD_fastic_measured_24,6.036170405643031,10000,0,33.0,830.2153596698204,0.022,8.969585419412356,32.812875043387734,48.567354079265854,fastic_measured,2.0,3.0,0.24,0.0008262647582034227
EJ-204,0,L,CFD_penarodriguez_shortened_14,5.6282884056430325,10000,0,30.0,804.607048326623,0.0298,8.115746554080634,29.748320191315514,45.148620551460745,penarodriguez_shortened,2.0,3.0,0.14,0.000753973161328
EJ-204,0,L,CFD_penarodriguez_shortened_24,6.036170405643031,10000,0,33.0,830.2153596698204,0.022,8.969585419412356,32.812875043387734,48.567354079265854,penarodriguez_shortened,2.0,3.0,0.24,0.0008262647582034227
EJ-204,0,L,CFD_fast_contrast_14,5.115370405643033,10000,0,26.0,778.5938570694923,0.1178,6.8198965036415915,26.06182997766401,41.28563493186195,fast_contrast,0.5,2.0,0.14,0.0007076602160984297
EJ-204,0,L,CFD_fast_contrast_24,5.376178405643032,10000,0,27.0,788.5453638303745,0.0518,7.500782035513395,27.5654409954922,43.55998522526641,fast_contrast,0.5,2.0,0.24,0.0008094209865802511
EJ-204,0,R,N1,4.147822709642558,10000,0,10.0,712.0498918737514,0.0452,3.073317564149183,10.707803015035987,19.66936405606299,,,,,
EJ-204,0,R,N2,4.234299777207916,10000,0,12.0,717.0151580047605,0.0284,3.7644688649774714,12.607442647572562,21.89097822627344,,,,,
EJ-204,0,R,N5,4.383773615250527,10000,0,14.0,725.7093361933878,0.0117,4.087826051546953,15.397112457171996,25.48911718847926,,,,,
EJ-204,0,R,N20,4.762985338682445,10000,0,20.0,749.4946357127474,0.0591,5.573155357264606,21.00985158752815,37.95355355985221,,,,,
EJ-204,0,R,N100,5.760339591341636,10000,0,30.0,810.0944299780722,0.0276,8.03298802081191,30.432865296305707,46.35659145655004,,,,,
EJ-204,0,R,CFD_fastic_measured_14,5.628902709642559,10000,0,29.0,803.6228089050948,0.0286,8.081069510040045,29.624725216978806,45.23926913936062,fastic_measured,2.0,3.0,0.14,0.000743192663309345
EJ-204,0,R,CFD_fastic_measured_24,6.036964709642558,10000,0,33.0,829.0604503172196,0.0231,8.840581882604736,32.71956315699208,48.58017052882928,fastic_measured,2.0,3.0,0.24,0.000821608663730446
EJ-204,0,R,CFD_penarodriguez_shortened_14,5.628902709642559,10000,0,29.0,803.6228089050948,0.0286,8.081069510040045,29.624725216978806,45.23926913936062,penarodriguez_shortened,2.0,3.0,0.14,0.000743192663309345
EJ-204,0,R,CFD_penarodriguez_shortened_24,6.036964709642558,10000,0,33.0,829.0604503172196,0.0231,8.840581882604736,32.71956315699208,48.58017052882928,penarodriguez_shortened,2.0,3.0,0.24,0.000821608663730446
EJ-204,0,R,CFD_fast_contrast_14,5.114774709642559,10000,0,26.0,780.5755930631437,0.1198,7.128255145370894,26.359433804477042,41.27439585177325,fast_contrast,0.5,2.0,0.14,0.0006962437705871542
EJ-204,0,R,CFD_fast_contrast_24,5.376736709642559,10000,0,27.0,790.3030067101708,0.0562,7.356509908275412,27.841204953924667,43.63947538953082,fast_contrast,0.5,2.0,0.24,0.0007988176530420299
