material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-204,200,L,N1,5.245255407088728,10000,0,12.0,914.0067353075037,0.0408,2.9630777710382348,10.145109455835605,18.82555371712356,,,,,
EJ-204,200,L,N2,5.34794035447637,10000,0,14.0,919.7050195506422,0.0236,3.428536964278667,12.000237162407547,20.912988381353742,,,,,
EJ-204,200,L,N5,5.531612785586753,10000,0,17.0,929.4375780694013,0.0112,3.9980385705606327,14.562859593446703,24.66691458558607,,,,,
EJ-204,200,L,N20,6.01203192018401,10000,0,24.0,958.0945448217703,0.0273,5.374319917632154,20.13899705112928,33.42298725816887,,,,,
EJ-204,200,L,N100,7.468023318060037,10000,0,42.0,1053.8253690547624,0.0194,8.403653955563557,31.678453238707206,47.58093401565631,,,,,
EJ-204,200,L,CFD_fastic_measured_14,6.74738740708873,10000,0,35.0,1011.1291023314909,0.0484,7.535459860145276,27.29692904106422,42.70078895802844,fastic_measured,2.0,3.0,0.14,0.000929201599279453
EJ-204,200,L,CFD_fastic_measured_24,7.160671407088728,10000,0,39.0,1038.1962017831875,0.0236,8.367368126353789,30.135027305644105,45.04260056818956,fastic_measured,2.0,3.0,0.24,0.0010253412399051842
EJ-204,200,L,CFD_penarodriguez_shortened_14,6.74738740708873,10000,0,35.0,1011.1291023314909,0.0484,7.535459860145276,27.29692904106422,42.70078895802844,penarodriguez_shortened,2.0,3.0,0.14,0.000929201599279453
EJ-204,200,L,CFD_penarodriguez_shortened_24,7.160671407088728,10000,0,39.0,1038.1962017831875,0.0236,8.367368126353789,30.135027305644105,45.04260056818956,penarodriguez_shortened,2.0,3.0,0.24,0.0010253412399051842
EJ-204,200,L,CFD_fast_contrast_14,6.227067407088728,10000,0,30.0,982.8299082908006,0.1374,6.44268748322621,23.76773978170874,38.903139257715445,fast_contrast,0.5,2.0,0.14,0.0009757841038962067
EJ-204,200,L,CFD_fast_contrast_24,6.497391407088728,10000,0,33.0,999.603520388582,0.0958,6.912430618066086,25.94133767083168,40.76958489082841,fast_contrast,0.5,2.0,0.24,0.0009870698581851889
EJ-204,200,R,N1,3.05054530110559,10000,0,8.0,510.2017781651246,0.056,3.2771260848194133,11.58037005063892,20.981847410148195,,,,,
EJ-204,200,R,N2,3.1194772647730358,10000,0,9.0,514.1780326077944,0.0412,3.6191028281958575,13.592807835705877,23.370724259490473,,,,,
EJ-204,200,R,N5,3.238486064441163,10000,0,11.0,520.7234669639395,0.0235,4.497178474779037,16.284198999819896,27.068074168891272,,,,,
EJ-204,200,R,N20,3.519190129312787,10000,0,17.0,549.1875620151841,0.2093,6.570389700757429,24.50717760699372,38.934790294382864,,,,,
EJ-204,200,R,N100,4.202433740527955,10000,0,22.0,580.2271767629525,0.0453,8.563705847825675,30.65792827202895,47.39596865682328,,,,,
EJ-204,200,R,CFD_fastic_measured_14,4.49116530110559,10000,0,24.0,595.358401955757,0.0262,9.281349847141446,33.018464653290735,49.819754062089565,fastic_measured,2.0,3.0,0.14,0.0005718210266178899
EJ-204,200,R,CFD_fastic_measured_24,4.88843530110559,10000,0,27.0,618.9896907034628,0.0093,10.709976951671162,36.39804133640349,52.10989838127288,fastic_measured,2.0,3.0,0.24,0.0006268479313882758
EJ-204,200,R,CFD_penarodriguez_shortened_14,4.49116530110559,10000,0,24.0,595.358401955757,0.0262,9.281349847141446,33.018464653290735,49.819754062089565,penarodriguez_shortened,2.0,3.0,0.14,0.0005718210266178899
EJ-204,200,R,CFD_penarodriguez_shortened_24,4.88843530110559,10000,0,27.0,618.9896907034628,0.0093,10.709976951671162,36.39804133640349,52.10989838127288,penarodriguez_shortened,2.0,3.0,0.24,0.0006268479313882758
EJ-204,200,R,CFD_fast_contrast_14,3.9791833011055897,10000,0,20.0,567.8166732167476,0.0715,8.420626879208815,28.39909280466385,45.36707536980526,fast_contrast,0.5,2.0,0.14,0.0005471341792488787
EJ-204,200,R,CFD_fast_contrast_24,4.243087301105589,10000,0,22.0,583.30867950511,0.0424,8.458212360466696,31.151128720180054,48.09444458534061,fast_contrast,0.5,2.0,0.24,0.0006312081468032384
