frame,frametitle,include_exact,relative_path,expected_absolute,exists,size_bytes,extension,valid,validation,sha256,possible_generator,classification,search_candidates
28,Run 6 $|$ x = +650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
28,Run 6 $|$ x = +650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
29,Position x=690 mm,\includegraphics[width=\textwidth]{figs/muon_690mm_geometry.png},figs/muon_690mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_690mm_geometry.png,True,87200,.png,True,Pillow:PNG,66280078231a14112bab02f40cf67a7641fb2c9beac5c6171e20f62ddec4add5,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_690mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_690mm_geometry.png
29,Position x=690 mm,\includegraphics[width=\textwidth]{figs/muon_690mm_top_profile.png},figs/muon_690mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_690mm_top_profile.png,True,114202,.png,True,Pillow:PNG,64df452f1434716815ad2c4998aea01c9fd771db69041537618fbb57336fbd6f,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_690mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_690mm_top_profile.png
30,Run 7 $|$ x = +690 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_690mm.png}",figs/exec11_arrival_690mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_690mm.png,True,226340,.png,True,Pillow:PNG,64017cb1e79b449e861f887059513ba26e249778a39f6fc70f93594a77666ecd,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_690mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_690mm.png
31,Run 7 $|$ x = +690 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_690mm.png}",figs/exec13_tN_690mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_690mm.png,True,210350,.png,True,Pillow:PNG,11fdf4201cd05dc4be0bc253c423927800db2c4c465191a8cd03ff1d69300fd4,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_690mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_690mm.png
32,Run 7 $|$ x = +690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
32,Run 7 $|$ x = +690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
32,Run 7 $|$ x = +690 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
33,$\sigma(t_N)$ vs beam position: synthesis,"\includegraphics[width=\textwidth,height=0.65\textheight,keepaspectratio]%\n{figs/exec13_tN_summary.png}",figs/exec13_tN_summary.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_summary.png,True,74571,.png,True,Pillow:PNG,1d695c5fbe3c7a15b15ece918c914d66ea6d184749d82ba2c53633b7497aba60,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_summary.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_summary.png
35,Photon budget versus beam position,"\includegraphics[width=\textwidth,height=0.62\textheight,keepaspectratio]{figs/P1_npe_vs_x.png}",figs/P1_npe_vs_x.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/P1_npe_vs_x.png,True,233001,.png,True,Pillow:PNG,374863e1ccc97da12884f8f370d1616740b9064a88d6fbb8c700342702a9ae2c,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/P1_npe_vs_x.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/P1_npe_vs_x.png
36,Top localization: full coverage diagonal,"\includegraphics[width=\textwidth,height=0.62\textheight,keepaspectratio]{figs/P2_npe_heatmap_top.png}",figs/P2_npe_heatmap_top.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/P2_npe_heatmap_top.png,True,118849,.png,True,Pillow:PNG,ae692d4087b243d89399bc47e0541f6271cef614adf936cec3536bdb3beb95b0,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/P2_npe_heatmap_top.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/P2_npe_heatmap_top.png
37,Attenuation and the historical mean-time slope,"\includegraphics[width=\textwidth,height=0.46\textheight,keepaspectratio]{figs/fits_attenuation_velocity.png}",figs/fits_attenuation_velocity.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/fits_attenuation_velocity.png,True,239898,.png,True,Pillow:PNG,d87da65f1764925d581262123cf265a9a59bd2094cb241120059d8abb3bf9827,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/fits_attenuation_velocity.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/fits_attenuation_velocity.png
37,Attenuation and the historical mean-time slope,"\includegraphics[width=\textwidth,height=0.55\textheight,keepaspectratio]{figs/exec10_fano_vs_mean.png}",figs/exec10_fano_vs_mean.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec10_fano_vs_mean.png,True,233930,.png,True,Pillow:PNG,fa402e13b74520125bba6f2f17b609c834911d9352f806b840225f1860599dc1,analysis/exec07/exec10_landau_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec10_fano_vs_mean.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec10_fano_vs_mean.png
39,High-light example: Moyal--Gaussian Landau proxy,"\includegraphics[width=\textwidth,height=0.55\textheight,keepaspectratio]{figs/exec10_landau_fit_example.png}",figs/exec10_landau_fit_example.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec10_landau_fit_example.png,True,100479,.png,True,Pillow:PNG,a5f70d421fb22dd647770380dd7ffa0fc0f88b9e86321b4d26ae9eda426bd011,analysis/exec07/exec10_landau_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec10_landau_fit_example.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec10_landau_fit_example.png
40,Arrival-time examples: absolute rate and normalized shape,"\includegraphics[width=\textwidth,height=0.55\textheight,keepaspectratio]{figs/P5_tdist_examples.png}",figs/P5_tdist_examples.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/P5_tdist_examples.png,True,301104,.png,True,Pillow:PNG,39faa976123556295d12bbaa9ba5250acad76727470bebdc3e06631f3898874f,analysis/exec07/exec10_time_figures.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/P5_tdist_examples.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/P5_tdist_examples.png
41,Mean arrival time and FPT versus x,"\includegraphics[width=\textwidth,height=0.68\textheight,keepaspectratio]{figs/P6_tmean_vs_x.png}",figs/P6_tmean_vs_x.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/P6_tmean_vs_x.png,True,258753,.png,True,Pillow:PNG,aaf490b030a7d46a7c4e718549c8023f7b5cf5b89f306a07e23247aa70c5c837,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/P6_tmean_vs_x.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/P6_tmean_vs_x.png
44,Window-track collection effect: five-run test,\includegraphics[width=\textwidth]{figs/exec08b_window_dip_profiles.png},figs/exec08b_window_dip_profiles.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec08b_window_dip_profiles.png,True,496454,.png,True,Pillow:PNG,8fc5787324ca4aaa4400fe32a9cf891d5a2ebb84591716e9ab7de4b869f5905a,analysis/exec07/exec08b_window_dip.py,FORBIDDEN_EJ204_COPY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec08b_window_dip_profiles.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec08b_window_dip_profiles.png
45,Intrinsic End SUM4 timing,"\includegraphics[width=\textwidth,height=0.60\textheight,keepaspectratio]{figs/P7_deltaT_end.png}",figs/P7_deltaT_end.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/P7_deltaT_end.png,True,270072,.png,True,Pillow:PNG,d6f56a2c9517d829a2ab1d69b5fc2cd0fe9690ae36858954914cdd9d873ee8f5,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/P7_deltaT_end.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/P7_deltaT_end.png
46,End arrival-time tails without any time acceptance window: narrower EndTop is physical,"\includegraphics[width=0.88\textwidth,height=0.42\textheight,keepaspectratio]{figs/exec09_tail_comparison.png}",figs/exec09_tail_comparison.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec09_tail_comparison.png,True,342461,.png,True,Pillow:PNG,49d7d21fedd9c22ab800bb3dcf300e2546b360a51f69876c13948f627cbc6b06,analysis/exec07/exec09_timing_mechanism.py,FORBIDDEN_EJ204_COPY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec09_tail_comparison.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec09_tail_comparison.png
47,Apparent timing slopes: no propagation estimator passes,\includegraphics[width=\textwidth]{figs/exec10_velocity_estimators.png},figs/exec10_velocity_estimators.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec10_velocity_estimators.png,True,280181,.png,True,Pillow:PNG,20271118010cf2c5bd5f8bb01aae8226edbfa235093786b029ee3e2c8dd3a006,analysis/exec07/exec10_veff_diagnosis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec10_velocity_estimators.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec10_velocity_estimators.png
50,Position x=-690 mm,\includegraphics[width=\textwidth]{figs/muon_-690mm_geometry.png},figs/muon_-690mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-690mm_geometry.png,True,85711,.png,True,Pillow:PNG,1e7d92e62570553b732a1c4f79a854adca17db664553a4bf34735f3c93bf0d52,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-690mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-690mm_geometry.png
50,Position x=-690 mm,\includegraphics[width=\textwidth]{figs/muon_-690mm_top_profile.png},figs/muon_-690mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-690mm_top_profile.png,True,115351,.png,True,Pillow:PNG,cdefc007d39ad22330c450c56561e84c037e47609d0a400c653bd192d4b6d79c,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-690mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-690mm_top_profile.png
51,Run 1 $|$ x = -690 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-690mm.png}",figs/exec11_arrival_-690mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-690mm.png,True,229147,.png,True,Pillow:PNG,7b3d1af3f1442b7843e9d5537cdda3fa8c17fb4f13f32e8d4693cd33b8f9a5c5,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-690mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-690mm.png
52,Position x=-670 mm,\includegraphics[width=\textwidth]{figs/muon_-670mm_geometry.png},figs/muon_-670mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-670mm_geometry.png,True,85249,.png,True,Pillow:PNG,e8d69aa82422d033e67de7ce9471a280ccdf8f468cd44b1cd74465e19babd559,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-670mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-670mm_geometry.png
52,Position x=-670 mm,\includegraphics[width=\textwidth]{figs/muon_-670mm_top_profile.png},figs/muon_-670mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-670mm_top_profile.png,True,115700,.png,True,Pillow:PNG,a4d845067456e42ba0f52d1e2ba2d8abc5cc7d7290b242c1b4eed93bfd9165af,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-670mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-670mm_top_profile.png
53,Run 2 $|$ x = -670 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-670mm.png}",figs/exec11_arrival_-670mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-670mm.png,True,225139,.png,True,Pillow:PNG,4ebadae713c0d51de1262ff6e1d0903d2bea792d65b8afe875b21b808ecd6c82,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-670mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-670mm.png
54,Position x=-650 mm,\includegraphics[width=\textwidth]{figs/muon_-650mm_geometry.png},figs/muon_-650mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-650mm_geometry.png,True,85090,.png,True,Pillow:PNG,7ebbefbd7b31815a5fb399a89ce7a890085a685e7115d4380185e227a90fb870,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-650mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-650mm_geometry.png
54,Position x=-650 mm,\includegraphics[width=\textwidth]{figs/muon_-650mm_top_profile.png},figs/muon_-650mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-650mm_top_profile.png,True,118836,.png,True,Pillow:PNG,162c97b2b2c703e2a69707c01028e2760738e714c75a424008e3033b88bd33bf,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-650mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-650mm_top_profile.png
55,Run 3 $|$ x = -650 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-650mm.png}",figs/exec11_arrival_-650mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-650mm.png,True,216676,.png,True,Pillow:PNG,2bee0e00b110e04bbf2c2fabd94c05c45b7b482df1506566a2a641340b1f1932,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-650mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-650mm.png
56,Position x=-600 mm,\includegraphics[width=\textwidth]{figs/muon_-600mm_geometry.png},figs/muon_-600mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-600mm_geometry.png,True,86003,.png,True,Pillow:PNG,b211b45419c7eb1cf4ebdf4903686143c91f24d86a58e7e6f73e5491e2497b07,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-600mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-600mm_geometry.png
56,Position x=-600 mm,\includegraphics[width=\textwidth]{figs/muon_-600mm_top_profile.png},figs/muon_-600mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-600mm_top_profile.png,True,122760,.png,True,Pillow:PNG,77f4c535f7bcc8c483acf2dba888c1b91a4a6503707a725a15e00aedf91642f1,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-600mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-600mm_top_profile.png
57,Run 4 $|$ x = -600 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-600mm.png}",figs/exec11_arrival_-600mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-600mm.png,True,203660,.png,True,Pillow:PNG,9f9f9bc069cde6af8eaaada754b883716ce74c4c39769985f2f15e69253fb597,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-600mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-600mm.png
58,Position x=-550 mm,\includegraphics[width=\textwidth]{figs/muon_-550mm_geometry.png},figs/muon_-550mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-550mm_geometry.png,True,84786,.png,True,Pillow:PNG,d693ebf74d6ab74dae723f44b7783f9b3070832181de652d0614e6d3ffcd3569,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-550mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-550mm_geometry.png
58,Position x=-550 mm,\includegraphics[width=\textwidth]{figs/muon_-550mm_top_profile.png},figs/muon_-550mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-550mm_top_profile.png,True,124255,.png,True,Pillow:PNG,7a9c92b334ee52cbce2d176a0b1f4c765f5e9e21f3773d955b7873d8ac7cacea,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-550mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-550mm_top_profile.png
59,Run 5 $|$ x = -550 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-550mm.png}",figs/exec11_arrival_-550mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-550mm.png,True,219071,.png,True,Pillow:PNG,5ccd8c8e25c04ed062ff416a01d38cfab3872025072d6f6499219532956bb494,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-550mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-550mm.png
60,Position x=-500 mm,\includegraphics[width=\textwidth]{figs/muon_-500mm_geometry.png},figs/muon_-500mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-500mm_geometry.png,True,86437,.png,True,Pillow:PNG,cdf2c1e37924700da9dffdc7b95e956896681c1d957f11fbbf4a16e264de7489,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-500mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-500mm_geometry.png
60,Position x=-500 mm,\includegraphics[width=\textwidth]{figs/muon_-500mm_top_profile.png},figs/muon_-500mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-500mm_top_profile.png,True,126793,.png,True,Pillow:PNG,83ce39c898ef8e203a1c1cae7e471a27d5c875ddbd1d82f4da279022b0f28d0c,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-500mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-500mm_top_profile.png
61,Run 6 $|$ x = -500 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-500mm.png}",figs/exec11_arrival_-500mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-500mm.png,True,206720,.png,True,Pillow:PNG,01ad34c04accafc4185a7707dfe5cb776af9d3629b30533f837411c13e30f196,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-500mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-500mm.png
62,Position x=-450 mm,\includegraphics[width=\textwidth]{figs/muon_-450mm_geometry.png},figs/muon_-450mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-450mm_geometry.png,True,85018,.png,True,Pillow:PNG,bdd1a14905880461bef783ae66625263f6b798482d74b24686d83841984ce42a,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-450mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-450mm_geometry.png
62,Position x=-450 mm,\includegraphics[width=\textwidth]{figs/muon_-450mm_top_profile.png},figs/muon_-450mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-450mm_top_profile.png,True,127479,.png,True,Pillow:PNG,cea64967e23a6ea02985b065ad782cf652d3f51ef342be346419163df21687bc,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-450mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-450mm_top_profile.png
63,Run 7 $|$ x = -450 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_-450mm.png}",figs/exec11_arrival_-450mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_-450mm.png,True,210300,.png,True,Pillow:PNG,1d33167a47a7c77a24131b71ffc24b5941b573c089930ba2bb9b61d9ebe9b032,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_-450mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_-450mm.png
64,Position x=-400 mm,\includegraphics[width=\textwidth]{figs/muon_-400mm_geometry.png},figs/muon_-400mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-400mm_geometry.png,True,86044,.png,True,Pillow:PNG,802b2661f89e6f733bac2804fd216dace3c974219b6eabfe4c413417cfb3e307,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-400mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-400mm_geometry.png
64,Position x=-400 mm,\includegraphics[width=\textwidth]{figs/muon_-400mm_top_profile.png},figs/muon_-400mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_-400mm_top_profile.png,True,126950,.png,True,Pillow:PNG,9781d31fb6a67a428aab840f250d9bb764580ab4e9c082dbbaa7baf2387bb883,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_-400mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_-400mm_top_profile.png
