bin_low,bin_high,photons,probability,probability_se,uniform_probability,old_p_2mu_probability
0.0,0.05,1413692,0.007435994748265458,1.2962615074035868e-05,0.05,0.0025000000000000005
0.05,0.1,3692064,0.01942019090032338,1.7085163500619798e-05,0.05,0.0075000000000000015
0.1,0.15000000000000002,5634859,0.029639258007554934,1.3210266100576208e-05,0.05,0.012500000000000004
0.15000000000000002,0.2,7356825,0.038696768506794994,1.5479267984367548e-05,0.05,0.0175
0.2,0.25,8537285,0.04490596708791269,1.7052198724713926e-05,0.05,0.022499999999999992
0.25,0.30000000000000004,9305050,0.04894439731734175,1.7602279196590362e-05,0.05,0.027500000000000024
0.30000000000000004,0.35000000000000003,9663098,0.05082772342205689,1.661640661145616e-05,0.05,0.0325
0.35000000000000003,0.4,9706424,0.05105561741060839,1.6089805383600913e-05,0.05,0.037500000000000006
0.4,0.45,9773122,0.05140644770300575,1.576852766460064e-05,0.05,0.04249999999999998
0.45,0.5,9788690,0.05148833510580707,1.5518192075802552e-05,0.05,0.04749999999999999
0.5,0.55,10077631,0.0530081596210187,1.6000888406754185e-05,0.05,0.05250000000000005
0.55,0.6000000000000001,10223015,0.05377287687235904,1.6135306238459254e-05,0.05,0.05750000000000005
0.6000000000000001,0.65,10307833,0.054219018042117643,1.669773823917511e-05,0.05,0.062499999999999944
0.65,0.7000000000000001,10446963,0.05495083936481465,1.6866522021536804e-05,0.05,0.06750000000000006
0.7000000000000001,0.75,10593219,0.05572014332062844,1.7080678002805675e-05,0.05,0.0724999999999999
0.75,0.8,10807297,0.056846189788826024,1.6770273381734358e-05,0.05,0.07750000000000012
0.8,0.8500000000000001,11017959,0.05795426815784777,1.6877206221597525e-05,0.05,0.08250000000000002
0.8500000000000001,0.9,11903527,0.06261234006971539,1.613256657268878e-05,0.05,0.08749999999999991
0.9,0.9500000000000001,12962698,0.0681835606704651,1.9292675162806696e-05,0.05,0.09250000000000003
0.9500000000000001,1.0,16903461,0.08891190388253593,2.023915541543738e-05,0.05,0.09749999999999992
