material_code,material,gun_x_mm,face_type,face,nominal_d_mm,regime,variable,n_pairs,first_mean,random_mean,paired_mean_difference,bootstrap_low_95,bootstrap_high_95,ks_statistic,ks_asymptotic_p,fraction_first_less
0,EJ-200,-500,1,right,1200,far,rho_detour,10000,1.01684542856,1.34708936863,-0.330243940061,-0.339737149461,-0.321251746771,0.7753,0,0.9283
0,EJ-200,-500,1,right,1200,far,d_direct_mm,10000,1199.59514254,1175.56707434,24.0280682042,20.8593392994,27.4291199983,0.046,1.20153514282e-09,0.4961
0,EJ-200,-500,1,right,1200,far,n_boundary_encounters,10000,15.4852,74.6029,-59.1177,-60.3578275,-57.9011625,0.6661,0,0.8799
0,EJ-200,-500,1,right,1200,far,wl_nm_created,10000,437.753357765,438.508519022,-0.755161256556,-1.51527044655,0.0147696594221,0.0199,0.0376061965701,0.5054
0,EJ-200,-500,1,right,1200,far,wl_nm,10000,437.753357765,438.508519022,-0.755161256556,-1.51527044655,0.0147696594221,0.0199,0.0376061965701,0.5054
0,EJ-200,-500,1,right,1200,far,pde,10000,0.604630137086,0.604040831308,0.000589305777384,-0.000409691282107,0.00158894224351,0.0173,0.0992439985161,0.4818
0,EJ-200,-500,1,right,1200,far,exit_angle_deg,10000,9.45889633469,36.507376831,-27.0484804963,-27.5637773075,-26.5263625853,0.7694,0,0.9256
0,EJ-200,-500,1,right,1200,far,t_creation_ns,10000,0.426603653582,3.10508638086,-2.67848272728,-2.73160724121,-2.62511241448,0.877,0,0.9502
0,EJ-200,-500,1,right,1200,far,t_detection_ns,10000,6.85534426026,11.3731834449,-4.51783918468,-4.59043837145,-4.44676715452,0.9756,0,0.9964
0,EJ-200,-500,1,right,1200,far,is_cherenkov,10000,0.0339,0.0302,0.0037,-0.0012025,0.0085,0.0037,0.999999848629,0.0294
0,EJ-200,-200,0,left,500,near,path_length_mm,10000,512.31351014,726.240386439,-213.926876299,-223.009855425,-205.279522612,0.7662,0,0.9167
0,EJ-200,-200,0,left,500,near,rho_detour,10000,1.02506653021,1.48131810742,-0.456251577212,-0.473630164879,-0.4392445099,0.7827,0,0.9338
0,EJ-200,-200,0,left,500,near,d_direct_mm,10000,499.785469945,492.899685326,6.88578461865,5.56671955192,8.21963069587,0.0346,1.21321948727e-05,0.5139
0,EJ-200,-200,0,left,500,near,n_boundary_encounters,10000,7.7433,38.2432,-30.4999,-31.2753375,-29.7619875,0.6672,0,0.8772
0,EJ-200,-200,0,left,500,near,wl_nm_created,10000,439.039128245,438.120864792,0.918263452753,0.101412793768,1.74183301871,0.0138,0.294920686805,0.4966
0,EJ-200,-200,0,left,500,near,wl_nm,10000,439.039128245,438.120864792,0.918263452753,0.101412793768,1.74183301871,0.0138,0.294920686805,0.4966
0,EJ-200,-200,0,left,500,near,pde,10000,0.600423024245,0.604224242567,-0.00380121832227,-0.00491139551139,-0.00269564599951,0.0238,0.00680059995063,0.4979
0,EJ-200,-200,0,left,500,near,exit_angle_deg,10000,11.5936717551,41.580342788,-29.9866710329,-30.483581015,-29.4711917774,0.7816,0,0.9326
0,EJ-200,-200,0,left,500,near,t_creation_ns,10000,0.335860583612,2.998312347,-2.66245176339,-2.71098866323,-2.61414277765,0.9294,0,0.9599
0,EJ-200,-200,0,left,500,near,t_detection_ns,10000,3.0359129846,6.82583045339,-3.78991746879,-3.85125162148,-3.72791832637,0.9899,0,0.9975
0,EJ-200,-200,0,left,500,near,is_cherenkov,10000,0.0587,0.0318,0.0269,0.0214,0.0325,0.0269,0.00140481068394,0.0296
0,EJ-200,-200,1,right,900,far,path_length_mm,10000,916.641561696,1218.04261317,-301.401051477,-311.64617666,-290.977438451,0.7522,0,0.9097
0,EJ-200,-200,1,right,900,far,rho_detour,10000,1.01894371179,1.39545756777,-0.376513855976,-0.408110600708,-0.354826203641,0.7678,0,0.9258
0,EJ-200,-200,1,right,900,far,d_direct_mm,10000,899.599284733,886.136649033,13.4626356998,11.3346504913,15.5265471167,0.0552,1.05285200805e-13,0.5265
0,EJ-200,-200,1,right,900,far,n_boundary_encounters,10000,12.3089,58.744,-46.4351,-47.41142,-45.40309,0.6596,0,0.8697
0,EJ-200,-200,1,right,900,far,wl_nm_created,10000,438.362230488,437.928658611,0.433571876695,-0.354758952204,1.23981681087,0.0147,0.228393412623,0.4936
0,EJ-200,-200,1,right,900,far,wl_nm,10000,438.362230488,437.928658611,0.433571876695,-0.354758952204,1.23981681087,0.0147,0.228393412623,0.4936
0,EJ-200,-200,1,right,900,far,pde,10000,0.602565380205,0.604647216304,-0.00208183609954,-0.00314135653438,-0.00109522424217,0.0201,0.0347053889706,0.4964
0,EJ-200,-200,1,right,900,far,exit_angle_deg,10000,10.0987804055,37.1473967183,-27.0486163128,-27.5535387924,-26.5230362972,0.7645,0,0.9234
0,EJ-200,-200,1,right,900,far,t_creation_ns,10000,0.38622438977,3.04103293365,-2.65480854388,-2.70815802362,-2.60374495032,0.9019,0,0.9555
0,EJ-200,-200,1,right,900,far,t_detection_ns,10000,5.21721205751,9.46047011688,-4.24325805937,-4.31629087455,-4.17314788422,0.9819,0,0.9971
0,EJ-200,-200,1,right,900,far,is_cherenkov,10000,0.0465,0.0314,0.0151,0.0095975,0.0203025,0.0151,0.202737299542,0.0303
