material_code,material,gun_x_mm,face_type,face,n_events,cherenkov_fraction,mean_scint_ns,mean_cherenkov_ns,mean_separation_ps,rms_scint_ns,rms_cherenkov_ns,skew_scint,skew_cherenkov,within_variance_ns2,between_variance_ns2,sigma_mixture_ns,rms_total_ns,qwidth_total_ns,original_sigma_gaussian_ns,original_gaussian_chi2_ndf,corr_cherenkov_tprop_angle_penalty,q95_cherenkov_folded_angle_deg
0,EJ-200,-650,0,left,10000,0.741,0.509373006929,0.521586169051,-12.2131621222,0.0145823173199,0.019238056316,-0.821978233771,-2.4907171588,0.000329320973227,2.86268931047e-05,0.0189195102033,0.0189195102033,0.0141865150759,0.00234204853151,205.150790262,0.984307215686,40.53520161
0,EJ-200,650,1,right,10000,0.7356,0.508939260983,0.520949879876,-12.0106188928,0.0149307920698,0.0201914342871,-0.745213145367,-2.60078163596,0.000358842029165,2.80565292072e-05,0.01966973712,0.01966973712,0.0155747273169,0.00232284561178,210.112417129,0.961955439504,40.5586827418
1,EJ-204,-650,0,left,10000,0.629,0.508293009185,0.520240345184,-11.9473359986,0.0149680171417,0.0205699529924,-0.692303806828,-2.1444329267,0.000349263755968,3.33093923718e-05,0.0195594772001,0.0195594772001,0.017344596994,0.0106829967948,460.174569458,0.985747233822,40.5674223066
1,EJ-204,650,1,right,10000,0.6342,0.508225715499,0.520249637529,-12.0239220299,0.01502929726,0.0209196832912,-0.709353481851,-2.44628474431,0.000360173765207,3.35399369278e-05,0.0198422201917,0.0198422201917,0.0172655170733,0.0110514298591,503.743160729,0.962042672275,40.5265674489
2,EJ-230,-650,0,left,10000,0.5177,0.507282543954,0.5185433285,-11.2607845463,0.0151751304973,0.0222914044878,-0.642000648506,-1.92514721493,0.000368314861498,3.16615903268e-05,0.019999411287,0.019999411287,0.0189055798694,0.012031114068,358.927075665,0.986469295654,40.5202580434
2,EJ-230,650,1,right,10000,0.5233,0.50745711237,0.518380726992,-10.9236146227,0.0150758232428,0.022674155784,-0.647952943482,-2.10085052726,0.000377382193115,2.97665585634e-05,0.0201779273385,0.0201779273385,0.0191847536973,0.0132802044886,356.655051877,0.964701806335,40.5022554019
