material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,path_length_mm,0,first,2308.87222305,2347.96672523,2328.41947414,0,0
0,EJ-200,path_length_mm,0,first,2347.96672523,2387.06122741,2367.51397632,0,0
0,EJ-200,path_length_mm,0,first,2387.06122741,2426.15572959,2406.6084785,0,0
0,EJ-200,path_length_mm,0,first,2426.15572959,2465.25023177,2445.70298068,0,0
0,EJ-200,path_length_mm,0,first,2465.25023177,2504.34473395,2484.79748286,0,0
0,EJ-200,path_length_mm,0,first,2504.34473395,2543.43923612,2523.89198503,0,0
0,EJ-200,path_length_mm,0,first,2543.43923612,2582.5337383,2562.98648721,0,0
0,EJ-200,path_length_mm,0,first,2582.5337383,2621.62824048,2602.08098939,0,0
0,EJ-200,path_length_mm,0,first,2621.62824048,2660.72274266,2641.17549157,0,0
0,EJ-200,path_length_mm,0,first,2660.72274266,2699.81724484,2680.26999375,0,0
0,EJ-200,path_length_mm,0,first,2699.81724484,2738.91174702,2719.36449593,0,0
0,EJ-200,path_length_mm,0,first,2738.91174702,2778.0062492,2758.45899811,0,0
0,EJ-200,path_length_mm,0,first,2778.0062492,2817.10075138,2797.55350029,0,0
0,EJ-200,path_length_mm,0,first,2817.10075138,2856.19525355,2836.64800246,0,0
0,EJ-200,path_length_mm,0,first,2856.19525355,2895.28975573,2875.74250464,0,0
0,EJ-200,path_length_mm,0,first,2895.28975573,2934.38425791,2914.83700682,0,0
0,EJ-200,path_length_mm,0,first,2934.38425791,2973.47876009,2953.931509,0,0
0,EJ-200,path_length_mm,0,first,2973.47876009,3012.57326227,2993.02601118,0,0
0,EJ-200,path_length_mm,0,first,3012.57326227,3051.66776445,3032.12051336,0,0
0,EJ-200,path_length_mm,0,first,3051.66776445,3090.76226663,3071.21501554,0,0
0,EJ-200,path_length_mm,0,first,3090.76226663,3129.85676881,3110.30951772,0,0
0,EJ-200,path_length_mm,1,random,2.29659450327,41.3910966821,21.8438455927,693,0.00012661626889
0,EJ-200,path_length_mm,1,random,41.3910966821,80.4855988608,60.9383477714,9970,0.0018215933634
0,EJ-200,path_length_mm,1,random,80.4855988608,119.58010104,100.03284995,4486,0.000819625659801
0,EJ-200,path_length_mm,1,random,119.58010104,158.674603218,139.127352129,1823,0.00033307569724
0,EJ-200,path_length_mm,1,random,158.674603218,197.769105397,178.221854308,1094,0.000199881959835
0,EJ-200,path_length_mm,1,random,197.769105397,236.863607576,217.316356487,6197,0.00113223812166
0,EJ-200,path_length_mm,1,random,236.863607576,275.958109755,256.410858665,4761,0.000869870210948
0,EJ-200,path_length_mm,1,random,275.958109755,315.052611934,295.505360844,3324,0.000607319592772
0,EJ-200,path_length_mm,1,random,315.052611934,354.147114112,334.599863023,2125,0.000388253349772
0,EJ-200,path_length_mm,1,random,354.147114112,393.241616291,373.694365202,1379,0.00025195358557
0,EJ-200,path_length_mm,1,random,393.241616291,432.33611847,412.78886738,907,0.000165715665056
