material_code,material,gun_x_mm,face_type,source_type,source,bin_low_ns,bin_high_ns,bin_center_ns,count,density
0,EJ-200,-650,0,0,all,0.446635251528,0.447397448289,0.447016349908,4,0.524798871413
0,EJ-200,-650,0,0,all,0.447397448289,0.44815964505,0.447778546669,4,0.524798871413
0,EJ-200,-650,0,0,all,0.44815964505,0.448921841811,0.44854074343,5,0.655998589266
0,EJ-200,-650,0,0,all,0.448921841811,0.449684038572,0.449302940191,6,0.78719830712
0,EJ-200,-650,0,0,all,0.449684038572,0.450446235333,0.450065136952,5,0.655998589266
0,EJ-200,-650,0,0,all,0.450446235333,0.451208432094,0.450827333713,6,0.78719830712
0,EJ-200,-650,0,0,all,0.451208432094,0.451970628855,0.451589530475,12,1.57439661424
0,EJ-200,-650,0,0,all,0.451970628855,0.452732825616,0.452351727236,9,1.18079746068
0,EJ-200,-650,0,0,all,0.452732825616,0.453495022377,0.453113923997,7,0.918398024973
0,EJ-200,-650,0,0,all,0.453495022377,0.454257219138,0.453876120758,15,1.9679957678
0,EJ-200,-650,0,0,all,0.454257219138,0.455019415899,0.454638317519,13,1.70559633209
0,EJ-200,-650,0,0,all,0.455019415899,0.45578161266,0.45540051428,12,1.57439661424
0,EJ-200,-650,0,0,all,0.45578161266,0.456543809421,0.456162711041,9,1.18079746068
0,EJ-200,-650,0,0,all,0.456543809421,0.457306006183,0.456924907802,10,1.31199717853
0,EJ-200,-650,0,0,all,0.457306006183,0.458068202944,0.457687104563,6,0.78719830712
0,EJ-200,-650,0,0,all,0.458068202944,0.458830399705,0.458449301324,14,1.83679604995
0,EJ-200,-650,0,0,all,0.458830399705,0.459592596466,0.459211498085,20,2.62399435707
0,EJ-200,-650,0,0,all,0.459592596466,0.460354793227,0.459973694846,20,2.62399435707
0,EJ-200,-650,0,0,all,0.460354793227,0.461116989988,0.460735891607,12,1.57439661424
0,EJ-200,-650,0,0,all,0.461116989988,0.461879186749,0.461498088368,11,1.44319689639
