selection,material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_cherenkov,mean_v_axial_mm_per_ns,se_v_axial_mm_per_ns,median_v_axial_mm_per_ns,mean_alpha_axial_deg,distance_to_beta1_edge_mm_per_ns,distance_to_finite_beta_edge_mm_per_ns
primary_like_proxy,0,EJ-200,500,2,2898,6.04830917874,145.331765806,0.0529431284757,146.274563867,39.991169557,-1.57113741783,-1.11805932736
primary_like_proxy,0,EJ-200,500,3,2898,8.1939268461,145.903789305,0.0350008380652,146.342566606,39.7273727956,-0.999113918058,-0.546035827583
primary_like_proxy,0,EJ-200,500,4,2899,13.0779579165,146.194641249,0.0130103247982,146.368064332,39.6001455589,-0.708261974673,-0.255183884198
primary_like_proxy,0,EJ-200,700,0,2791,1.42099605876,128.33941636,0.484516137679,139.169158611,45.6335740696,-18.5634868637,-18.1104087733
primary_like_proxy,0,EJ-200,700,1,2791,2.64098889287,139.879186928,0.208079454764,144.165105112,42.2950420729,-7.02371629523,-6.57063820475
primary_like_proxy,0,EJ-200,700,2,2792,3.85565902579,142.835938264,0.12634374767,145.167678674,41.0771558877,-4.06696495998,-3.6138868695
primary_like_proxy,0,EJ-200,700,3,2791,5.44285202436,144.478362022,0.0691844638251,145.721619434,40.3786646094,-2.4245412011,-1.97146311063
primary_like_proxy,0,EJ-200,700,4,2792,8.97098853868,145.514470619,0.0338296027337,146.262887617,39.9125588032,-1.38843260485,-0.935354514378
primary_like_proxy,0,EJ-200,900,0,2706,1.15410199557,128.349915662,0.513728570259,141.689199331,44.6884726895,-18.5529875614,-18.0999094709
primary_like_proxy,0,EJ-200,900,1,2706,2.15484109387,140.271403249,0.245947052992,145.736127994,41.8729351065,-6.63149997408,-6.17842188361
primary_like_proxy,0,EJ-200,900,2,2706,3.19770879527,143.96629786,0.122790433238,146.180418995,40.5554529269,-2.93660536387,-2.4835272734
primary_like_proxy,0,EJ-200,900,3,2706,4.43939393939,145.300049944,0.0649837110498,146.316649575,39.999981747,-1.60285327999,-1.14977518952
primary_like_proxy,0,EJ-200,900,4,2707,7.29700775767,146.082016545,0.0280841735585,146.375788348,39.6469449568,-0.820886678251,-0.367808587776
primary_like_proxy,0,EJ-200,1200,0,2427,1,124.465926965,0.501955250964,135.264604637,45.5674416315,-22.4369762588,-21.9838981683
primary_like_proxy,0,EJ-200,1200,1,2428,1.44810543657,129.466302187,0.43355953363,139.571062977,44.3530751838,-17.4366010364,-16.9835229459
primary_like_proxy,0,EJ-200,1200,2,2428,2.09184514003,136.849318537,0.278427482572,143.03650146,42.6120247185,-10.0535846866,-9.60050659617
primary_like_proxy,0,EJ-200,1200,3,2428,3.20387149918,141.623446483,0.161806462619,144.6626044,41.3728518421,-5.27945674045,-4.82637864998
primary_like_proxy,0,EJ-200,1200,4,2428,5.38962108731,144.357157286,0.0912228165981,145.987128519,40.3758743708,-2.54574593783,-2.09266784735
primary_like_proxy,0,EJ-200,1350,0,2481,1,130.035418085,0.431518483824,136.373557767,45.0233403444,-16.867485139,-16.4144070485
primary_like_proxy,0,EJ-200,1350,1,2482,1.57453666398,135.994766547,0.355084640832,143.420193207,42.8882141394,-10.9081366765,-10.455058586
primary_like_proxy,0,EJ-200,1350,2,2482,2.2485898469,141.393844742,0.17605317159,145.237167971,41.1621781935,-5.50905848168,-5.05598039121
primary_like_proxy,0,EJ-200,1350,3,2482,3.26390008058,143.650603392,0.114916567237,146.238910195,40.3853864982,-3.25229983195,-2.79922174148
primary_like_proxy,0,EJ-200,1350,4,2483,5.42368103101,145.385336491,0.0521249539144,146.376102089,39.872548729,-1.51756673246,-1.06448864199
primary_like_proxy,1,EJ-204,50,0,2946,8.08452138493,140.914403961,0.242145598313,144.762418392,41.7287361822,-5.98849926249,-5.53542117202
primary_like_proxy,1,EJ-204,50,1,2947,14.6532066508,145.248814211,0.035587678026,145.848731476,39.9770467855,-1.65408901265,-1.20101092218
primary_like_proxy,1,EJ-204,50,2,2947,19.0196810316,145.620585198,0.0212753295222,146.022765195,39.8232775646,-1.28231802506,-0.82923993459
primary_like_proxy,1,EJ-204,50,3,2947,24.3444180523,145.750973252,0.0197720408618,146.050063436,39.7611961058,-1.15192997174,-0.698851881268
primary_like_proxy,1,EJ-204,50,4,2947,37.3508652867,145.739561084,0.0156594605178,146.055855388,39.7638368354,-1.16334213968,-0.710264049207
primary_like_proxy,1,EJ-204,200,0,2924,3.88030095759,138.350665117,0.306039311413,145.336680438,42.8443485345,-8.55223810656,-8.09916001609
primary_like_proxy,1,EJ-204,200,1,2925,7.31179487179,144.71871153,0.0709705345156,146.116465725,40.264130822,-2.18419169315,-1.73111360267
primary_like_proxy,1,EJ-204,200,2,2925,9.97333333333,145.550371809,0.0419905652419,146.24081658,39.8935249892,-1.35253141489,-0.899453324418
primary_like_proxy,1,EJ-204,200,3,2925,13.054017094,145.911186049,0.0278099629959,146.27573922,39.7278784168,-0.991717174254,-0.538639083779
primary_like_proxy,1,EJ-204,200,4,2926,20.2081339713,146.069438152,0.0155247329491,146.296998629,39.6576797206,-0.83346507169,-0.380386981215
primary_like_proxy,1,EJ-204,500,0,2835,1.55590828924,133.470633337,0.373664260399,142.234255659,44.629064626,-13.4322698863,-12.9791917959
primary_like_proxy,1,EJ-204,500,1,2835,3.12275132275,142.629992503,0.141298374792,145.833797261,41.1651018945,-4.27291072017,-3.8198326297
primary_like_proxy,1,EJ-204,500,2,2836,4.50317348378,144.759377819,0.0750903179135,146.217122577,40.2450796944,-2.14352540468,-1.6904473142
primary_like_proxy,1,EJ-204,500,3,2835,6.2380952381,145.539024119,0.0441735081687,146.303725451,39.8989245347,-1.3638791049,-0.910801014426
primary_like_proxy,1,EJ-204,500,4,2836,10.1368124118,146.097116997,0.023316045724,146.355536709,39.6431319885,-0.805786226895,-0.35270813642
primary_like_proxy,1,EJ-204,700,0,2602,1,126.638167474,0.493420365931,137.250546336,46.5192105817,-20.2647357498,-19.8116576593
primary_like_proxy,1,EJ-204,700,1,2603,1.86400307338,137.646817672,0.277755963375,143.137601974,43.0771605877,-9.25608555183,-8.80300746135
primary_like_proxy,1,EJ-204,700,2,2603,2.69035728006,140.922500054,0.187004310333,144.579095932,41.8540596069,-5.9804031693,-5.52732507883
primary_like_proxy,1,EJ-204,700,3,2603,3.7890895121,143.355332051,0.116228319839,145.351798135,40.8665292631,-3.54757117293,-3.09449308245
primary_like_proxy,1,EJ-204,700,4,2604,6.43125960061,145.123037471,0.0493811352413,146.116805195,40.0903643076,-1.7798657523,-1.32678766183
primary_like_proxy,1,EJ-204,900,0,2390,1,129.143481847,0.499851343238,140.531854003,44.8239173211,-17.7594213769,-17.3063432864
primary_like_proxy,1,EJ-204,900,1,2391,1.3634462568,134.821874486,0.402757907646,143.907545341,43.4294188818,-12.0810287371,-11.6279506467
primary_like_proxy,1,EJ-204,900,2,2390,2,141.560406019,0.210612739774,145.755172816,41.494622089,-5.34249720485,-4.88941911437
primary_like_proxy,1,EJ-204,900,3,2391,2.9991635299,144.218351006,0.109517145235,146.161921712,40.4758355598,-2.6845522175,-2.23147412703
primary_like_proxy,1,EJ-204,900,4,2391,5.00710999582,145.640423634,0.0457962122054,146.348684496,39.8511256851,-1.26247958909,-0.80940149861
primary_like_proxy,1,EJ-204,1200,0,1818,1,126.795626371,0.509120552258,136.024922269,45.131230986,-20.1072768528,-19.6541987623
primary_like_proxy,1,EJ-204,1200,1,1819,1,128.461923955,0.48499105871,137.177383729,44.673560978,-18.4409792683,-17.9879011778
primary_like_proxy,1,EJ-204,1200,2,1818,1.32453245325,131.923249506,0.441426506016,140.300782118,43.9074178532,-14.9796537178,-14.5265756273
primary_like_proxy,1,EJ-204,1200,3,1819,2,138.694032321,0.267450607838,143.98669152,42.2333619374,-8.20887090226,-7.75579281178
primary_like_proxy,1,EJ-204,1200,4,1819,3.44859813084,142.94269938,0.156577436586,145.604346005,40.8445309452,-3.96020384306,-3.50712575258
primary_like_proxy,1,EJ-204,1350,0,1822,1,133.874181521,0.402274252708,139.890707542,43.7851549862,-13.0287217024,-12.575643612
primary_like_proxy,1,EJ-204,1350,1,1822,1,133.881500194,0.39658247737,139.316105849,43.8469344861,-13.0214030299,-12.5683249394
primary_like_proxy,1,EJ-204,1350,2,1822,1.33205268935,136.344700333,0.352622944969,142.473433265,42.9323559072,-10.5582028901,-10.1051247996
primary_like_proxy,1,EJ-204,1350,3,1822,2,142.223268233,0.16286480849,145.381789753,40.8473657339,-4.67963499102,-4.22655690054
primary_like_proxy,1,EJ-204,1350,4,1823,3.44706527702,144.441254875,0.0992862269845,146.305577955,40.182014464,-2.46164834876,-2.00857025829
primary_like_proxy,2,EJ-230,50,0,2947,7.83881913811,140.358107391,0.274039135104,144.7527146,41.9437560007,-6.54479583271,-6.09171774223
primary_like_proxy,2,EJ-230,50,1,2948,14.2717096336,145.198640155,0.0321911967568,145.846243974,40.0034653586,-1.70426306882,-1.25118497835
primary_like_proxy,2,EJ-230,50,2,2947,18.6888361045,145.574462589,0.022989197365,145.990281034,39.8426745855,-1.32844063505,-0.875362544576
primary_like_proxy,2,EJ-230,50,3,2948,24.0166214383,145.708097639,0.0168818038012,146.032311143,39.7750404744,-1.19480558469,-0.741727494217
primary_like_proxy,2,EJ-230,50,4,2948,36.9776119403,145.721879666,0.0161442998298,146.040472981,39.7748839811,-1.18102355707,-0.7279454666
primary_like_proxy,2,EJ-230,200,0,2927,3.5343354971,137.930502517,0.299178391743,145.03779741,43.0239853394,-8.97240070613,-8.51932261565
primary_like_proxy,2,EJ-230,200,1,2927,6.71233344722,144.526410136,0.0765494867323,146.090861184,40.3483013324,-2.37649308747,-1.92341499699
primary_like_proxy,2,EJ-230,200,2,2928,9.0993852459,145.377311551,0.043424487036,146.211490796,39.9732825437,-1.52559167259,-1.07251358211
primary_like_proxy,2,EJ-230,200,3,2927,12.0310898531,145.724828535,0.0342185402702,146.257865853,39.8149995642,-1.17807468898,-0.724996598504
primary_like_proxy,2,EJ-230,200,4,2928,18.6335382514,146.023979225,0.0187777606914,146.293697038,39.6789091046,-0.878923998666,-0.425845908191
primary_like_proxy,2,EJ-230,500,0,2772,1.42316017316,133.678241587,0.361422597732,142.161947052,44.6658270559,-13.2246616366,-12.7715835461
primary_like_proxy,2,EJ-230,500,1,2772,2.64393939394,142.166034244,0.152016450606,145.663063696,41.3652501395,-4.73686897967,-4.28379088919
primary_like_proxy,2,EJ-230,500,2,2772,3.83152958153,144.258596027,0.0928291116503,146.137324196,40.4650424144,-2.64430719685,-2.19122910637
