material_code,material,nominal_d_mm,bin_low_deg,bin_high_deg,bin_center_deg,count,density_per_deg
0,EJ-200,50,40.24,40.26,40.25,0,0
0,EJ-200,50,40.26,40.28,40.27,0,0
0,EJ-200,50,40.28,40.3,40.29,0,0
0,EJ-200,50,40.3,40.32,40.31,2,0.0067732321864
0,EJ-200,50,40.32,40.34,40.33,2,0.0067732321864
0,EJ-200,50,40.34,40.36,40.35,4,0.0135464643728
0,EJ-200,50,40.36,40.38,40.37,9,0.0304795448388
0,EJ-200,50,40.38,40.4,40.39,24,0.0812787862368
0,EJ-200,50,40.4,40.42,40.41,53,0.17949065294
0,EJ-200,50,40.42,40.44,40.43,58,0.196423733406
0,EJ-200,50,40.44,40.46,40.45,48,0.162557572474
0,EJ-200,50,40.46,40.48,40.47,76,0.257382823083
0,EJ-200,50,40.48,40.5,40.49,67,0.226903278244
0,EJ-200,50,40.5,40.52,40.51,70,0.237063126524
0,EJ-200,50,40.52,40.54,40.53,59,0.199810349499
0,EJ-200,50,40.54,40.56,40.55,52,0.176104036846
0,EJ-200,50,40.56,40.58,40.57,63,0.213356813872
0,EJ-200,50,40.58,40.6,40.59,44,0.149011108101
0,EJ-200,50,40.6,40.62,40.61,44,0.149011108101
0,EJ-200,50,40.62,40.64,40.63,49,0.165944188567
0,EJ-200,50,40.64,40.66,40.65,64,0.216743429965
0,EJ-200,50,40.66,40.68,40.67,54,0.182877269033
0,EJ-200,50,40.68,40.7,40.69,42,0.142237875914
0,EJ-200,50,40.7,40.72,40.71,49,0.165944188567
0,EJ-200,50,40.72,40.74,40.73,51,0.172717420753
0,EJ-200,50,40.74,40.76,40.75,34,0.115144947169
0,EJ-200,50,40.76,40.78,40.77,39,0.132078027635
0,EJ-200,50,40.78,40.8,40.79,35,0.118531563262
0,EJ-200,50,40.8,40.82,40.81,38,0.128691411542
0,EJ-200,50,40.82,40.84,40.83,25,0.08466540233
0,EJ-200,50,40.84,40.86,40.85,31,0.104985098889
0,EJ-200,50,40.86,40.88,40.87,30,0.101598482796
0,EJ-200,50,40.88,40.9,40.89,23,0.0778921701436
0,EJ-200,50,40.9,40.92,40.91,28,0.0948252506096
0,EJ-200,50,40.92,40.94,40.93,20,0.067732321864
0,EJ-200,50,40.94,40.96,40.95,34,0.115144947169
0,EJ-200,50,40.96,40.98,40.97,22,0.0745055540504
0,EJ-200,50,40.98,41,40.99,28,0.0948252506096
0,EJ-200,50,41,41.02,41.01,24,0.0812787862368
0,EJ-200,50,41.02,41.04,41.03,18,0.0609590896776
0,EJ-200,50,41.04,41.06,41.05,20,0.067732321864
0,EJ-200,50,41.06,41.08,41.07,25,0.08466540233
0,EJ-200,50,41.08,41.1,41.09,28,0.0948252506096
0,EJ-200,50,41.1,41.12,41.11,17,0.0575724735844
0,EJ-200,50,41.12,41.14,41.13,21,0.0711189379572
0,EJ-200,50,41.14,41.16,41.15,22,0.0745055540504
0,EJ-200,50,41.16,41.18,41.17,21,0.0711189379572
0,EJ-200,50,41.18,41.2,41.19,13,0.0440260092116
0,EJ-200,50,41.2,41.22,41.21,16,0.0541858574912
0,EJ-200,50,41.22,41.24,41.23,17,0.0575724735844
0,EJ-200,50,41.24,41.26,41.25,11,0.0372527770252
0,EJ-200,50,41.26,41.28,41.27,15,0.050799241398
0,EJ-200,50,41.28,41.3,41.29,16,0.0541858574912
0,EJ-200,50,41.3,41.32,41.31,12,0.0406393931184
0,EJ-200,50,41.32,41.34,41.33,16,0.0541858574912
0,EJ-200,50,41.34,41.36,41.35,13,0.0440260092116
0,EJ-200,50,41.36,41.38,41.37,14,0.0474126253048
0,EJ-200,50,41.38,41.4,41.39,10,0.033866160932
0,EJ-200,50,41.4,41.42,41.41,9,0.0304795448388
0,EJ-200,50,41.42,41.44,41.43,6,0.0203196965592
0,EJ-200,50,41.44,41.46,41.45,11,0.0372527770252
0,EJ-200,50,41.46,41.48,41.47,14,0.0474126253048
0,EJ-200,50,41.48,41.5,41.49,9,0.0304795448388
0,EJ-200,50,41.5,41.52,41.51,10,0.033866160932
0,EJ-200,50,41.52,41.54,41.53,8,0.0270929287456
0,EJ-200,50,41.54,41.56,41.55,7,0.0237063126524
0,EJ-200,50,41.56,41.58,41.57,10,0.033866160932
0,EJ-200,50,41.58,41.6,41.59,11,0.0372527770252
0,EJ-200,50,41.6,41.62,41.61,10,0.033866160932
0,EJ-200,50,41.62,41.64,41.63,11,0.0372527770252
0,EJ-200,50,41.64,41.66,41.65,7,0.0237063126524
