x_mm,N_per_arm,gain,SEM
-650,1000,1.2818935712217365,0.01481539461959981
-500,1000,1.0765100267271759,0.011748211610891882
-200,1000,1.023474565734478,0.010662019622449812
200,1000,1.0197615113607588,0.011137628781335871
500,1000,1.1081701027861715,0.012679656047816703
650,1000,1.2759968485464803,0.013817193937517899
