run,gun_x_mm,channel,channel_x_mm,npe_mean,npe_rms,npe_sem
existing_x-650,-650.0,16,-692.0,216.893,55.75765912410599,1.2467791606776237
existing_x-650,-650.0,17,-672.0,281.9955,73.7344321179054,1.6487520249798024
existing_x-650,-650.0,18,-652.0,317.989,79.57986478375041,1.779459872967075
existing_x-650,-650.0,19,-632.0,342.948,82.72157092318787,1.849710557898181
existing_x-650,-650.0,20,-612.0,232.128,58.26557831172707,1.3028579385335914
existing_x-650,-650.0,21,-592.0,185.629,47.31141890706724,1.0579154878817116
existing_x-650,-650.0,22,-572.0,136.621,36.10098833827129,0.8072426397930178
existing_x-650,-650.0,23,-552.0,107.201,28.706647296401574,0.6419001476086447
existing_x-650,-650.0,24,-532.0,112.126,28.587009707207923,0.6392249697876328
existing_x-650,-650.0,25,-512.0,75.302,20.645769445578917,0.46165343928102603
existing_x-650,-650.0,26,-492.0,75.2495,20.726631413473825,0.4634615678511002
run_A_x-652,-652.0,16,-692.0,224.985,54.713707377585,1.223435689973118
run_A_x-652,-652.0,17,-672.0,314.9255,75.48921081684455,1.6879900695427683
run_A_x-652,-652.0,18,-652.0,317.3155,76.55313814436349,1.7117802078172886
run_A_x-652,-652.0,19,-632.0,314.874,74.82316569084738,1.6730968477646473
run_A_x-652,-652.0,20,-612.0,223.722,54.099932680179926,1.209711270510447
run_A_x-652,-652.0,21,-592.0,179.329,43.2807666175173,0.9677873627507232
run_A_x-652,-652.0,22,-572.0,145.577,34.607948089998054,0.7738572449101966
run_A_x-652,-652.0,23,-552.0,101.0815,25.891250602278756,0.5789459636917766
run_A_x-652,-652.0,24,-532.0,110.582,26.33492502362595,0.5888668253518787
run_A_x-652,-652.0,25,-512.0,76.05,20.157839665995958,0.45074299772708615
run_A_x-652,-652.0,26,-492.0,71.9195,18.70785983884848,0.41832046313203464
run_B_x-642,-642.0,16,-692.0,181.42,48.15791316076726,1.0768436748200734
run_B_x-642,-642.0,17,-672.0,264.971,69.03998956402006,1.5437810983102491
run_B_x-642,-642.0,18,-652.0,369.873,96.20292028311822,2.1511626938704564
run_B_x-642,-642.0,19,-632.0,369.688,95.85832074473242,2.1434572139419994
run_B_x-642,-642.0,20,-612.0,265.2925,68.60204037599756,1.5339882567591576
run_B_x-642,-642.0,21,-592.0,180.755,48.16804931694868,1.0770703261625956
run_B_x-642,-642.0,22,-572.0,146.874,39.11403998566244,0.874616522825861
run_B_x-642,-642.0,23,-552.0,129.728,34.96785689744226,0.7819050505016578
run_B_x-642,-642.0,24,-532.0,96.1075,26.622508216732697,0.5952973810416101
run_B_x-642,-642.0,25,-512.0,94.181,24.850236196060592,0.5556681739131727
run_B_x-642,-642.0,26,-492.0,75.869,21.359771510950207,0.4776190108234805
run_C1_x-648,-648.0,16,-692.0,211.116,52.62363104157674,1.1767001623183366
run_C1_x-648,-648.0,17,-672.0,266.5885,67.31753982247123,1.5052659512109479
run_C1_x-648,-648.0,18,-652.0,341.049,85.15176803214364,1.9040514172416665
run_C1_x-648,-648.0,19,-632.0,354.318,87.77621475092214,1.9627358299068165
run_C1_x-648,-648.0,20,-612.0,239.271,59.79787252904572,1.337121078848135
run_C1_x-648,-648.0,21,-592.0,189.908,47.28927506316839,1.0574203364793018
run_C1_x-648,-648.0,22,-572.0,136.31,35.32486234934257,0.789887935089529
run_C1_x-648,-648.0,23,-552.0,119.208,30.92408019650706,0.6914834546104484
run_C1_x-648,-648.0,24,-532.0,106.245,27.607154416926058,0.6173147394158023
run_C1_x-648,-648.0,25,-512.0,78.5515,21.04873743838333,0.4706640775276992
run_C1_x-648,-648.0,26,-492.0,78.6585,20.54136990928307,0.4593189946812563
run_C2_x-654_exact_mirror,-654.0,16,-692.0,233.614,62.383291064194424,1.3949327947969392
run_C2_x-654_exact_mirror,-654.0,17,-672.0,343.2,89.58963109646116,2.0032850521081618
run_C2_x-654_exact_mirror,-654.0,18,-652.0,317.6555,84.88070934994593,1.8979903608488107
run_C2_x-654_exact_mirror,-654.0,19,-632.0,281.2025,75.8465325097331,1.6959800254941093
run_C2_x-654_exact_mirror,-654.0,20,-612.0,215.767,56.34441153299944,1.2598993434000987
run_C2_x-654_exact_mirror,-654.0,21,-592.0,174.3375,45.39412510171333,1.0150434950656055
run_C2_x-654_exact_mirror,-654.0,22,-572.0,141.898,37.85513962462693,0.8464666549841168
run_C2_x-654_exact_mirror,-654.0,23,-552.0,97.2445,26.740881057848487,0.597944278235857
run_C2_x-654_exact_mirror,-654.0,24,-532.0,93.8725,26.059916418707104,0.5827174460019195
run_C2_x-654_exact_mirror,-654.0,25,-512.0,80.2225,21.830620553479463,0.4881475154858416
run_C2_x-654_exact_mirror,-654.0,26,-492.0,76.377,21.07851681214786,0.4713299645683478
