x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
500,end_left,far,20,2000,1053,0.5265,0.4735,20.989,8.324654,1.798724,7.66756,1.222817,0.062936,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
500,end_right,near,20,2000,2000,1.0,0.0,450.7575,1.317372,0.06212,1.317531,0.059204,0.002473,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
500,top_nearest,top,20,2000,2000,1.0,0.0,367.1165,0.679016,0.067741,0.674752,0.070061,0.005348,True,fixed-25ps-gaussian-core,0.025,"(75,)"
550,end_left,far,4,2000,2000,1.0,0.0,19.191,5.540978,0.372894,5.453146,0.299413,0.012137,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
550,end_right,near,4,2000,2000,1.0,0.0,590.7695,0.88028,0.025764,0.873732,0.012512,,False,mean-rms-ultrafine,0.025,"(12, 13, 14, 15)"
550,top_nearest,top,4,2000,2000,1.0,0.0,319.643,0.36496,0.045326,0.344227,0.006149,,False,mean-rms-ultrafine,0.025,"(78,)"
550,end_left,far,20,2000,833,0.4165,0.5835,19.191,8.768333,2.11954,7.936152,1.298999,0.065244,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
550,end_right,near,20,2000,2000,1.0,0.0,590.7695,1.06884,0.052331,1.071473,0.047451,0.002191,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
550,top_nearest,top,20,2000,2000,1.0,0.0,319.643,0.665682,0.066353,0.660267,0.062842,0.003624,True,fixed-25ps-gaussian-core,0.025,"(78,)"
600,end_left,far,4,2000,1999,0.9995,0.0005,16.743,5.82108,0.443588,5.700273,0.3306,0.011677,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
600,end_right,near,4,2000,2000,1.0,0.0,750.965,0.658716,0.018061,0.659574,0.013273,,False,mean-rms-ultrafine,0.025,"(12, 13, 14, 15)"
600,top_nearest,top,4,2000,2000,1.0,0.0,368.212,0.37214,0.0475,0.347557,0.007236,,False,mean-rms-ultrafine,0.025,"(80,)"
600,end_left,far,20,2000,512,0.256,0.744,16.743,8.960961,1.754846,8.387943,1.495962,0.107009,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
600,end_right,near,20,2000,2000,1.0,0.0,750.965,0.823457,0.047736,0.824544,0.047574,0.004535,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
600,top_nearest,top,20,2000,2000,1.0,0.0,368.212,0.679134,0.070334,0.677817,0.070012,0.006356,True,fixed-25ps-gaussian-core,0.025,"(80,)"
650,end_left,far,4,2000,1997,0.9985,0.0015,15.1605,6.049739,0.468636,5.945798,0.393647,0.016185,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
650,end_right,near,4,2000,2000,1.0,0.0,1076.769,0.435053,0.006948,,,,False,mean-rms,0.025,"(8, 9, 10, 11)"
650,top_nearest,top,4,2000,2000,1.0,0.0,319.6695,0.36466,0.044494,0.341947,0.007814,,False,mean-rms-ultrafine,0.025,"(83,)"
650,end_left,far,20,2000,338,0.169,0.831,15.1605,9.183154,2.063323,8.376381,1.363368,0.118926,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
650,end_right,near,20,2000,2000,1.0,0.0,1076.769,0.537239,0.040004,0.534714,0.039689,0.001507,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
650,top_nearest,top,20,2000,2000,1.0,0.0,319.6695,0.664391,0.066096,0.660871,0.062605,0.006319,True,fixed-25ps-gaussian-core,0.025,"(83,)"
670,end_left,far,4,2000,1997,0.9985,0.0015,14.1455,6.21263,0.593908,6.03664,0.392855,0.016531,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
670,end_right,near,4,2000,2000,1.0,0.0,1280.2955,0.346834,0.004005,,,,False,mean-rms,0.025,"(8, 9, 10, 11)"
670,top_nearest,top,4,2000,2000,1.0,0.0,316.436,0.36398,0.044253,0.34167,0.007791,,False,mean-rms-ultrafine,0.025,"(84,)"
670,end_left,far,20,2000,251,0.1255,0.8745,14.1455,9.332562,1.860359,8.785777,1.488451,0.129431,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
670,end_right,near,20,2000,2000,1.0,0.0,1280.2955,0.415496,0.03169,0.409224,0.032349,0.004583,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
670,top_nearest,top,20,2000,2000,1.0,0.0,316.436,0.665668,0.066866,0.662448,0.065395,0.007222,True,fixed-25ps-gaussian-core,0.025,"(84,)"
690,end_left,far,4,2000,1993,0.9965,0.0035,13.85,6.295162,0.610762,6.120093,0.397854,0.012416,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
690,end_right,near,4,2000,2000,1.0,0.0,1564.501,0.25881,0.002365,,,,False,mean-rms,0.025,"(12, 13, 14, 15)"
690,top_nearest,top,4,2000,2000,1.0,0.0,320.6475,0.363466,0.043396,0.346452,0.005995,,False,mean-rms-ultrafine,0.025,"(85,)"
690,end_left,far,20,2000,238,0.119,0.881,13.85,9.229912,1.677714,8.653657,1.429208,0.146159,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
690,end_right,near,20,2000,2000,1.0,0.0,1564.501,0.284209,0.016911,0.280451,0.018236,,False,mean-rms-ultrafine,0.025,"(12, 13, 14, 15)"
690,top_nearest,top,20,2000,2000,1.0,0.0,320.6475,0.66261,0.067873,0.660081,0.069873,0.008019,True,fixed-25ps-gaussian-core,0.025,"(85,)"
