x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
-500,end_right,far,4,2000,2000,1.0,0.0,21.3305,5.298991,0.336365,5.230436,0.288777,0.012881,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-500,top_nearest,top,4,2000,2000,1.0,0.0,373.2415,0.371218,0.047817,0.347114,0.009439,,False,mean-rms-ultrafine,0.025,"(26,)"
-500,end_left,near,20,2000,2000,1.0,0.0,457.707,1.315365,0.062219,1.314153,0.058217,0.002187,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-500,end_right,far,20,2000,1089,0.5445,0.4555,21.3305,8.204086,1.754855,7.536422,1.141034,0.051947,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-500,top_nearest,top,20,2000,2000,1.0,0.0,373.2415,0.674933,0.070257,0.672582,0.069433,0.004824,True,fixed-25ps-gaussian-core,0.025,"(26,)"
-450,end_left,near,4,2000,2000,1.0,0.0,363.955,1.311659,0.039111,1.305339,0.020859,,False,mean-rms-ultrafine,0.025,"(4, 5, 6, 7)"
-450,end_right,far,4,2000,2000,1.0,0.0,23.694,5.068933,0.303624,5.007834,0.267169,0.012383,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-450,top_nearest,top,4,2000,2000,1.0,0.0,319.4135,0.363887,0.044868,0.340092,0.007972,,False,mean-rms-ultrafine,0.025,"(28,)"
-450,end_left,near,20,2000,2000,1.0,0.0,363.955,1.555555,0.071192,1.55966,0.069227,0.003447,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-450,end_right,far,20,2000,1383,0.6915,0.3085,23.694,7.795509,1.634932,7.222206,1.087664,0.043027,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-450,top_nearest,top,20,2000,2000,1.0,0.0,319.4135,0.66584,0.068624,0.660758,0.065008,0.007035,True,fixed-25ps-gaussian-core,0.025,"(28,)"
-400,end_left,near,4,2000,2000,1.0,0.0,301.7885,1.514545,0.046276,1.517051,0.023431,,False,mean-rms-ultrafine,0.025,"(0, 1, 2, 3)"
-400,end_right,far,4,2000,2000,1.0,0.0,27.9975,4.823936,0.256267,4.777067,0.223869,0.006541,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-400,top_nearest,top,4,2000,2000,1.0,0.0,367.1865,0.373918,0.050643,0.356122,0.011374,,False,mean-rms-ultrafine,0.025,"(31,)"
-400,end_left,near,20,2000,2000,1.0,0.0,301.7885,1.780575,0.079951,1.781606,0.077576,0.001722,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
