x_beam_mm,side,npe_endtop,npe_endtop_sem,npe_end_only,npe_end_only_sem,sigma_endtop_ps,sigma_endtop_error_ps,sigma_end_only_ps,sigma_end_only_error_ps,observed_sigma_ratio,observed_sigma_ratio_error,predicted_sqrt_npe_ratio,predicted_sqrt_npe_ratio_error,ratio_difference_sigma,endtop_not_better
-400,left,581.1475,3.360790736102889,939.416,2.3529245237363647,45.542398130478226,0.720268630664217,37.23162327110059,0.2632804972497605,1.223218171253589,0.02119135240628077,1.2714104873708802,0.004006291948370101,-2.234567723281977,True
-400,right,53.007,0.342911031464431,160.4166,0.42260582632519395,251.26863585967192,3.9748939134671786,127.97745204728074,0.9049824920719725,1.963382078952797,0.034021239169648665,1.739634616265635,0.006075678698538658,6.474269165041102,True
0,left,150.991,0.876410554192497,349.9696,0.878040777859434,106.47655331471637,1.6839631728244904,76.3743868758171,0.5400754731373362,1.3941395495304554,0.02415243919026822,1.5224380507162314,0.004813501828145973,-5.209578151337472,True
0,right,151.1025,0.8778405304353405,350.4887,0.8763191354928865,108.65521457307837,1.71841944710205,75.28910738183367,0.5324010045075274,1.4431731010174722,0.02500190929602049,1.523004495898994,0.00481631307681649,-3.135366202539219,True
400,left,52.809,0.32173165759682404,160.481,0.4371890711122592,258.19385891197874,4.0834243438749755,131.50972923576396,0.9299607125442907,1.9633061402559953,0.034012830480552446,1.743242635246601,0.005816947234059832,6.377421392178087,True
400,right,577.7995,3.1161081736478597,938.254,2.3836920372397103,46.72866687515329,0.7390298773135245,37.88499453784053,0.2679007608021563,1.233434700075764,0.02136834623103548,1.2742998484280665,0.0037983736488416586,-1.8828989569062802,True
