page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  26    75 smask    2970  1056  gray    1   8  image  no       261  0   539   539 3062B 0.1%
  27    76 image    2520  1530  rgb     3   8  image  no       268  0   522   522  217K 1.9%
  27    77 smask    2520  1530  gray    1   8  image  no       268  0   522   522 3759B 0.1%
  28    78 image    1727  1149  rgb     3   8  image  no       275  0   522   522  160K 2.8%
  28    79 smask    1727  1149  gray    1   8  image  no       275  0   522   522 1946B 0.1%
  28    80 image    2017   783  rgb     3   8  image  no       276  0   963   963  107K 2.3%
  28    81 smask    2017   783  gray    1   8  image  no       276  0   963   963 1553B 0.1%
  28    82 image    2021   783  rgb     3   8  image  no       277  0   965   965  128K 2.8%
  28    83 smask    2021   783  gray    1   8  image  no       277  0   965   965 1556B 0.1%
  29    84 image    3600   960  rgb     3   8  image  no       286  0  1256  1256 63.9K 0.6%
  29    85 smask    3600   960  gray    1   8  image  no       286  0  1256  1256 3372B 0.1%
  29    86 image    2400  1350  rgb     3   8  image  no       287  0   947   947 94.6K 1.0%
  29    87 smask    2400  1350  gray    1   8  image  no       287  0   947   947 3162B 0.1%
  30    88 image    2970  1056  rgb     3   8  image  no       295  0   539   539  196K 2.1%
  30    89 smask    2970  1056  gray    1   8  image  no       295  0   539   539 3062B 0.1%
  31    90 image    2520  1530  rgb     3   8  image  no       302  0   522   522  215K 1.9%
  31    91 smask    2520  1530  gray    1   8  image  no       302  0   522   522 3759B 0.1%
  32    92 image    1727  1149  rgb     3   8  image  no       310  0   522   522  160K 2.7%
  32    93 smask    1727  1149  gray    1   8  image  no       310  0   522   522 1946B 0.1%
  32    94 image    2017   783  rgb     3   8  image  no       311  0   963   963 99.2K 2.1%
  32    95 smask    2017   783  gray    1   8  image  no       311  0   963   963 1553B 0.1%
  32    96 image    2037   783  rgb     3   8  image  no       312  0   973   973  139K 3.0%
  32    97 smask    2037   783  gray    1   8  image  no       312  0   973   973 1568B 0.1%
  33    98 image    2340   900  rgb     3   8  image  no       321  0   453   453 84.5K 1.4%
  33    99 smask    2340   900  gray    1   8  image  no       321  0   453   453 2063B 0.1%
  35   100 image    2700  1650  rgb     3   8  image  no       338  0   763   763  186K 1.4%
  35   101 smask    2700  1650  gray    1   8  image  no       338  0   763   763 4352B 0.1%
  36   102 image    3000  2100  rgb     3   8  image  no       345  0   971   971  146K 0.8%
  36   103 smask    3000  2100  gray    1   8  image  no       345  0   971   971 6140B 0.1%
  37   104 image    3600  1500  rgb     3   8  image  no       352  0   935   935  192K 1.2%
  37   105 smask    3600  1500  gray    1   8  image  no       352  0   935   935 5268B 0.1%
  39   106 image    1870  1210  rgb     3   8  image  no       371  0   631   631  223K 3.4%
  39   107 smask    1870  1210  gray    1   8  image  no       371  0   631   631 2215B 0.1%
  41   108 image    1870  1210  rgb     3   8  image  no       389  0   631   631 87.4K 1.3%
  41   109 smask    1870  1210  gray    1   8  image  no       389  0   631   631 2215B 0.1%
  42   110 image    3600  3300  rgb     3   8  image  no       397  0  1720  1720  208K 0.6%
  42   111 smask    3600  3300  gray    1   8  image  no       397  0  1720  1720 11.3K 0.1%
  43   112 image    3900  1500  rgb     3   8  image  no       404  0   708   708  198K 1.2%
  43   113 smask    3900  1500  gray    1   8  image  no       404  0   708   708 5704B 0.1%
  46   114 image    5850  2700  rgb     3   8  image  no       422  0  2081  2081  421K 0.9%
  46   115 smask    5850  2700  gray    1   8  image  no       422  0  2081  2081 15.0K 0.1%
  47   116 image    3900  1500  rgb     3   8  image  no       429  0   796   796  214K 1.2%
  47   117 smask    3900  1500  gray    1   8  image  no       429  0   796   796 5704B 0.1%
  48   118 image    2430  2160  rgb     3   8  image  no       438  0  1475  1475  270K 1.8%
  48   119 smask    2430  2160  gray    1   8  image  no       438  0  1475  1475 5121B 0.1%
  49   120 image    2860  1980  rgb     3   8  image  no       445  0   851   851  236K 1.4%
  49   121 smask    2860  1980  gray    1   8  image  no       445  0   851   851 5522B 0.1%
  52   122 image    3600   960  rgb     3   8  image  no        68  0  1256  1256 63.2K 0.6%
  52   123 smask    3600   960  gray    1   8  image  no        68  0  1256  1256 3372B 0.1%
  52   124 image    2400  1350  rgb     3   8  image  no        70  0   947   947 94.3K 1.0%
  52   125 smask    2400  1350  gray    1   8  image  no        70  0   947   947 3162B 0.1%
  53   126 image    2970  1056  rgb     3   8  image  no        81  0   539   539  198K 2.2%
  53   127 smask    2970  1056  gray    1   8  image  no        81  0   539   539 3062B 0.1%
  54   128 image    3600   960  rgb     3   8  image  no       475  0  1256  1256 63.1K 0.6%
  54   129 smask    3600   960  gray    1   8  image  no       475  0  1256  1256 3372B 0.1%
  54   130 image    2400  1350  rgb     3   8  image  no       476  0   947   947 95.1K 1.0%
  54   131 smask    2400  1350  gray    1   8  image  no       476  0   947   947 3162B 0.1%
  55   132 image    2970  1056  rgb     3   8  image  no       484  0   539   539  193K 2.1%
  55   133 smask    2970  1056  gray    1   8  image  no       484  0   539   539 3062B 0.1%
  56   134 image    3600   960  rgb     3   8  image  no       112  0  1256  1256 62.9K 0.6%
  56   135 smask    3600   960  gray    1   8  image  no       112  0  1256  1256 3372B 0.1%
  56   136 image    2400  1350  rgb     3   8  image  no       113  0   947   947 97.4K 1.0%
  56   137 smask    2400  1350  gray    1   8  image  no       113  0   947   947 3162B 0.1%
  57   138 image    2970  1056  rgb     3   8  image  no       121  0   539   539  190K 2.1%
  57   139 smask    2970  1056  gray    1   8  image  no       121  0   539   539 3062B 0.1%
  58   140 image    3600   960  rgb     3   8  image  no       502  0  1256  1256 63.3K 0.6%
  58   141 smask    3600   960  gray    1   8  image  no       502  0  1256  1256 3372B 0.1%
  58   142 image    2400  1350  rgb     3   8  image  no       503  0   947   947  101K 1.1%
  58   143 smask    2400  1350  gray    1   8  image  no       503  0   947   947 3162B 0.1%
  59   144 image    2970  1056  rgb     3   8  image  no       511  0   539   539  181K 2.0%
  59   145 smask    2970  1056  gray    1   8  image  no       511  0   539   539 3062B 0.1%
  60   146 image    3600   960  rgb     3   8  image  no       518  0  1256  1256 62.7K 0.6%
  60   147 smask    3600   960  gray    1   8  image  no       518  0  1256  1256 3372B 0.1%
  60   148 image    2400  1350  rgb     3   8  image  no       519  0   947   947  102K 1.1%
  60   149 smask    2400  1350  gray    1   8  image  no       519  0   947   947 3162B 0.1%
  61   150 image    2970  1056  rgb     3   8  image  no       527  0   539   539  190K 2.1%
  61   151 smask    2970  1056  gray    1   8  image  no       527  0   539   539 3062B 0.1%
  62   152 image    3600   960  rgb     3   8  image  no       535  0  1256  1256 63.7K 0.6%
  62   153 smask    3600   960  gray    1   8  image  no       535  0  1256  1256 3372B 0.1%
  62   154 image    2400  1350  rgb     3   8  image  no       536  0   947   947  104K 1.1%
  62   155 smask    2400  1350  gray    1   8  image  no       536  0   947   947 3162B 0.1%
  63   156 image    2970  1056  rgb     3   8  image  no       544  0   539   539  183K 2.0%
  63   157 smask    2970  1056  gray    1   8  image  no       544  0   539   539 3062B 0.1%
  64   158 image    3600   960  rgb     3   8  image  no       551  0  1256  1256 62.9K 0.6%
  64   159 smask    3600   960  gray    1   8  image  no       551  0  1256  1256 3372B 0.1%
  64   160 image    2400  1350  rgb     3   8  image  no       552  0   947   947  104K 1.1%
  64   161 smask    2400  1350  gray    1   8  image  no       552  0   947   947 3162B 0.1%
  65   162 image    2970  1056  rgb     3   8  image  no       560  0   539   539  185K 2.0%
  65   163 smask    2970  1056  gray    1   8  image  no       560  0   539   539 3062B 0.1%
  66   164 image    3600   960  rgb     3   8  image  no       146  0  1256  1256 63.4K 0.6%
  66   165 smask    3600   960  gray    1   8  image  no       146  0  1256  1256 3372B 0.1%
  66   166 image    2400  1350  rgb     3   8  image  no       147  0   947   947  104K 1.1%
  66   167 smask    2400  1350  gray    1   8  image  no       147  0   947   947 3162B 0.1%
  67   168 image    2970  1056  rgb     3   8  image  no       156  0   539   539  182K 2.0%
  67   169 smask    2970  1056  gray    1   8  image  no       156  0   539   539 3062B 0.1%
  68   170 image    3600   960  rgb     3   8  image  no       578  0  1256  1256 63.5K 0.6%
  68   171 smask    3600   960  gray    1   8  image  no       578  0  1256  1256 3372B 0.1%
  68   172 image    2400  1350  rgb     3   8  image  no       579  0   947   947  105K 1.1%
  68   173 smask    2400  1350  gray    1   8  image  no       579  0   947   947 3162B 0.1%
  69   174 image    2970  1056  rgb     3   8  image  no       587  0   539   539  184K 2.0%
  69   175 smask    2970  1056  gray    1   8  image  no       587  0   539   539 3062B 0.1%
  70   176 image    3600   960  rgb     3   8  image  no       594  0  1256  1256 64.1K 0.6%
  70   177 smask    3600   960  gray    1   8  image  no       594  0  1256  1256 3372B 0.1%
  70   178 image    2400  1350  rgb     3   8  image  no       595  0   947   947  105K 1.1%
  70   179 smask    2400  1350  gray    1   8  image  no       595  0   947   947 3162B 0.1%
  71   180 image    2970  1056  rgb     3   8  image  no       603  0   539   539  180K 2.0%
  71   181 smask    2970  1056  gray    1   8  image  no       603  0   539   539 3062B 0.1%
  72   182 image    3600   960  rgb     3   8  image  no       611  0  1256  1256 64.5K 0.6%
  72   183 smask    3600   960  gray    1   8  image  no       611  0  1256  1256 3372B 0.1%
  72   184 image    2400  1350  rgb     3   8  image  no       612  0   947   947  105K 1.1%
  72   185 smask    2400  1350  gray    1   8  image  no       612  0   947   947 3162B 0.1%
  73   186 image    2970  1056  rgb     3   8  image  no       620  0   539   539  185K 2.0%
  73   187 smask    2970  1056  gray    1   8  image  no       620  0   539   539 3062B 0.1%
  74   188 image    3600   960  rgb     3   8  image  no       628  0  1256  1256 63.3K 0.6%
  74   189 smask    3600   960  gray    1   8  image  no       628  0  1256  1256 3372B 0.1%
  74   190 image    2400  1350  rgb     3   8  image  no       629  0   947   947  104K 1.1%
  74   191 smask    2400  1350  gray    1   8  image  no       629  0   947   947 3162B 0.1%
  75   192 image    2970  1056  rgb     3   8  image  no       637  0   539   539  183K 2.0%
  75   193 smask    2970  1056  gray    1   8  image  no       637  0   539   539 3062B 0.1%
  76   194 image    3600   960  rgb     3   8  image  no       644  0  1256  1256 63.6K 0.6%
  76   195 smask    3600   960  gray    1   8  image  no       644  0  1256  1256 3372B 0.1%
  76   196 image    2400  1350  rgb     3   8  image  no       645  0   947   947  105K 1.1%
  76   197 smask    2400  1350  gray    1   8  image  no       645  0   947   947 3162B 0.1%
  77   198 image    2970  1056  rgb     3   8  image  no       653  0   539   539  186K 2.0%
  77   199 smask    2970  1056  gray    1   8  image  no       653  0   539   539 3062B 0.1%
  78   200 image    3600   960  rgb     3   8  image  no       660  0  1256  1256 64.0K 0.6%
  78   201 smask    3600   960  gray    1   8  image  no       660  0  1256  1256 3372B 0.1%
  78   202 image    2400  1350  rgb     3   8  image  no       661  0   947   947  105K 1.1%
  78   203 smask    2400  1350  gray    1   8  image  no       661  0   947   947 3162B 0.1%
  79   204 image    2970  1056  rgb     3   8  image  no       669  0   539   539  182K 2.0%
  79   205 smask    2970  1056  gray    1   8  image  no       669  0   539   539 3062B 0.1%
  80   206 image    3600   960  rgb     3   8  image  no       677  0  1256  1256 63.8K 0.6%
  80   207 smask    3600   960  gray    1   8  image  no       677  0  1256  1256 3372B 0.1%
  80   208 image    2400  1350  rgb     3   8  image  no       678  0   947   947  104K 1.1%
  80   209 smask    2400  1350  gray    1   8  image  no       678  0   947   947 3162B 0.1%
  81   210 image    2970  1056  rgb     3   8  image  no       686  0   539   539  183K 2.0%
  81   211 smask    2970  1056  gray    1   8  image  no       686  0   539   539 3062B 0.1%
  82   212 image    3600   960  rgb     3   8  image  no       181  0  1256  1256 62.9K 0.6%
  82   213 smask    3600   960  gray    1   8  image  no       181  0  1256  1256 3372B 0.1%
  82   214 image    2400  1350  rgb     3   8  image  no       182  0   947   947  103K 1.1%
  82   215 smask    2400  1350  gray    1   8  image  no       182  0   947   947 3162B 0.1%
  83   216 image    2970  1056  rgb     3   8  image  no       190  0   539   539  169K 1.8%
  83   217 smask    2970  1056  gray    1   8  image  no       190  0   539   539 3062B 0.1%
  84   218 image    3600   960  rgb     3   8  image  no       703  0  1256  1256 63.7K 0.6%
  84   219 smask    3600   960  gray    1   8  image  no       703  0  1256  1256 3372B 0.1%
  84   220 image    2400  1350  rgb     3   8  image  no       704  0   947   947  105K 1.1%
  84   221 smask    2400  1350  gray    1   8  image  no       704  0   947   947 3162B 0.1%
