f,label,sigma_ps,sigma_boot_ps
0.0,min(t_first),69.41281220400174,1.180271528084823
0.1,CFD(f=0.1),101.84869902333246,1.931744011601986
0.2,CFD(f=0.2),124.87190571464679,2.1655964948078323
0.3,CFD(f=0.3),149.15933789793957,2.9799059747612833
0.5,CFD(f=0.5),203.54658125888827,4.033854541511014
