scenario,n_measured_domain,mean_distance_mm,median_wavelength_nm,median_finite_beta_edge_deg,angle_q95_deg,angle_q99_deg,scalar_q95_penalty_ps,predicted_penalty_q95_ps,observed_edge_excess_q95_ps,upper_tail_predicted_penalty_median_ps,upper_tail_observed_excess_median_ps,upper_tail_predicted_penalty_mean_ps,upper_tail_observed_excess_mean_ps,all_pearson_r,upper_tail_pearson_r,all_fit_intercept_ps,all_fit_slope
visible_lower_764mm,7202,49.5621678028,531.549554565,39.3156099569,46.5365998368,60.8596920352,46.2956189895,48.9270233155,19.8167978264,111.515328249,70.345082214,199.115735408,148.895291843,0.977157635378,0.9959840116,-24.1258050304,0.885761052561
visible_current_3800mm,7262,49.5634142983,531.114060098,39.3119239078,46.1003101354,62.2668448565,43.0069524434,45.1512463441,17.275938468,109.381089527,69.3797921272,231.500488641,176.717581135,0.431867427237,0.997889339029,-21.3306126894,0.87080066297
