scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,542.085528381,42.8569608994,39.4029746002,49.5005736751,173.21257982,0.363595425039,20.0027343593,-6.24939599088,0
visible_lower_764mm,668.606821838,40.7197175797,40.2178996773,49.5000443317,181.866256092,0.347241683092,2.67339273153,-9.20186490769,0
visible_lower_764mm,680.069440537,40.2914524179,40.2737527362,49.5000294993,184.240475601,0.344285342111,0.092209535529,-7.85522155353,0
visible_lower_764mm,603.705647672,39.867538957,39.8495165715,49.5003888923,176.875671167,0.344697991893,0.0957444169594,-19.8309188686,0
visible_lower_764mm,782.438680108,40.229755459,40.6739223963,49.5000468577,192.515394531,0.34075680158,-2.23345125245,1.73780072787,0
visible_lower_764mm,392.178948209,38.4554728914,37.779651627,49.5007153887,162.761844472,0.341915703441,3.57767752178,-42.8771325842,0
visible_lower_764mm,484.496337296,38.9345948992,38.8807493094,49.5112649017,169.432913623,0.343491838289,0.284841520974,-31.8899823271,0
visible_lower_764mm,498.098052853,41.2160804375,39.0143147092,49.4997194505,170.355043531,0.355250909725,12.3086415116,-18.7158782122,0
visible_lower_764mm,555.317609819,42.7013870563,39.5078927427,49.5002306767,174.033317496,0.361186570161,18.3794231941,-7.46670108315,0
visible_lower_764mm,636.915333996,40.3982539389,40.0496722134,49.4999003445,178.679443346,0.347344756169,1.86703686911,-14.5580694239,0
visible_lower_764mm,481.568539698,39.0930508245,38.8511189732,49.970493306,169.232162786,0.347866568544,1.29737850881,-31.288373944,0
visible_lower_764mm,656.21147824,41.9269337916,40.1545866602,49.4999340209,179.672415469,0.354991137135,9.83989762866,-5.46726814422,0
visible_lower_764mm,680.861199052,40.6769655168,40.2775178894,49.500061754,184.40151865,0.346262304523,2.09963343944,-5.59054535464,0
