bin_low,bin_high,photons,probability,probability_se,uniform_probability,old_p_2mu_probability
0.0,0.05,1331663,0.007228513048287255,1.2996267583259604e-05,0.05,0.0025000000000000005
0.05,0.1,3537497,0.01920218795804721,1.7103992398139152e-05,0.05,0.0075000000000000015
0.1,0.15000000000000002,5414328,0.029389973736378527,1.3448167971803888e-05,0.05,0.012500000000000004
0.15000000000000002,0.2,7087084,0.03847000267207832,1.7237044031748084e-05,0.05,0.0175
0.2,0.25,8245071,0.044755770271874225,1.9372507445089265e-05,0.05,0.022499999999999992
0.25,0.30000000000000004,8990153,0.04880021316699406,1.6332276768020593e-05,0.05,0.027500000000000024
0.30000000000000004,0.35000000000000003,9353341,0.05077166480076428,1.5659001134166658e-05,0.05,0.0325
0.35000000000000003,0.4,9402479,0.05103839495258703,1.591791616322091e-05,0.05,0.037500000000000006
0.4,0.45,9482199,0.05147112985639487,1.5300349293929927e-05,0.05,0.04249999999999998
0.45,0.5,9500341,0.05156960798766534,1.546126914008538e-05,0.05,0.04749999999999999
0.5,0.55,9777494,0.05307404572970064,1.6236582374790236e-05,0.05,0.05250000000000005
0.55,0.6000000000000001,9933947,0.053923301548885895,1.632479053800548e-05,0.05,0.05750000000000005
0.6000000000000001,0.65,10016810,0.05437309723797557,1.6627268666361892e-05,0.05,0.062499999999999944
0.65,0.7000000000000001,10156633,0.05513208234152704,1.7041907607027113e-05,0.05,0.06750000000000006
0.7000000000000001,0.75,10293274,0.05587379496058383,1.7175397213139707e-05,0.05,0.0724999999999999
0.75,0.8,10511336,0.05705747582603975,1.6814887067983276e-05,0.05,0.07750000000000012
0.8,0.8500000000000001,10707709,0.05812342478822561,1.6743248003225475e-05,0.05,0.08250000000000002
0.8500000000000001,0.9,11560214,0.062750979594682,1.7226263538053282e-05,0.05,0.08749999999999991
0.9,0.9500000000000001,12576831,0.06826936468881666,1.9318242504632495e-05,0.05,0.09250000000000003
0.9500000000000001,1.0,16345238,0.0887249748324919,2.1161286990851886e-05,0.05,0.09749999999999992
