scheme,gid,cx_mm,npe_per_event
dynamic_nearest4,50,-12.0,32.5074
dynamic_nearest4,51,12.0,32.2212
dynamic_nearest4,52,32.0,13.506
dynamic_nearest4,49,-32.0,13.4982
id_div4_cluster_8,48,-52.0,5.494
id_div4_cluster_8,49,-32.0,13.4982
id_div4_cluster_8,50,-12.0,32.5074
id_div4_cluster_8,51,12.0,32.2212
