estimator,x_mm,sigma_fit_ps,sigma_fit_err_ps,bootstrap_err_ps,mu_fit_ns,chi2_ndf,n_events,flag
TOP_SUM4,-690,81.89009594004142,1.1395829957461037,1.8710927215357191,0.5147078549416993,5.782293893183385,5000,ok
TOP_SUM4,-670,79.1863607281835,1.372773149580557,1.5507056458937956,0.49480760149206027,2.185627735600603,5000,ok
TOP_SUM4,-650,76.03973171020239,1.148902846986509,1.5783422957142244,0.49763791387560974,3.5083687507872834,5000,ok
TOP_SUM4,-600,80.96560229850985,1.4258906606807384,1.8286178391612289,0.4956385117192448,2.446428139305155,5000,ok
TOP_SUM4,-550,77.34109647491361,1.3235905875496958,1.6285815634512342,0.4930404827689967,2.812095926774796,5000,ok
TOP_SUM4,-500,63.36234660541874,0.822463537594402,1.6013242877785034,0.49528069426209426,10.026478619026296,5000,ok
TOP_SUM4,-450,74.9103361867709,1.1141220661900555,1.6569804499662535,0.4981671928734608,4.396758924094479,5000,ok
TOP_SUM4,-400,75.12139210672458,1.1685192005647522,1.566453789230949,0.4964527681479529,3.8105689620008825,5000,ok
TOP_SUM4,-350,70.75608147706492,0.9686963458166858,1.4307741896174078,0.496807835554127,5.632885626528025,5000,ok
TOP_SUM4,-300,63.602872047436584,0.7931318246556864,1.5283815050375276,0.4963020599629636,10.205333530440724,5000,ok
TOP_SUM4,-250,70.66947870702154,0.9500359603421757,1.4157447309782796,0.49888294411516027,6.504372686930356,5000,ok
TOP_SUM4,-200,81.5561762242893,1.4948682439388308,1.6355218830356066,0.4941213326122127,2.484108827138582,5000,ok
TOP_SUM4,-150,78.9454275781007,1.2223729801740593,1.568540042364784,0.4970738320942635,2.3515706080245327,5000,ok
TOP_SUM4,-100,65.61617130492779,0.7932585381812268,1.587327573797161,0.500348959244042,12.555018249729425,5000,ok
TOP_SUM4,-50,72.88557368492425,1.1603050910201085,1.5380973877233521,0.49271549644782825,3.4536726958916915,5000,ok
